"Action","Acão"
"Add Sitemap","Adicionar Sitemap"
"Always","sempre"
"Categories Options","Opções de categorias"
"CMS Pages Options","Opções de páginas CMS"
"Daily","Diariamente"
"Do not show in sitemap","Não exibir no mapa do site"
"Edit Sitemap","Editar Sitemap"
"Enabled","Ativado"
"Error Email Recipient","Erro Destinatário do E-mail"
"Error Email Sender","Error Email Sender"
"Error Email Template","Erro modelo de E-mail"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","O arquivo ""%s"" não pode ser salvo. Por favor, certifique-se do diretório ""%s"" é gravável pelo servidor web."
"Filename","Nome"
"Frequency","Frequência"
"Generate","Gerar"
"Generation Settings","Configurações de geração"
"Google Sitemap","Google Sitemap"
"Hourly","Horário"
"ID","ID"
"Include Images","Incluir imagens"
"Last Time Generated","Última vez gerada"
"Link for Google","Link para o Google"
"Maximum URLs per Sitemap File","Máximo de URLs por arquivo do Sitemap"
"Monthly","Mensual"
"Never","nunca"
"New Sitemap","Novo Sitemap"
"Path","Caminho"
"Please create the specified folder ""%s"" inside your public directory before saving the sitemap.","Por favor, crie a pasta especificada ""%s"" dentro do diretório público antes de salvar o mapa do site."
"Please define correct path","Por favor, defina o caminho correto"
"Please enter a sitemap name with at most %s characters.","Por favor, insira um nome de mapa do site com no máximo %s caracteres."
"Please make sure that ""%s"" inside your public directory is writable by web-server.","Por favor, certifique-se de que ""%s"" dentro do seu diretório público é gravável pelo servidor web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Por favor use apenas letras (a-z ou A-Z), números (0-9) ou sublinhado (_) no nome do arquivo. Espaços ou outros caracteres não são permitidos."
"Priority","Prioridade"
"Products Options","Opções de Produtos"
"Show lastmod","Show lastmod"
"Sitemap","Sitemap"
"Sitemap generate Warnings","Gerar Avisos no Sitemap"
"Split sitemap files when they exceed this number of URLs","Dividir arquivos de mapa do site quando eles excederem este número de URLs"
"Start Time","Horário de Início"
"Store View","Visão de Loja"
"The priority must be between 0 and 1.","A prioridade deve estar entre 0 e 1."
"The sitemap ""%s"" has been generated.","O mapa do site ""%s"" foi gerado."
"The sitemap has been deleted.","O mapa do site foi excluído."
"The sitemap has been saved.","O mapa do site foi salvo."
"This sitemap no longer exists.","Este mapa do site não existe mais."
"Unable to find a sitemap to delete.","Não foi possível encontrar um mapa do site para excluir."
"Unable to find a sitemap to generate.","Não foi possível encontrar um mapa do site para gerar."
"Unable to generate the sitemap.","Não foi possível gerar o mapa do site."
"Valid values range: from 0.0 to 1.0.","Intervalo válido de valores: de 0.0 até 1.0."
"Weekly","Semanalmente"
"Yearly","Anualmente"
