"Account Number","Número de Conta"
"Container ID","Container ID"
"Enable","Ativar"
"Enable GA4 Debug Real Time view for Development IP.","Ativar vista de depuração em tempo real do GA4 para IP de desenvolvimento."
"Enable GA4 User_id tracking for logged in customers.","Ativar rastreamento de ID de usuário do GA4 para clientes conectados."
"Facebook Meta Pixel","Facebook Meta Pixel"
"Google Analytics","Análise do Google"
"Google Analytics 4","Análise do Google 4"
"Google API","API do Google"
"Google Tag Manager","Google Tag Manager"
"Meta Pixel ID","Meta Pixel ID"
"Type","Tipo"
"User ID tracking","User ID tracking"
