"""Remember Me"" Default Value","Valor padrão ""Me Lembrar"""
"* Required Fields","* Campos obrigatórios"
"Accept Format-valid VAT When VIES Unavailable","Aceitar o IVA válido no formato quando o VIES estiver indisponível"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Confirmação da conta é necessária. Por favor, verifique o link de confirmação do seu e-mail. Para reenviar confirmação de e-mail, por favor <a href=""%s"">clique aqui</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Confirmação da conta é necessária. Por favor, verifique o seu e-mail para o link de confirmação. Para reenviar o e-mail de confirmação, por favor <a href=""%s"">clique aqui</a>."
"Account Dashboard","Painel de Conta"
"Account Information","Informações da Conta"
"Account Options","Opções da conta"
"Account Sharing Options","Opções de Compartilhamento"
"Action","Acão"
"Added From","Adicionado de"
"Additional Address Entries","Entradas de Endereço Adicionais"
"Add New Address","Adicionar Novo Endereço"
"Add New Customer","Adicionar Novo Cliente"
"Add New Customer Group","Adicionar Novo Grupo de Cliente"
"Address","Endereço"
"Address Book","Catálogo de Endereços"
"Addresses","Endereços"
"Address Information","Informação Endereço"
"Address Templates","Modelos de endereço"
"Admin","Administrador"
"All","TODOS"
"All countries","Todos os países"
"ALL GROUPS","TODOS OS GRUPOS"
"Allow customers to login via a secure link sent to their email instead of using a password.","Permitir que os clientes façam login através de um link seguro enviado para o seu e-mail em vez de usar uma senha."
"All Store Views","Todas as Visões de Loja"
"Always optional.","Sempre opcional."
"Amount","Quantidade"
"An error occurred during validation. Please try again.","Ocorreu um erro durante a validação. Por favor, tente novamente."
"An error occurred while deleting the address.","Ocorreu um erro ao excluir o endereço."
"An error occurred while retrieving the option value: %s.","Ocorreu um erro ao recuperar o valor da opção: %s."
"An error occurred while saving the collection, aborting. Error: %s","Ocorreu um erro ao salvar a coleção, abortando. Erro: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Um ID de opção inválido foi especificado para %s (%s), ignorando registro."
"Approved","Aceito"
"Are you sure?","Você tem certeza?"
"Are you sure that you want to remove this item?","Tem certeza que deseja remover este item?"
"Are you sure you want to cancel adding of this address?","Tem certeza de que deseja cancelar a adição deste endereço?"
"Are you sure you want to delete this address?","Você tem certeza que deseja excluir este endereço?"
"Assign a Customer Group","Associar um Grupo de Clientes"
"Average Sale","Venda média"
"Back","Anterior"
"Bad request.","Requisição inválida."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Com base no CPF/CNPJ, o cliente deve pertencer ao Grupo de Clientes %s."
"Bill to Name","Nome de cobrança"
"Bought From","Comprado de"
"By Email","Por E-mail"
"By IP","Por IP"
"By IP and Email","Por IP e E-mail"
"Cache Lifetime (hours)","Tempo de Vida do Cache (horas)"
"Cancel","cancelar"
"Cannot save address.","Não pode salvar endereço"
"Cannot save a new password.","Não é possível salvar uma nova senha."
"Cannot save the customer.","Não é possível salvar o cliente."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Não é possível compartilhar contas de clientes globalmente porque algumas contas de clientes com os mesmos e-mails existem em vários sites e não podem ser mescladas."
"Change Account Data","Alterar dados da conta"
"Change Billing Address","Alterar endereço de cobrança"
"Changed Email or Password Email Template","Modelo de e-mail ou senha alterado"
"Changed Password or Email","Alterada Senha ou E-mail"
"Change Password","Mudar a senha"
"Change Shipping Address","Alterar endereço de envio"
"City","cidade"
"Close","FECHAR"
"Company","Empresas"
"Configure","Configurar"
"Confirmation Link Email","Email de Confirmação Link"
"Confirmed","Confirmado"
"Confirm New Password","Confirme a Nova Senha"
"Confirm Password","Confirmar senha"
"Contact Information","Informação do Contato"
"Continue","Continuar"
"Continue Shopping","Continue comprando"
"Controls whether password is required during registration when Magic Link is enabled.","Controla se a senha é necessária durante o registro, quando o Magic Link está habilitado."
"Country","País/região"
"Country is required.","País é obrigatório."
"Create","Crio"
"Create an account","Criar uma conta"
"Create customer","Criar cliente"
"Create customer address","Criar endereço de cliente"
"Create New Account Options","Criar novas opções de conta"
"Create New Customer Account","Criar nova conta de cliente"
"Create Order","Criar pedido"
"CSV","Csv"
"Current Admin Password","Senha atual do Admin"
"Current Password","Palavra-passe Atual"
"Customer","Cliente"
"Customer Account Edit Form","Formulário de Edição Conta de Cliente"
"Customer Account Login Form","Formulário de login conta cliente"
"Customer Account Logout Success","Logout de Conta de Cliente"
"Customer Account Registration Form","Formulário de cadastro conta cliente"
"Customer accounts cannot be disabled because guest checkout is not allowed. Please enable guest checkout first.","Contas de clientes não podem ser desabilitadas porque o checkout de convidados não é permitido. Por favor, habilite o checkout de convidados primeiro."
"Customer Addresses","Endereços do Cliente"
"Customer API","API Cliente"
"Customer collection expected.","Coleção de cliente esperada."
"Customer Configuration","Configuração de cliente"
"Customer email is required","E-mail do cliente é obrigatório"
"Customer Forgot Password Form","Formulário de senha esquecida pelo cliente"
"Customer Group","Grupo de Clientes"
"Customer Groups","Grupos de Clientes"
"Customer Information","Informação do Cliente"
"Customer Login","Login do Cliente"
"Customer My Account (All Pages)","Conta do Cliente (Todas as Páginas)"
"Customer My Account Address Book","Meu Catálogo de Endereços Conta do Cliente"
"Customer My Account Address Edit Form","Formulário de Edição de Endereço da Conta do Cliente"
"Customer My Account Dashboard","Painel da Conta do Cliente"
"Customers","clientes"
"Customer Since","Cliente desde"
"Customers Only","Apenas Clientes"
"Customer View","Visão do cliente"
"Customer website ID must be specified when using the website scope","O ID do site do cliente deve ser especificado ao usar o escopo site"
"Customer will stay on the current page if ""No"" is selected.","Cliente permanecerá na página atual se ""Não"" estiver selecionado."
"Date","Encontro"
