"%dh","%dh"
"%dh %dm","%dh %dm"
"%dm","%dm"
"%dm %ds","%dm %ds"
"%ds","%ds"
"Are you sure you want to disable the selected cron job(s)?","Você tem certeza que deseja desativar o(s) cron job(s) selecionado(s)?"
"At %s","Em %s"
"Callback","Callback"
"Clear History","Limpar Histórico"
"Close","FECHAR"
"Cron (Scheduled Tasks) - all the times are in minutes","Tarefas Agendadas do Cron – em minutos"
"Cron does not appear to be running. No jobs have been executed in the last hour. Please verify that cron is configured on your server.","O Cron não parece estar rodando. Nenhum trabalho foi executado na última hora. Por favor, verifique se o CRON está configurado no seu servidor."
"Cron history has been cleared. %d record(s) deleted.","O histórico cron foi apagado. %d registro(s) excluído(s)."
"Cron job ""%s"" has been disabled.","O trabalho do Cron ""%sfoi desativado."
"Cron job ""%s"" has been enabled.","Trabalho Cron ""%s"" foi habilitado."
"Cron Jobs","Tarefas Cron"
"Daily","Diariamente"
"Daily at %s","Diariamente em %s"
"day %s","dia %s"
"Disable","Desligado"
"Disabled","Desabilitado"
"Enable","Habilitado"
"Enabled","Ativado"
"Every %d hours at minute %d","A cada %d horas no minuto %d"
"Every %d minutes","A cada %d minutos"
"Every cron run","Cada execução de cron"
"Every hour","Toda hora"
"Every minute","A cada minuto"
"Execution History","Histórico de execução"
"Failure History Lifetime","Histórico de Falhas"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Para URLs corretas geradas durante o cron roda por favor certifique-se de que Web > URLs Base seguras e Inseguras estão explicitamente definidas."
"Generate Schedules Every","Gerar agendamentos a cada"
"History","Histórico"
"History Cleanup Every","Limpar Histórico A Cada"
"hour %s","hora %s"
"Hourly","Horário"
"Invalid callback: %s::%s does not exist","Chamada inválida: %s::%s não existe"
"Invalid model/method definition, expecting ""model/class::method"".","Definição inválida modelo/método, esperando ""modelo/classe::método""."
"Job Code","Código do Trabalho"
"Last Run","Última execução"
"Last Status","Último status"
"minute %s","minuto %s"
"Missed","Perdido"
"Missed if Not Run Within","Perdido se não for executado dentro"
"month %s","mês %s"
"Monthly","Mensual"
"Monthly on day %d at %s","Mensalmente no dia %d a %s"
"Next Run","Próxima Execução"
"No callbacks found","Nenhuma chamada encontrada"
"No execution history found.","Nenhum histórico de execução encontrado."
"No job code specified.","Nenhum código de trabalho especificado."
"No schedule ID specified.","Nenhum ID de agendamento especificado."
"Not scheduled","Não agendado"
"Pending","PENDENTE"
"Please select cron job(s).","Por favor, selecione cron job(s)."
"Run Cron Job","Executar cron Job"
"Running","Executando"
"Running...","Correndo..."
"Run Now","Executar agora"
"Schedule","Agendamento"
"Schedule Ahead for","Agendar antecipadamente para"
"Schedule not found.","Agenda não encontrada."
"Success","Sucesso"
"Success History Lifetime","Histórico de sucesso"
"Too late for the schedule.","Tarde demais para o cronograma."
"Total of %d cron job(s) were disabled.","Total of %d cron job(s) were disabled."
"Total of %d cron job(s) were enabled.","Total of %d cron job(s) were enabled."
"Unable to save the cron expression.","Não foi possível salvar a expressão Cron."
"Unknown cron job: %s","Trabalho cron desconhecido: %s"
"weekday %s","Semana %s"
"Weekly","Semanalmente"
"Weekly on %s at %s","Semanalmente em %s a %s"
