"Action","Acão"
"Add New Template","Adicionar Novo Modelo"
"Add to Queue","Adicionar à fila"
"Allow Guest Subscription","Permitir assinatura de convidado"
"An error occurred while saving your subscription.","Ocorreu um erro ao salvar sua assinatura."
"Back","Anterior"
"Be the first to know about new arrivals, special offers, and insider news.","Seja o primeiro a saber sobre novas chegadas, ofertas especiais e notícias internas."
"Cancel","cancelar"
"Cancelled","Cancelado"
"Cannot delete this template. It is currently used by %d email automation sequence(s). Please reassign or delete those sequences first.","Não é possível excluir este modelo. Ele é atualmente usado por sequências de automação de email %d . Por favor, reatribua ou exclua essas sequências primeiro."
"Cannot mark as received subscriber.","Não é possível marcar como assinante recebido."
"Confirmation Email Sender","Remetente do e-mail de confirmação"
"Confirmation Email Template","Confirmação de Email Template"
"Confirmation request has been sent.","Pedido de confirmação foi enviado."
"Convert to Plain Text","Converter para texto sem formatação"
"Coupon Code","Código do cupom"
"Coupon Expiration Date (Formatted)","Data de Validade do Cupom (Formatado)"
"Coupon Expiration Date (Raw)","Data de Expiração do Cupom (var)"
"Coupon Rule Description","Descrição da regra de cupom"
"Create Newsletter Template","Criar modelo de Newsletter"
"Customer","Cliente"
"Customer Email","E-mail do Cliente"
"Customer First Name","Primeiro nome do cliente"
"Customer Last Name","Sobrenome do cliente"
"Customer Middle Name","Nome Médio do Cliente"
"Customer My Account Newsletter Subscriptions","Assinaturas Boletim Informativo do Cliente"
"Customer Name","Nome do cliente"
"Customer Name (Object)","Nome do cliente (objeto)"
"Customer Segments","Segmentos de Clientes"
"Customer Variables","Variáveis do cliente"
"Date Added","Data de inclusão"
"Date Updated","Data de atualização"
"Default Template","Modelo Padrão"
"Delete","excluir"
"Delete Selected Problems","Excluir problemas selecionados"
"Delete Template","Excluir Modelo"
"Do you really want to cancel the queue?","Você realmente quer cancelar a fila?"
"Duplicate template code.","Duplicate template code."
"Edit Newsletter","Editar Boletim"
"Edit Newsletter Template","Editar modelo de Newsletter"
"Edit Queue","Editar Fila"
"Edit Template","Editar Modelo"
"Email","e-mail"
"Email Automation Variables","Variáveis de automação de e-mail"
"Error Code","Código do erro"
"Error Text","Texto do erro"
"Follow this link to unsubscribe:","Siga este link para cancelar a inscrição:"
"Guest","Visitante"
"ID","ID"
"Insert Variable...","Inserir Variável..."
"Invalid queue selected.","Fila selecionada inválida."
"Invalid sender email address","Endereço de e-mail do remetente inválido"
"Invalid subscription confirmation code.","Código de confirmação de assinatura inválido."
"Invalid subscription ID.","ID de assinatura inválido."
"Message","mensagem"
"Need to Confirm","Precisa confirmar"
"New Newsletter Template","Novo modelo de Newsletter"
"Newsletter","Boletim"
"Newsletter Message Preview","Pré-visualizar mensagem do Newsletter"
"Newsletter Problem Reports","Relatórios de Newsletter"
"Newsletter Queue","Fila de Newsletter"
"Newsletter Styles","Estilos de Newsletter"
"Newsletter Subscribers","Assinantes da Newsletter"
"Newsletter Subscription","Assinar Newsletter"
"Newsletter subscription confirmation","Confirmação da Newsletter"
"Newsletter Subscription Form","Formulário de assinatura de Newsletter"
"Newsletter Subscription Form Before","Formulário de assinatura de Newsletter antes"
"Newsletter subscription success","Newsletter assinado com sucesso"
"Newsletter Templates","Modelos de Newsletter"
"Newsletter unsubscription success","Newsletter dessubscrita com sucesso"
"Newsletter Variables","Variáveis da Newsletter"
"New Template","Novo Modelo"
"No problems found.","Nenhum problema encontrado."
"No subscribers selected.","Nenhum assinante selecionado."
"Not Activated","Não ativado"
"No Templates Found","Nenhum modelo foi encontrado"
"Not Sent","Não Enviado"
"Pause","Suspender"
"Paused","Pausado"
"Please enter a valid email address.","Por favor, insira um endereço de e-mail válido."
"Please refer to exeption.log","Por favor, consulte o exeption.log"
"Please select subscriber(s)","Por favor, selecione assinante(s)"
"Preview","Pré-visualizar"
"Preview Template","Visualizar Modelo"
"Processed","Processado"
"Queue Date Start","Data de início da fila"
"Queue Finish","Fila Concluída"
"Queue Information","Informações da Fila"
"Queue Newsletter...","Boletim de fila..."
"Queue Start","Início da Fila"
"Queue Subject","Assunto da Fila"
"Recipients","Destinatários"
"Reset","Reset"
"Resume","Retomar"
"Return HTML Version","Retornar versão HTML"
"Save and Resume","Salvar e Continuar"
"Save As","Salvar Como"
"Save Newsletter","Salvar Boletim"
"Save Template","Salvar Modelo"
"Segment Name","Nome do segmento"
"Selected problems have been deleted.","Os problemas selecionados foram excluídos."
"Selected problem subscribers have been unsubscribed.","Os assinantes com problemas selecionados foram cancelados."
"Sender","Remetente"
"Sender Email","E-mail do remetente"
"Sender Name","Nome do Remetente"
"Sender name is required","Nome do remetente é necessário"
"Sending","Enviando"
"Sent","Enviado"
"Sequence Step Number","Sequência de Número"
"Sign up for our newsletter","Inscreva-se na nossa newsletter"
"Sign Up for Our Newsletter:","Inscreva-se na nossa Newsletter:"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>."
"Start","Iniciar"
"Status","SItuação"
"Store","Armazém"
"Store View","Visão de Loja"
"Subject","Cargo"
"Submit","submeter"
"Subscribe","Inscrever-se"
"Subscribed","Subscrito"
"Subscriber","Assinante"
"Subscriber Email","E-mail do Assinante"
"Subscribers","Assinantes"
"Subscribers From","Assinantes de"
"Subscription Options","Opções de assinatura"
"Success Email Sender","E-mail remetente de Sucesso"
"Success Email Template","Modelo de E-mail de Sucesso"
"Template code is required","Código do modelo é necessário"
"Template Content","Conteúdo do Modelo"
"Template Information","Informações do Template"
"Template Name","Nome do modelo"
"Template Styles","Template Styles"
"Template Subject","Assunto do Modelo"
"Template Type","Tipo de modelo"
"Template type must be numeric","Tipo de modelo deve ser numérico"
"Thank you for your subscription.","Obrigado por sua assinatura."
"The newsletter template has been deleted.","O template da newsletter foi excluído."
"There was a problem with the subscription.","Houve um problema com a assinatura."
"There was a problem with the subscription: %s","Houve um problema com a assinatura: %s"
"There was a problem with the un-subscription.","Houve um problema com o cancelamento da assinatura."
"The subscription has been removed.","A assinatura foi removida."
"The subscription has been saved.","A assinatura foi salva."
"This email address is already assigned to another user.","Este endereço de e-mail já está associado a outro usuário."
"This email address is already confirmed.","Esse endereço de e-mail já está confirmado."
"This email address is already registered.","Endereço de e-mail já registrado"
"Type","tipo"
"Unconfirmed","Não confirmada"
"Unsubscribe","Desinscrever"
"Unsubscribed","Cancelada"
"Unsubscribe Link","Desinscrever Link"
"Unsubscribe Selected","Cancelar Assinatura Selecionada"
"Unsubscription Email Sender","Cancelamento do E-mail Remetente"
"Unsubscription Email Template","Desinscrever Modelo de E-mail"
"View Newsletter","Ver boletim informativo"
"Website","site"
"You are currently subscribed to our newsletter.","Você está inscrito na nossa newsletter."
"You have been unsubscribed.","Sua assinatura foi cancelada."
"Your subscription has been confirmed.","Sua assinatura foi confirmada."
