"%s Index process is working now. Please try run this process later.","O processo de índice %s está funcionando agora. Por favor, tente executar este processo mais tarde."
"'%s' Index Process Information","'%s' Informações de processo de índice"
"Action","Acão"
"Already running, skipped.","Já em execução, ignorado."
"Cannot initialize the indexer process.","Não é possível inicializar o processo de indexação."
"Change Index Mode","Alterar modo de índice"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Clique aqui para ir para <a href=""%s"">Gerenciamento de Cache</a> e atualizar tipos de cache."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Clique aqui para ir para <a href=""%s"">Índice de Gerenciamento</a> e reconstruir os índices necessários."
"Close","FECHAR"
"Delete","excluir"
"Description","Descrição:"
"Disable","Desligado"
"Enable","Habilitado"
"General","Gerais"
"Index","Indexação"
"Index Description","Descrição do índice"
"Indexer code is not defined.","O código do indexador não está definido."
"Indexer model is not defined.","O modelo de indexador não está definido."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","O modelo indexador deve estender Mage_Index_Model_Indexer_Abstract."
"Index Management","Gerenciamento de Índices"
"Index Mode","Modo de Índice"
"Index mode","Modo índice"
"Index Name","Nome do índice"
"Invalid reindex token.","Invalid reindex token."
"Manual Update","Atualização manual"
"Mode","Modo"
"Never","nunca"
"No","Não"
"Not started.","Não iniciado."
"One or more of the Indexes are not up to date:","Um ou mais índices não estão atualizados:"
"Please select Index(es)","Por favor, selecione o índice"
"Please select Indexes","Por favor, selecione índices"
"Process Information","Informações do processo"
"Processing","Processando"
"Process is locked.","O processo está bloqueado."
"Ready","pronto"
"Refresh","atualizar"
"Reindex All","Reindexar todos"
"Reindex complete","Reindexação concluída"
"Reindex Data","Reindexar dados"
"Reindex did not complete","Reindexação não foi concluída"
"Reindex finished with errors","Reindexação concluída com erros"
"Reindex Required","Reindexar Necessário"
"Request failed","Falha na solicitação"
"Revoke","Revoke"
"Status","SItuação"
"System","SISTEMA"
"The index has been saved.","O índice foi salvo."
"The reindex process was interrupted.","O processo de reindexação foi interrompido."
"There was a problem with reindexing process.","Ocorreu um problema com o processo de reindexação."
"There was a problem with saving process.","Houve um problema com o processo de salvamento."
"Total of %d index(es) have changed index mode.","Total de índice(s) %d alteraram o modo de índice."
"Unable to create directory var/%s.","Não é possível criar o diretório var/%s."
"Unknown reindex run.","Reindexação desconhecida."
"Updated At","Atualizado em"
"Update on Save","Atualizar ao Salvar"
"Update Required","Atualização Necessária"
"Yes","sim"
