"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled."
"%s Coupon(s) have been generated","%s Coupon(s) have been generated"
"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar Nova Regra"
"Alphabetical","Alfabético"
"Alphanumeric","Alfanumérico"
"An error occurred while generating coupons. Please review the log and try again.","An error occurred while generating coupons. Please review the log and try again."
"Apply","Aplicar"
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Apply the rule only to cart items matching the following conditions (leave blank for all items)"
"Apply To","Aplicar a"
"Apply to Shipping Amount","Aplicar à Quantidade de Envio"
"Are you sure you want to delete the selected coupon(s)?","Tem a certeza que pretende remover os cupões selecionados?"
"Attribute ""%s"" %s %s %s","Attribute ""%s"" %s %s %s"
"Auto","Automático"
"Auto Generated Specific Coupon Codes","Códigos de Cupão Gerados Automaticamente Específicos"
"Buy X get Y free (discount amount is Y)","Compre X receba Y grátis (o valor do desconto é Y)"
"By Fixed value","Por Valor Fixo"
"By Percentage","Por Percentagem"
"Can't acquire coupon.","Não foi possível obter o cupão."
"Cart Attribute","Atributo do Carrinho"
"Catalog","Catálogo"
"Code Format","Formato do Código"
"Code Length","Tamanho do Código"
"Code Prefix","Prefixo do Código"
"Code Suffix","Sufixo de código"
"Conditions","Condições"
"Conditions combination","Combinação de condições"
"Coupon","Cupão"
"Coupon Code","Código do Cupão"
"Coupon Qty","Qtde de cupão"
"Coupons Information","Coupons Information"
"Coupon with the same code","Cupão com o mesmo código"
"Created On","Criada Em"
"Customer Groups","Grupos de Clientes"
"Dash Every X Characters","Hífen a Cada X Caracteres"
"Date Expire","Date Expire"
"Date Start","Date Start"
"Default Label","Etiqueta Pré-definida"
"Default Rule Label for All Store Views","Etiqueta de Regra Pré-definida para Todas as Vistas de Loja"
"Description","Descrição"
"Discount Amount","Desconto"
"Discount Qty Step (Buy X)","Incremento de Desconto de Qtd (Compre X)"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Edit Rule '%s'"
"Excluding prefix, suffix and separators.","Excluindo o prefixo, sufixo e separadores."
"Fixed amount discount","Desconto de montante fixo"
