"%s was added to your shopping cart.","%s foi adicionado ao seu carrinho de compras."
"%s was updated in your shopping cart.","%s foi atualizado no seu carrinho de compras."
"(Excl. Tax)","(Excl. Imposto)"
"(Incl. Tax)","(Incl. Imposto)"
"* Required Fields","* Campos obrigatórios"
"Add coupon code for shopping cart","Adicionar código de cupom para o carrinho de compras"
"Add gift messages to shopping cart","Adicionar mensagens de presente ao carrinho de compras"
"Additional Product Info","Informação Adicional do Produto"
"Add New Address","Adicionar Novo Endereço"
"Add New Condition","Adicionar Nova Condição"
"Add product(s) to shopping cart","Adicionar produto(s) ao carrinho de compras"
"Add product to shopping cart","Adicionar produto ao carrinho de compras"
"Address","Endereço"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar à comparação"
"Add to Wishlist","Adicionar a Lista de Desejos"
"After Adding a Product Redirect to Shopping Cart","Depois de adicionar um produto, redirecione para o Carrinho de Compras"
"Allow Guest Checkout","Permitir Compras por Visitantes"
"An error occurred. Please try again.","Ocorreu um erro. Por favor, tente novamente."
"An error occurred in the process of payment","Ocorreu um erro no processo de pagamento"
"An error occurred while deleting this condition.","Ocorreu um erro ao excluir esta condição."
"An error occurred while placing your order. Please try again.","Ocorreu um erro ao criar o pedido. Por favor, tente novamente."
"An error occurred while saving this condition.","Ocorreu um erro ao salvar esta condição."
"Apply","Aplicar"
"Applying...","Aplicando..."
"Are you sure you would like to remove this item from the shopping cart?","Tem certeza que deseja remover este item do carrinho de compras?"
"Back","Anterior"
"Billing Address","Endereço de Cobrança"
"Billing Information","Informações de pagamento"
"Cancel","cancelar"
"Cannot add item to the shopping cart.","Não é possível adicionar item ao carrinho de compras."
"Cannot add the item to shopping cart","Não é possível adicionar o item ao carrinho de compras"
"Cannot add the item to shopping cart.","Não é possível adicionar o item ao carrinho de compras."
"Cannot configure product.","Não pode configurar o produto."
"Cannot process the item.","Não é possível processar o item."
"Can not remove the item.","Não é possível remover o item."
"Cannot remove the item.","Não é possível remover o item."
"Can not save item.","Não pode salvar o item."
"Cannot update shopping cart.","Não foi possível atualizar o carrinho"
"Cannot update the item.","Não é possível atualizar o item."
"Card Verification Number Visual Reference","Referência Visual do Número de Verificação do Cartão"
"Cart","Carrinho"
"Cart Item Counter","Contador de Itens do Carrinho"
"Cart Product API","API Produto do Carrinho"
"Cart Subtotal:","Subtotal do carrinho:"
"Change","Troca"
"Change Billing Address","Alterar endereço de cobrança"
"Checkbox Text","Texto da Caixa de Seleção"
"Checkout","Confiramar"
"Checkout Conditions","Condições de Pagamento"
"Checkout Forms Extra","Formulários extras de check-out"
"Checkout Options","Opções de checkout"
"Checkout Progress Wrapper","Progresso de check-out"
"Checkout Terms and Conditions","Termos e Condições de Compra"
"City","cidade"
"Clear Shopping Cart","Limpar Carrinho de Compras"
"Click <a href=""%s"">here</a> to continue shopping.","Clique em <a href=""%s"">aqui</a> para continuar comprando."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Clique <a href=""%s"" onclick=""this.target='_blank'"">aqui para imprimir</a> uma cópia da sua confirmação de pedido."
"Close","FECHAR"
"Company","Empresas"
"Condition Name","Nome da condição"
"Configurable Product Image","Imagem de Produto Configurável"
"Configure Cart Item","Configurar Item do Carrinho"
"Confirm Password","Confirmar senha"
"Content","Conteúdo"
"Content Height","Altura do Conteúdo"
"Content Height (css)","Altura do Conteúdo (css)"
"Continue","Continuar"
"Continue Shopping","Continue comprando"
"Controls how the item count is calculated in the cart icon badge.","Controla como a contagem de itens é calculada no ícone do carrinho."
"Count Method","Contagem do método"
"Country","País/região"
"Coupon:","Cupom:"
"Coupon code ""%s"" was applied.","Código de cupom ""%s"" foi aplicado."
"Coupon code was removed.","Código do cupom foi removido."
"Create an order from shopping cart","Criar um pedido do carrinho de compras"
"Create shopping cart","Criar carrinho de compras"
"Customer's information","Informação do cliente"
"Customer Address is not valid.","Endereço do cliente não é válido."
"Customer Information","Informação do Cliente"
"Delete Condition","Apagar Condição"
"Details","detalhes"
"Disabled","Desabilitado"
"Discount code or gift card","Código de desconto ou cartão presente"
"Discounts","Descontos"
"Display number of items in wishlist","Exibe o número de itens na lista de desejos"
"Displays all checkout steps on a single page in a 2-column layout","Exibe todas as etapas de checkout em uma única página em um layout de 2 colunas"
"Edit","Alterar"
"Edit Address","Editar Endereço"
"Edit Condition","Editar Condição"
"Edit item parameters","Editar parâmetros do item"
"Edit Terms and Conditions","Editar Termos e Condições"
"Email Address","Endereço de e-mail"
"Empty Shopping Cart Content Before","Conteúdo do Carrinho de Compras Vazio Antes"
"Enabled","Ativado"
"Enable One-Step Checkout","Ativar Checkout em um passo"
"Enable Onepage Checkout","Habilitar Onepage Checkout"
"Enable Terms and Conditions","Habilitar Termos e Condições"
"Enter discount code","Inserir código de desconto"
"Enter promo code","Insira o código promocional"
"Estimate","Estimativa"
"Estimate Shipping and Tax","Calcular Portes e Impostos"
"Excl. Tax","Imposto Excl."
"Failed to save billing address. Please try again.","Falha ao salvar o endereço de cobrança. Por favor, tente novamente."
"Fax","Fax"
"Forgot your password?","Esqueceu-se da sua senha?"
"Get list of available payment methods","Obter os métodos de pagamento disponíveis"
