"-- Top Level --","-- Nível Superior --"
"-- Use System Default --","-- Usar Padrão do Sistema --"
"A category with URL key ""%s"" already exists under the same parent.","Uma categoria com chave de URL ""%s"" já existe sob o mesmo pai."
"Add Category","Adicionar Categoria"
"Add Post","Adicionar Postagem"
"Blog","Blogue"
"Blog Categories","Categorias do Blog"
"Blog Category","Categoria do Blog"
"Blog Post","Postagem do Blog"
"Blog Post API","API da postagem do blog"
"Blog Posts","Postagens do Blog"
"Categories","categorias"
"Category Information","Informação da Categoria"
"Category Posts","Posts de categoria"
"Category URL Prefix","Prefixo da Categoria URL"
"Category was successfully deleted","Categoria foi excluída com sucesso"
"Category was successfully saved","Categoria foi salva com sucesso"
"Create blog post","Criar post no blog"
"Create new post","Criar nova postagem"
"Delete Category","Excluir Categoria"
"Delete Post","Excluir Postagem"
"Delete post","Excluir publicação"
"Edit Category","Editar Categoria"
"Edit Category '%s'","Editar Categoria '%s'"
"Edit Post","Editar Publicação"
"Edit Post '%s'","Editar Postagem '%s'"
"Enable Blog Search in Autosuggest","Habilitar a Busca no Blog em Autosuggest"
"Enable Categories","Habilitar categorias"
"General","Gerais"
"General Information","Informações Básicas"
"Get post info","Obter informações da publicação"
"Get post list","Obter lista de publicações"
"Include Images","Incluir imagens"
"Level","Nível"
"Maximum Blog Posts in Autosuggest","Máximo de Posts em AutoSugerir"
"Meta Information","Meta Informação"
"Meta Title","Meta Título"
"New Category","Adicionar categoria"
"New Post","Nova Postagem"
"Parent Category","Categoria Pai"
"Please select category(s)","Selecione categoria(s)"
"Please select post(s)","Por favor, selecione as publicações"
"Position","Posição"
"Post Categories","Categorias de Postagem"
"Post Content","Conteúdo da postagem"
"Post Information","Informação Postal"
"Posts","Postagens"
"Posts per Page","Posts por página"
"Post was successfully deleted","Postagem excluída com sucesso"
"Post was successfully saved","Postagem salva com sucesso"
"Publishing Date","Data de publicação"
"Remove blog post","Remover post do blog"
"Retrieve blog post info","Recuperar informações da postagem do blog"
"Retrieve blog posts","Recuperar posts do blog"
"Save Category","Salvar Categoria"
"Save Post","Salvar publicação"
"Show in Navigation","Exibir na Navegação"
"There are no blog posts in this category.","Não há postagens de blog nesta categoria."
"There are no blog posts to display.","Não há posts no blog para exibir."
"This category no longer exists.","Esta categoria não existe mais."
"This post no longer exists.","Este post não existe mais."
"Total of %d category(s) were deleted","Total de categorias %d foram excluídas"
"Total of %d post(s) were deleted","Total de %d publicações excluídas"
"Update blog post","Atualizar postagem do blog"
"Update post","Atualizar publicação"
"URL Prefix","Prefixo de URL"
