"%s","% s","","","","","",""
"%s already exist.","%s já existe.","","","","","",""
"%s already exists.","%s já existe.","","","","","",""
"-- Please Select --","-- Por favor, selecione --","","","","","",""
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Aviso!</strong> Quando utilizar CDN, em alguns casos o JavaScript pode não executar corretamente se o CDN não estiver no seu subdomínio","","","","","",""
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Aviso!</strong> Ao utilizar Código de Loja nos URLs, em alguns casos o sistema pode não funcionar corretamente se os URLs sem Códigos de Loja forem especificados nos serviços de terceiros (ex. PayPal etc.).","","","","","",""
"A category object is required for determining the product request path.","Um objeto de categoria é necessário para determinar o caminho de solicitação de produto.","","","","","",""
"Add Block Names to Hints","Adicionar Nomes de Blocos a Dicas","","","","","",""
"Add Secret Key To Url","Adicione Chave Secreta à URL","","","","","",""
"Add Secret Key to URLs","Adicionar Chave Secreta aos URLs","","","","","",""
"Add Store Code to Urls","Adicionar o Código da Loja aos Url's","","","","","",""
"Admin","Administrador","","","","","",""
"Admin Base URL","URL Base de Administração","","","","","",""
"Admin User Emails","Admin User E-Mails","","","","","",""
"Advanced","Avançado","","","","","",""
"Advanced Cache Settings","Definições de Cache Avançadas","","","","","",""
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Após selecionar um novo local de armazenamento de mídia, pressione o botão Sincronizar
para transferir todas as mídias para esse local. As mídias não estarão disponíveis no novo
local até que o processo de sincronização seja concluído.","","","","","",""
"Allow Countries","Permitir Países","","","","","",""
"Allow Maho Backend to run in frame","Permitir que o Backend do Maho seja executado em moldura","","","","","",""
"Allow Maho Frontend to run in frame","Permitir Maho Frontend a executar em moldura","","","","","",""
"Allow Symlinks","Permitir Symlinks","","","","","",""
"Allowed IPs (comma separated)","IPs Permitidos (separados por vírgula)","","","","","",""
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Tipos de ficheiros permitidos: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Nem todos os browsers suportam todos estes formatos!","","","","","",""
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Tipos de ficheiros permitidos: ICO, PNG, GIF, JPG, JPEG, APNG. Nem todos os browsers suportam todos estes formatos!","","","","","",""
"Allows customers to stay logged in when switching between different stores.","Permite aos clientes permanecerem conectados ao mudar entre lojas diferentes.","","","","","",""
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Texto alternativo para o link seguinte no menu de paginação. Se estiver vazio, será utilizado a imagem de seta padrão.","","","","","",""
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Texto alternativo para o link anterior no menu de paginação. Se estiver vazio, a imagem de seta padrão será utilizada.","","","","","",""
"An error occured.","An error occured.","","","","","",""
"An error occurred while saving. Please review the error log.","Ocorreu um erro ao guardar. Por favor, reveja o registo de erros.","","","","","",""
"Anchor Text for Next","Texto de âncora para página seguinte","","","","","",""
"Anchor Text for Previous","Texto de âncora para página anterior","","","","","",""
"Anchor symbol (#) is not supported in request path","Símbolo de âncora (#) não é suportado no caminho da solicitação","","","","","",""
"Anchor symbol (#) is not supported in url rewrite suffix","Símbolo de âncora (#) não é suportado no sufixo de reescrita de URL","","","","","",""
"Are you sure?","Tem a certeza?","","","","","",""
"Auto-redirect to Base URL","Redirecionar Automaticamente para o URL Base","","","","","",""
"Back","Voltar","","","","","",""
"Backup Options","Opções de backup","","","","","",""
"Base JavaScript URL","URL JavaScript Base","","","","","",""
"Base Link URL","URL Base do Link","","","","","",""
"Base Media URL","URL de Mídia Base","","","","","",""
"Base Secure URL","URL Segura Base","","","","","",""
"Base Skin URL","URL de Pele Base","","","","","",""
"Base URL","URL Base","","","","","",""
"Base Unsecure URL","URL Base Insegura","","","","","",""
"Before modifying the store view code please make sure that it is not used in index.php.","Antes de modificar o código da vista da loja, certifique-se de que não esteja sendo utilizado em index.php.","","","","","",""
"Before modifying the website code please make sure that it is not used in index.php.","Antes de modificar o código do website, certifique-se de que não esteja sendo utilizado em index.php.","","","","","",""
"Block with name ""%s"" already exists","Bloco com nome ""%s"" já existe","","","","","",""
"Browser Capabilities Detection","Detecção de Recursos do Browser","","","","","",""
"CSRF protection","Proteção CSRF","","","","","",""
"Cache Storage Management","Gestão de armazenamento de cache","","","","","",""
"Cache storage may contain additional data. Are you sure that you want flush it?","Armazenamento de cache pode conter dados adicionais. Tem certeza de que deseja esvaziá-lo?","","","","","",""
"Can not create invoice. Order was not found.","Não é possível criar fatura. Pedido não encontrado.","","","","","",""
"Can't retrieve request object","Não é possível recuperar objeto de solicitação","","","","","",""
"Can't retrieve entity config: %s","Não é possível recuperar configuração de entidade: %s","","","","","",""
"Cancel","Cancelar","","","","","",""
"Cannot complete this operation from non-admin area.","Não é possível completar esta operação a partir de uma área não administrativa.","","","","","",""
"Card type does not match credit card number.","Tipo de cartão não coincide com o número de cartão de crédito.","","","","","",""
"Code","Código","","","","","",""
