"Access denied.","Acesso negado!"
"Anti-scraping throttle on /api/rest/v2/auth/token. Default 20 per minute. 0 to disable.","Rodapé anti-scraping em /api/rest/v2/auth/token. Padrão 20 por minuto. 0 para desabilitar."
"API","API"
"Api Key confirmation must be same as Api Key.","Confirmação da chave API deve ser o mesmo que a chave Api."
"Api Key must be at least of %d characters.","A chave API deve ter pelo menos %d caracteres."
"Api Key must include both numeric and alphabetic characters.","A chave API deve incluir caracteres numéricos e alfabéticos."
"A user with the same user name or email already exists.","Um usuário com o mesmo nome de usuário ou e-mail já existe."
"Auth-token endpoint (per IP)","Ponto de extremidade Auth-token (por IP)"
"Can not find webservice adapter.","Adaptador do WebService não encontrado."
"Client Session Timeout (sec.)","Tempo limite da sessão do cliente (seg.)"
"Customer login","Login do cliente"
"Default Response Charset","Charset de Resposta Padrão"
"Email","e-mail"
"Enable WSDL Cache","Ativar Cache WSDL"
"First Name is required field.","Primeiro Nome é um campo obrigatório."
"General Settings","Configurações Gerais"
"Invalid webservice adapter specified.","Adaptador de webservice inválido especificado."
"Invalid webservice handler specified.","Manipulador de webservice inválido especificado."
"Last Name is required field.","Último Nome é um campo obrigatório."
"Maho Core API","API Maho Core"
"Orphaned API Resources","Recursos órfãos de API"
"Per credential. Covers /auth/token (customer + api_user grants) and the GraphQL customerLogin mutation. Default 5 per minute. 0 to disable.","Por credencial. Cotações /auth/token (subsídios para cliente + api_user) e mutação de login do cliente GraphQL. Padrão 5 por minuto. 0 para desativar."
"Please enter a valid email.","Por favor insira um e-mail válido."
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Funções"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Usuários"
"Unable to login.","Não foi possível logar."
"User Name","Nome de usuário"
"User Name is required field.","O nome de usuário é obrigatório."
"WS-I Compliance","Conformidade WS-I"
"Your account has been deactivated.","Sua conta foi desativada."
