"Action","actie"
"Allow New Accounts via Social Sign-In","Sta nieuwe accounts toe via Social Login"
"Apple Service ID","Apple Service ID"
"Connected Accounts","Verbonden accounts"
"Connected On","Verbonden op"
"Continue with Apple","Ga verder met Apple"
"Continue with Facebook","Ga verder met Facebook"
"Create an app in the Meta developer portal, enable Facebook Login for the Web, and add your store domain to the allowed domains.","Maak een app in de Meta developer portal, schakel Facebook login in voor het web en voeg uw winkel domein toe aan de toegestane domeinen."
"Create a Service ID in the Apple Developer portal. Register your store domain and add https://yourstore.com/customer/social/login as a return URL.","Maak een Service ID aan in het Apple Developer portal. Registreer uw winkel domein en voeg https://yourstore.com/customer/social/login toe als een retour-URL."
"Creating new accounts with social sign-in is not allowed. Please register first.","Het creëren van nieuwe accounts met sociale login is niet toegestaan. Registreer eerst."
"Customer Connected Accounts","Verbonden klanten accounts"
"Customers sign in with the Google Identity Services button. Create an OAuth client ID in the Google Cloud Console and add your store origin to the authorized JavaScript origins.","Klanten inloggen met de knop Google Identity Diensten. Maak een OAuth client ID in de Google Cloud Console en voeg je winkel oorsprong toe aan de geautoriseerde JavaScript-oorsprong."
"Email","E-mailadres"
"Enable Facebook Login","Schakel Facebook login in"
"Enable Google One Tap","Schakel Google One Tap in"
"Enable Google Sign-In","Google inloggen inschakelen"
"Enable Sign in with Apple","Inschakelen inloggen met Apple"
"Facebook App ID","Facebook App ID"
"Facebook App Secret","Facebook App Geheim"
"Failed Attempts Allowed per IP per Hour","Mislukte pogingen toegestaan per IP per uur"
"Google Client ID","Google Client-ID"
"How long an issued sign-in nonce stays valid. Values below 60 seconds are raised to 60.","Hoe lang een uitgegeven login nonce geldig blijft. Waarden minder dan 60 seconden worden verhoogd tot 60."
"How many failed social sign-in attempts one IP address can make per hour. Set 0 to disable the limit.","Hoeveel mislukte sociale inlog probeert een IP-adres te maken per uur. Stel 0 in om de limiet uit te schakelen."
"Invalid authentication token.","Ongeldige authenticatietoken."
"Invalid form key. Please refresh the page and try again.","Ongeldige formuliersleutel. Ververs de pagina en probeer het opnieuw."
"Linked Sign-In Providers","Gelinkte login aanbieders"
"or","of"
"Please complete the required fields of your profile.","Vul de vereiste velden van uw profiel in."
"Provider","Leverancier"
"Provider Email","Provider E-mail"
"Shows the One Tap prompt to returning Google users on the login and register pages.","Toont de One Tap prompt om Google-gebruikers terug te sturen naar de login en register pagina's."
"Sign-in failed. Please try again later.","Inloggen mislukt. Probeer het later opnieuw."
"Sign-In Nonce Lifetime (Seconds)","Sign-In Nonce Levensduur (seconden)"
"Sign-in verification is temporarily unavailable. Please try again later.","Inloggen tijdelijk niet mogelijk. Probeer het later nog eens."
"Social Login","Social Login"
"The linked customer account no longer exists.","Het gekoppelde klantaccount bestaat niet meer."
"The sign-in provider could not be unlinked.","De inlog provider kon niet ontkoppeld worden."
"The sign-in provider has been unlinked.","De inlog provider is ontkoppeld."
"This account is not active.","Dit account is niet actief."
"This customer has no linked sign-in providers.","Deze klant heeft geen gekoppelde inlog leveranciers."
"This sign-in method is not available.","Deze inlogmethode is niet beschikbaar."
"Too many attempts. Please try again later.","Te veel pogingen. Probeer het later opnieuw."
"Unknown sign-in provider.","Onbekende inlog provider."
"Unlink","Ontkoppelen"
"When disabled, only customers with an existing account can sign in with a social provider.","Wanneer uitgeschakeld, kunnen alleen klanten met een bestaand account inloggen met een sociale provider."
"You can sign in with these connected providers.","U kunt inloggen met deze verbonden providers."
"You have no connected sign-in providers.","U heeft geen inlog providers."
"Your account has been created.","Uw account is aangemaakt."
"Your sign-in attempt has expired. Please try again.","Uw aanmeldpoging is verlopen. Probeer het opnieuw."
