"%d country(s) were skipped because they no longer exist.","%d land(en) zijn overgeslagen omdat ze niet meer bestaan."
"%d region(s) were skipped because they have existing region names.","%d regio('s) zijn overgeslagen omdat ze bestaande regionamen hebben."
"-- Please select --","-- Selecteer --"
"A country with this ID already exists.","Een land met deze ID bestaat al."
"Add New Country","Nieuw land toevoegen"
"Add New Region","Nieuwe regio toevoegen"
"Add Translation","Vertaling toevoegen"
"Allowed Currencies","Toegestane valuta"
"An invalid base currency has been entered.","Een ongeldige basisvaluta is ingevoerd."
"API Access Key","API toegangssleutel"
"API Key","API Sleutel"
"A region name for this locale and region combination already exists.","Er bestaat al een regio naam voor deze lokale en regionale combinatie"
"A region with code ""%s"" already exists in this country.","Een regio met code ""%s"" bestaat al in dit land."
"Are you sure you want to delete the selected countries?","Weet u zeker dat u de geselecteerde landen wilt verwijderen?"
"Are you sure you want to delete the selected region names?","Weet u zeker dat u de geselecteerde regionamen wilt verwijderen?"
"Are you sure you want to delete the selected regions?","Weet u zeker dat u de geselecteerde regio's wilt verwijderen?"
"Are you sure you want to delete this country?","Weet je zeker dat je dit land wilt verwijderen?"
"Are you sure you want to delete this region?","Weet u zeker dat u deze regio wilt verwijderen?"
"Base Currency","Basis valuta"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Basisvaluta wordt gebruikt voor alle online transacties. Scope is gedefinieerd door de catalogus prijs scope (""Catalogus"" > ""Prijs"" > ""Catalogus Prijs Scope"")."
"Cannot delete region with existing region names. Please delete all region names first.","Kan het gebied met bestaande regionale namen niet verwijderen. Verwijder eerst alle regionale namen."
"Close","Afsluiten"
"Connection Timeout in Seconds","Verbinding Time-out in seconden"
"Continue &raquo;","Continue &raquo;"
"Countries","Landen"
"Country","Land:"
"Country and Format Type combination should be unique","Combinatie land en formaat type moet uniek zijn"
"Country API","Land API"
"Country ID","Land ID"
"Country ID cannot be changed after creation","Land ID kan niet worden gewijzigd na aanmaken"
"Country ID is required.","Land ID is vereist."
"Country ID must be exactly 2 uppercase letters.","Land ID moet precies 2 hoofdletters zijn."
