"-- Top Level --","-- Top Niveau --"
"-- Use System Default --","-- Systeemstandaard gebruiken --"
"A category with URL key ""%s"" already exists under the same parent.","Een categorie met URL-sleutel ""%s"" bestaat al onder dezelfde bovenliggende categorie."
"Add Category","Categorie toevoegen"
"Add Post","Bericht toevoegen"
"Blog","Blog"
"Blog Categories","Blog Categorieën"
"Blog Category","Blog categorie"
"Blog Post","Blog bericht"
"Blog Post API","Blog Post API"
"Blog Posts","Blog berichten"
"Categories","Categoriechar@@0n"
"Category Information","Categorie Informatie"
"Category Posts","Categorie berichten"
"Category URL Prefix","Categorie URL voorvoegsel"
"Category was successfully deleted","Categorie is succesvol verwijderd"
"Category was successfully saved","Categorie is succesvol opgeslagen"
"Create blog post","Blogbericht aanmaken"
"Create new post","Nieuw bericht aanmaken"
"Delete Category","Categorie verwijderen"
"Delete Post","Verwijder bericht"
"Delete post","Bericht verwijderen"
"Edit Category","Categorie bewerken"
"Edit Category '%s'","Wijzig categorie '%s'"
"Edit Post","Bericht bewerken"
"Edit Post '%s'","Bericht '%s ' bewerken"
"Enable Blog Search in Autosuggest","Blog zoeken inschakelen in automatisch suggereren"
"Enable Categories","Categorieën inschakelen"
"General","Algemeen"
"General Information","Algemene informatie"
"Get post info","Post info ophalen"
"Get post list","Haal berichtlijst op"
"Include Images","Afbeeldingen opnemen"
"Level","Niveau"
"Maximum Blog Posts in Autosuggest","Maximale Blog berichten in automatisch suggereren"
"Meta Information","Meta Informatie"
"Meta Title","Meta Tag titel"
"New Category","Nieuwe categorie"
"New Post","Nieuw bericht"
"Parent Category","Bovenliggende categorie"
"Please select category(s)","Selecteer categorie(s)"
"Please select post(s)","Selecteer bericht(en)"
"Position","Positie"
"Post Categories","Post categorieën"
"Post Content","Bericht inhoud"
"Post Information","Post informatie"
"Posts","Berichten"
"Posts per Page","Berichten per pagina"
"Post was successfully deleted","Bericht is succesvol verwijderd"
"Post was successfully saved","Bericht is succesvol opgeslagen"
"Publishing Date","Publicatie datum"
"Remove blog post","Blog verwijderen"
"Retrieve blog post info","blog post info ophalen"
"Retrieve blog posts","Blogberichten ophalen"
"Save Category","Categorie opslaan"
"Save Post","Bericht opslaan"
"Show in Navigation","Toon in navigatie"
"There are no blog posts in this category.","Er zijn geen blogberichten in deze categorie."
"There are no blog posts to display.","Er zijn geen blogberichten om weer te geven."
"This category no longer exists.","Categorie werd verwijderd door beheerder of moderator"
"This post no longer exists.","Dit bericht bestaat niet meer."
"Total of %d category(s) were deleted","Totaal van %d categorie(s) werden verwijderd"
"Total of %d post(s) were deleted","Totaal van %d post(s) zijn verwijderd"
"Update blog post","Blogbericht bijwerken"
"Update post","Bericht bijwerken"
"URL Prefix","URL voorvoegsel"
