"%s Screenshot","%s Schermafbeelding"
"%s violation(s)","%s schending(en)"
"Accessibility Scan","Toegankelijkheid scan"
"Accessibility Scan Report","Toegankelijkheid Scan Rapport"
"Accessibility Violations","Schending van toegankelijkheid"
"Advanced","Geavanceerd"
"Are you sure you want to delete this scan?","Weet u zeker dat u deze scan wilt verwijderen?"
"axe-core could not automatically evaluate %s check(s) (for example, color contrast over an image). Review them manually.","as-core kan de controle(s) van %s niet automatisch evalueren (bijvoorbeeld kleurcontrast boven een afbeelding). Bekijk ze handmatig."
"Back","Achterzijde"
"CLI","CLI"
"Command failed (exit code %s): %s","Opdracht mislukt (exit code %s): %s"
"Command timed out after %s seconds: %s","Opdracht time-out na %s seconden: %s"
"Complete","Complete"
"Completed","Voltooid"
"Conformance level used when starting a scan without an explicit level.","Conformentieniveau gebruikt bij het starten van een scan zonder expliciet niveau."
"Critical","Kritiek"
"Cron expression. Default: <strong>0 3 * * *</strong> (daily at 3am).","Cron expressie. Standaard: <strong>0 3 * *</strong> (dagelijks om 3am)."
"Cron Schedule","Cron schema"
"Date","Datum:"
"Default WCAG Level","Standaard WCAG niveau"
"Delete","Verwijderen"
"Delete Scans After","Verwijder Scans na"
"Desktop","Startscherm"
"Desktop Viewport","Bureaublad Viewport"
"Enabled","Ingeschakeld"
"Export PDF","Exporteren als PDF"
"Failed","Mislukt"
"Fix all of the following","Repareer alle volgende"
"Fix any of the following","Repareer een van de volgende"
"General Settings","Algemene instellingen"
"How to fix","Hoe te repareren"
"HTML","HTML"
"ID","ID"
"Invalid scan URL ""%s"": every URL must belong to one of the configured store base URLs","Ongeldige scan URL ""%s"": elke URL moet behoren tot een van de geconfigureerde winkel basis URL's"
"Learn more","Meer informatie"
"Manual","Handleiding"
"Maximum time in seconds to wait for a single page scan.","Maximale tijd in seconden om te wachten op een enkele pagina scan."
"Minor","Klein"
"Mobile","Mobiel"
"Mobile Viewport","Mobiele weergave"
"Moderate","Matig"
"Needs Review","Beoordeling nodig"
"No automatically detectable violations were found. Automated checks cover only part of WCAG, so manual testing with a keyboard and a screen reader is still recommended.","Er zijn geen automatisch detecteerbare overtredingen gevonden. Geautomatiseerde controles dekken slechts een deel van de WCAG, dus handmatige testen met een toetsenbord en een schermlezer is nog steeds aanbevolen."
"Node.js %s is installed, but the scanner requires version %s or newer.","Node.js %s is geïnstalleerd, maar de scanner vereist versie %s of nieuwer."
"Node.js Binary Path","Node.js Binary Pad"
"Node.js was not found (looking for ""%s""). Install Node.js %s or newer, or set its full path in System > Configuration > Accessibility Scan.","Node.js is niet gevonden (op zoek naar ""%s""). Installeer node. s %s of nieuwer, of stel het volledige pad in in in Systeem > Configuratie > Toegankelijkheid kan."
"npm Binary Path","npm Binary Pad"
"npm was not found (looking for ""%s""). Install it together with Node.js, or set its full path in System > Configuration > Accessibility Scan.","npm is niet gevonden (op zoek naar ""%s""). Installeer het samen met Node. , of stel het volledige pad in in in Systeem > Configuratie > Toegankelijkheid kan"
"One URL per line. Every URL must belong to one of the configured store base URLs.","Eén URL per regel. Elke URL moet behoren tot een van de geconfigureerde winkel basis URL's."
"Page Title","Pagina Titel"
"Path to the node executable. Default: node","Pad naar node uitvoerbaar. Standaard: node"
"Path to the npm executable. Default: npm","Pad naar npm executable. Standaard: npm"
"Pending","Lopende"
"Periodically scan the URLs below via cron, using the default WCAG level.","Scan periodiek de URL's hieronder via cron, met behulp van het standaard WCAG niveau."
"Please provide a valid URL to scan","Geef een geldige URL op om te scannen"
"Run a New Scan","Een nieuwe scan uitvoeren"
"Running","Lopend"
"Scan #%s","Scan #%s"
"Scan failed","Scannen mislukt"
"Scan failed: %s","Scan mislukt: %s"
"Scan History","Geschiedenis scannen"
"Scan ID","Scan ID"
"Scanning... this can take a couple of minutes.","Scannen... Dit kan enkele minuten duren."
"Scan not found","Scan niet gevonden"
"Scan Results","Scan resultaten"
"Scans older than this many days are deleted automatically. 0 keeps everything.","Scans ouder dan dit aantal dagen worden automatisch verwijderd. 0 houdt alles in."
"Scan Timeout","Scan Timeout"
"Scheduled","Gepland"
"Scheduled Scans","Geplande Scans"
"Selector","Kiezer"
"Serious","Serieus"
"Show on desktop screenshot","Toon op schermafbeelding"
"Show on mobile screenshot","Toon op mobiele schermafbeelding"
"Source","Bron"
"Started","Gestart"
"Start Scan","Scan starten"
"Status","status"
"Summary","Summary"
"System","Systeem"
"Template","Sjabloon"
"Template Source","Sjabloon bron"
"The scan has been deleted.","De scan is verwijderd."
"The scanner cannot run on this server yet:","De scanner kan nog niet uitgevoerd worden op deze server:"
"The scanner returned an unexpected result","De scanner gaf een onverwacht resultaat terug"
"The scanner runtime is not installed yet. Run ""./maho accessibility:install"" from the command line to install it.","De scanner runtime is nog niet geïnstalleerd. Voer ""./maho toegankbility:installeer"" uit vanaf de command line om het te installeren."
"The URL to scan must belong to one of the configured store base URLs","De URL om te scannen moet behoren tot een van de geconfigureerde winkel basis URL's"
"This report was generated with automated checks (axe-core), which detect only a subset of WCAG success criteria. A report with no violations does not guarantee conformance; manual testing with a keyboard and a screen reader is still required.","Dit rapport werd gegenereerd met geautomatiseerde controles (axe-core), die alleen een aantal WCAG succescriteria detecteren. Een rapport zonder overtredingen garandeert geen overeenstemming; handmatig testen met een toetsenbord en een schermlezer is nog steeds vereist."
"Total","Totaal"
"Total Scans","Totale Scans"
"Total Violations","Totaal aantal overtredingen"
"Unable to acquire the scanner install lock","Kan de scanner installatiesleutel niet verkrijgen"
"Unable to copy the scanner script to %s","Kan het scanner script niet kopiëren naar %s"
"Unable to create directory %s","Kan map %s niet aanmaken"
"Unable to start process: %s","Kan proces niet starten: %s"
"URL","URL"
"URLs to Scan","URL's om te scannen"
"URL to scan","Te scannen URL"
"URL to scan, e.g. https://store.example.com/","Te scannen URL, bijvoorbeeld https://store.example.com/"
"Violation #%s: %s","Overtreding #%s: %s"
"Violations","Overtredingen"
"Violations (Latest Scan)","Schendingen (Grootste scan)"
"WCAG %s","WCAG %s"
"WCAG 2.2 Level A","WCAG 2.2 Niveau A"
"WCAG 2.2 Level AA","WCAG 2.2 Niveau AA"
"WCAG 2.2 Level AAA","WCAG 2.2 Niveau AA"
"WCAG Level","WCAG level"
"Width x height in CSS pixels, scanned with mobile emulation. Default: 390x844","Breedte x hoogte in CSS pixels, gescand met mobiele emulatie. Standaard: 390x844"
"Width x height in CSS pixels. Every scan runs one pass per viewport. Default: 1280x1024","Breedte x hoogte in CSS pixels. Elke scan draait één pass per viewport. Standaard: 1280x1024"
