"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">link</a>"
"Actions XML is not valid.","Acties XML is niet geldig."
"An error occurred while opening file: ""%s"".","Er is een fout opgetreden bij het openen van bestand: ""%s""."
"Could not load file: ""%s"".","Kan bestand niet laden: ""%s""."
"Could not save file: %s.","Kan het bestand niet opslaan: %s."
"Declared adapter %s was not found.","Verlaagde adapter %s niet gevonden."
"Destination folder ""%s"" is not a directory.","Doelmap ""%s"" is geen map."
"Destination folder ""%s"" is not writable.","Doelmap ""%s"" is niet schrijfbaar."
"Done","Voltooid"
"Dry run set, stopping execution.","Dry run set en stop de uitvoering."
"Error in field mapping: field list for mapping is not defined.","Fout in veldtoewijzing: veldlijst voor toewijzing is niet gedefinieerd."
"ETA: %s","ETA: %s"
"File ""%s"" does not exist.","Bestand ""%s"" bestaat niet."
"Found %d rows.","%d rijen gevonden."
"hour","uur"
"hours","Uren"
"Invalid file path.","Ongeldig bestandspad."
"Invalid node.","Ongeldig knooppunt."
"Less than a minute","Minder dan een minuut"
"Loaded successfully: ""%s"".","Succesvol geladen: ""%s""."
"Memory Used: %s","Geheugen gebruikt: %s"
"Method ""%s"" not defined in adapter %s.","Methode ""%s"" niet gedefinieerd in adapter %s."
"Method ""%s"" was not defined in adapter %s.","Methode ""%s"" werd niet gedefinieerd in adapter %s."
"minute","minuut"
"minutes","minuten"
"Path ""%s"" is not allowed. Files must be in var/export or var/import.","Pad ""%s"" is niet toegestaan. Bestanden moeten in var/export of var/import."
"Please declare ""adapter"" and ""method"" nodes first.","Geef eerst ""adapter"" en ""method"" nodes aan."
"Processed records: %s","Verwerkte gegevens: %s"
"Profile with the same name already exists.","Profiel met dezelfde naam bestaat al."
"Saved successfully: ""%s"" [%d byte(s)].","Succesvol opgeslagen: ""%s"" [%d byte(s)]."
"Sheet 1","Blad 1"
"Skip undefined row.","Sla ongedefinieerde rij over."
"Starting %s :: %s","Starting %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","De bestemmingsmap ""%s"" bestaat niet of er is geen toegang om deze aan te maken."
"Total records: %s","Totaal aantal records: %s"
"Upload failed. Can not find required columns: %s in file %s.","Uploaden mislukt. Kan de vereiste kolommen niet vinden: %s in bestand %s."
"Upload failed. Wrong data format in file: %s.","Upload mislukt. Verkeerd gegevensformaat in bestand: %s."
