"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Winkelwagen Prijsregels gebaseerd op ""%s"" attribuut is uitgeschakeld."
"%s Coupon(s) have been generated","%s Coupon(s) zijn gegenereerd"
"Actions","acties"
"Active","actief"
"Add New Rule","Nieuwe regel toevoegen"
"Alphabetical","Alfabetisch"
"Alphanumeric","Alphanumeric"
"An error occurred while generating coupons. Please review the log and try again.","Er is een fout opgetreden tijdens het genereren van coupons. Controleer het logboek en probeer het opnieuw."
"Apply","Toepassen"
"Apply the rule only if the following conditions are met (leave blank for all products)","Pas de regel alleen toe als aan de volgende voorwaarden is voldaan (laat leeg voor alle producten)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Pas de regel alleen toe op winkelwagen artikelen die voldoen aan de volgende voorwaarden (laat leeg voor alle artikelen)"
"Apply To","Toepassen op"
"Apply to Shipping Amount","Toepassen op verzendbedrag"
"Are you sure you want to delete the selected coupon(s)?","Weet u zeker dat u de geselecteerde coupon(s) wilt verwijderen?"
"Attribute ""%s"" %s %s %s","Attribuut ""%s"" %s %s %s"
"Auto","Automatisch"
"Auto Generated Specific Coupon Codes","Automatisch gegenereerde kortingscodes"
"Buy X get Y free (discount amount is Y)","Koop X en krijg Y-aantal gratis (kortingsbedrag is Y)"
"By Fixed value","Met vaste waarde"
"By Percentage","Met percentage"
"Can't acquire coupon.","Kan coupon niet ophalen."
"Cart Attribute","Kenmerk winkelwagen"
"Catalog","Catalogus"
"Code Format","Code Formaat"
"Code Length","Lengte code"
"Code Prefix","Code voorvoegsel"
"Code Suffix","Code Suffix"
"Conditions","Voorwaarden"
"Conditions combination","Combinatie van voorwaarden"
"Coupon","Kortingsbon"
"Coupon Code","Kortingsbon code"
"Coupon Qty","Kortingsbon hoeveelheid"
"Coupons Information","Coupons informatie"
"Coupon with the same code","Coupon met dezelfde code"
"Created On","Aangemaakt op"
"Customer Groups","Groepen klant"
"Dash Every X Characters","Streep elke X tekens"
"Date Expire","Datum Verlopen"
"Date Start","Startdatum"
"Default Label","Standaard label"
"Default Rule Label for All Store Views","Standaard label voor alle Winkelaanzichten"
"Description","Beschrijving"
"Discount Amount","Korting hoeveelheid"
"Discount Qty Step (Buy X)","Korting hoeveelheid stap (Koop X)"
"Edit Rule","Regel bewerken"
"Edit Rule '%s'","Bewerk regel '%s'"
"Excluding prefix, suffix and separators.","Behalve voorvoegsel, achtervoegsel en scheidingstekens."
"Fixed amount discount","Vast kortingsbedrag"
"Fixed amount discount for whole cart","Vast kortingsbedrag voor hele winkelwagen"
"For matching items only","Alleen voor overeenkomende artikelen"
"For shipment with matching items","Voor verzending met overeenkomende artikelen"
"FOUND","GEVONDEN"
"Free Shipping","Gratis verzending"
"From Date","Vanaf datum"
"General Information","Algemene informatie"
"Generate","Genereren"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Indien %s %s %s voor een subselectie van artikelen in de winkelwagen die overeenkomen met %s van deze voorwaarden:"
"If an item is %s in the cart with %s of these conditions true:","Indien een artikel %s in de winkelwagen zit met %s van deze voorwaarden in waarheid:"
"If empty no separation.","Laat leeg voor geen streepjes."
"If you select and save the rule you will be able to generate multiple coupon codes.","Als u de regel selecteert en opslaat kun je coupon codes genereren"
"Inactive","Inactief"
"is assigned","is toegewezen"
"is not assigned","is niet toegewezen"
"Item totals are not set for rule.","Item totalen zijn niet ingesteld voor regel."
"Labels","Labels"
"Manage Coupon Codes","Kortingscodes beheren"
"Maximum Qty Discount is Applied To","Maximaal aantal waarop korting is toegepast (per product)"
"New Rule","Nieuwe regel"
"No","Neen"
"No Coupon","Geen kortingscode"
"NOT FOUND","NIET GEVONDEN"
"NOT LOGGED IN","NIET AFGELOPEN"
"Not valid data provided","Geen geldige gegevens opgegeven"
"Number of Uses","Aantal keer gebruikt"
"Numeric","Numeric"
"Payment Method","Betaalmethode"
"Percent of product price discount","Korting op de productprijs"
"Period","Periode"
"Price in cart","Prijs in winkelwagen"
"Priority","Prioriteit"
"Product attribute combination","Combinatie productattribuut"
"Products subselection","Subselectie producten"
"Promotions","Aanbiedingen"
"Public In RSS Feed","Openbaar in RSS-feed"
"Quantity in cart","Aantal in winkelwagen"
"Row total in cart","Rij totaal in winkelwagen"
"Rule Information","Regel Informatie"
"Rule is not defined","Regel is niet gedefinieerd"
"Rule Name","Regel naam"
"Sales Discount Amount","Bedrag verkoopkorting"
"Sales Subtotal Amount","Verkoop subtotaal bedrag"
"Sales Total Amount","Totaal verkoopbedrag"
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
"Shipping Country","Afleveradres Land"
"Shipping Method","Verzendmethode"
"Shipping Postcode","Postcode verzending"
"Shipping Region","Regio afleveradres"
"Shipping State/Province","Provincie van verzending"
"Shopping Cart Price Rule","Winkelwagen Prijs Regel"
"Shopping Cart Price Rules","Winkelwagen Prijs Regels"
"Special Price","Speciale prijs"
"Specific Coupon","Specifieke kortingsbon"
"Status","status"
"Stop Further Rules Processing","Stop met verder verwerken van regels"
"Store View Specific Labels","Specifieke labels van het winkelaanzicht"
"Subtotal","Subtotaal"
"Subtotal Amount","Subtotaal bedrag"
"The rule has been deleted.","De regel is verwijderd"
