"Action","actie"
"Add New Template","Nieuwe sjabloon toevoegen"
"Add to Queue","Toevoegen aan wachtrij"
"Allow Guest Subscription","Gast-abonnement toestaan"
"An error occurred while saving your subscription.","Er is een fout opgetreden tijdens het opslaan van uw abonnement."
"Back","Achterzijde"
"Be the first to know about new arrivals, special offers, and insider news.","Wees de eerste om op de hoogte te zijn van nieuwe aankomers, speciale aanbiedingen en insider nieuws."
"Cancel","annuleren"
"Cancelled","Geannuleerd"
"Cannot delete this template. It is currently used by %d email automation sequence(s). Please reassign or delete those sequences first.","Kan deze sjabloon niet verwijderen. Het wordt momenteel gebruikt door %d e-mail automatisering(en). Gelieve deze volgorde opnieuw toe te wijzen of eerst te verwijderen."
"Cannot mark as received subscriber.","Kan niet markeren als ontvangen ontvangers."
"Confirmation Email Sender","Afzender Bevestiging E-mail"
"Confirmation Email Template","Bevestiging e-mail sjabloon"
"Confirmation request has been sent.","Verzoek tot bevestiging is verzonden."
"Convert to Plain Text","Converteren naar platte tekst"
"Coupon Code","Kortingsbon code"
"Coupon Expiration Date (Formatted)","Coupon vervaldatum (opmaakdatum)"
"Coupon Expiration Date (Raw)","Coupon vervaldatum (Ruig)"
"Coupon Rule Description","Coupon regel omschrijving"
"Create Newsletter Template","Nieuwsbrief-sjabloon maken"
"Customer","Klant"
"Customer Email","Klant e-mail"
"Customer First Name","Voornaam klant"
"Customer Last Name","Achternaam klant"
"Customer Middle Name","Klant tweede naam"
"Customer My Account Newsletter Subscriptions","Klant > Mijn Account > Nieuwsbrief inschrijvingen"
"Customer Name","Klant naam"
"Customer Name (Object)","Klantnaam (object)"
"Customer Segments","Klant segmenten"
"Customer Variables","Klantvariabelen"
"Date Added","Datum toegevoegd"
"Date Updated","Datum bijgewerkt"
"Default Template","Standaard sjabloon"
"Delete","Verwijderen"
"Delete Selected Problems","Geselecteerde problemen verwijderen"
"Delete Template","Sjabloon verwijderen"
"Do you really want to cancel the queue?","Weet u zeker dat u de wachtrij wilt annuleren?"
"Duplicate template code.","Duplicate template code."
"Edit Newsletter","Nieuwsbrief bewerken"
"Edit Newsletter Template","Nieuwsbrief-sjabloon bewerken"
"Edit Queue","Wachtrij bewerken"
"Edit Template","Sjabloon bewerken"
"Email","E-mailadres"
"Email Automation Variables","E-mail automatisering variabelen"
"Error Code","Foutmelding code"
"Error Text","Foutmelding tekst"
"Follow this link to unsubscribe:","Volg deze link om u uit te schrijven:"
"Guest","Gast"
"ID","ID"
"Insert Variable...","Voeg variabele in..."
"Invalid queue selected.","Ongeldige wachtrij geselecteerd."
"Invalid sender email address","Ongeldig e-mailadres afzender"
"Invalid subscription confirmation code.","Ongeldige bevestigingscode voor abonnement."
