"-- Please Select --","-- Selecteer --"
"Add to Cart","Aan winkelwagen toevoegen"
"Are you sure to delete this fallback color?","Weet u zeker dat u deze terugvalkleur wilt verwijderen?"
"Choose an Option...","Kies een optie..."
"Configurable Swatches","Configureerbare Swatches"
"Dynamic Price Change for Swatches in Product Listing","Dynamische prijswijziging voor horloges in productoverzicht"
"Enabled","Ingeschakeld"
"General Settings","Algemene instellingen"
"Height","Højde"
"Innermost dimensions, not including border, in pixels","Binnenste afmetingen, niet inclusief grenzen in pixels"
"In Stock","Op voorraad"
"Out of Stock","Niet op voorraad"
"Previous","named@@0"
"Product Attributes to Show as Swatches in Product Detail","Te tonen productattributen als horloges in detail product"
"Product Attribute to Use for Swatches in Product Listing","Productattribuut om te gebruiken voor Swatches in productoverzicht"
"Remove This Item","Dit item verwijderen"
"Swatch","Staal"
"Swatch Dimensions in Layered Navigation","Swatch Dimensies in gelaagde navigatie"
"Swatch Dimensions in Product Listing","Swatch dimensies in productoverzicht"
"Swatch Dimensions on Product Detail Page","Swatch dimensies op product detailpagina"
"Width","Width"
