"%dh","%du"
"%dh %dm","%du %dm"
"%dm","%dm"
"%dm %ds","%dm %ds"
"%ds","%dsec"
"Are you sure you want to disable the selected cron job(s)?","Weet u zeker dat u de geselecteerde cron job(s) wilt uitschakelen?"
"At %s","In %s"
"Callback","Callback"
"Clear History","Geschiedenis verwijderen"
"Close","Afsluiten"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (geplande taken) - alle tijden zijn in minuten"
"Cron does not appear to be running. No jobs have been executed in the last hour. Please verify that cron is configured on your server.","Cron lijkt niet actief te zijn. Er zijn geen taken uitgevoerd in het laatste uur. Controleer of de cron is geconfigureerd op uw server."
"Cron history has been cleared. %d record(s) deleted.","Cron geschiedenis is gewist. %d record(s) verwijderd."
"Cron job ""%s"" has been disabled.","Cron job ""%s"" is uitgeschakeld."
"Cron job ""%s"" has been enabled.","Cron job ""%s"" is ingeschakeld."
"Cron Jobs","Cron taken"
"Daily","Dagelijks"
"Daily at %s","Dagelijks bij %s"
"day %s","dag %s"
"Disable","Uitschakelen"
"Disabled","Uitgeschakeld"
"Enable","Inschakelen"
"Enabled","Ingeschakeld"
"Every %d hours at minute %d","Elke %d uur op minuut %d"
"Every %d minutes","Elke %d minuten"
"Every cron run","Elke cron run"
"Every hour","Elk uur"
"Every minute","Elke minuut"
"Execution History","Executie Historie"
"Failure History Lifetime","Failure Historie Levensduur"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Zorg dat Web > Veilige en Onveilige basis-URL's zijn ingesteld om correcte URL's te genereren tijdens cron runs."
"Generate Schedules Every","Genereer Schedules Elke"
"History","Geschiedenis"
"History Cleanup Every","Geschiedenis opschonen elke"
"hour %s","uur %s"
"Hourly","Per uur"
"Invalid callback: %s::%s does not exist","Ongeldige callback: %s::%s bestaat niet"
"Invalid model/method definition, expecting ""model/class::method"".","Ongeldig model/methode definitie, verwacht ""model/class::method""."
"Job Code","Werk code"
"Last Run","Laatst uitgevoerd"
"Last Status","Laatste status"
"minute %s","minuut %s"
"Missed","Gemist"
"Missed if Not Run Within","Gemist als niet uitgevoerd binnen"
"month %s","maand %s"
"Monthly","maandelijks"
"Monthly on day %d at %s","Maandelijks op dag %d om %s"
"Next Run","Volgende uitvoering"
"No callbacks found","Geen callbacks gevonden"
"No execution history found.","Geen uitvoeringshistorie gevonden."
"No job code specified.","Er is geen taakcode opgegeven."
"No schedule ID specified.","Geen schedule ID gespecificeerd."
"Not scheduled","Niet gepland"
"Pending","Lopende"
"Please select cron job(s).","Selecteer cron job(s)."
"Run Cron Job","Voer Cron Job uit"
"Running","Lopend"
"Running...","Bezig..."
"Run Now","Nu uitvoeren"
"Schedule","Planning"
"Schedule Ahead for","Planning vooruit maken voor"
"Schedule not found.","Schema niet gevonden."
"Success","Geslaagd"
"Success History Lifetime","Succes geschiedenis levensduur"
"Too late for the schedule.","Te laat voor het schema."
"Total of %d cron job(s) were disabled.","Totaal van %d cron job(s) zijn uitgeschakeld."
"Total of %d cron job(s) were enabled.","Totaal van %d cron job(s) zijn ingeschakeld."
"Unable to save the cron expression.","Kan cron-opdracht niet opslaan."
"Unknown cron job: %s","Onbekende cronjob: %s"
"weekday %s","weekdag %s"
"Weekly","wekelijks"
"Weekly on %s at %s","Wekelijks op %s in %s"
