"1 star","1 ster"
"2 stars","2 sterren"
"3 stars","3 sterren"
"4 stars","4 sterren"
"5 stars","5 sterren"
"Add New Rating","Nieuwe waardering toevoegen"
"Assigned Options","Toegewezen opties"
"Be the first to review this product","Schrijf als eerste een beoordeling van dit product"
"Default Value","Standaard waarde"
"Delete Rating","Verwijder waardering"
"Edit Rating","Beoordeling bewerken"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Indien u geen titel voor de beoordeling van een winkel opgeeft, zal de standaard waarde worden gebruikt."
"Manage Ratings","Beheer waarderingen"
"New Rating","Nieuwe waardering"
"Option Label","Optie label"
"Option Title","Titel optie"
"Option Title:","Titel van optie:"
"Please select one of each ratings above","Selecteer één van de bovenstaande beoordelingen"
"Rating Information","Waardering Informatie"
"Rating isn't Available","Waardering is niet beschikbaar"
"Rating Name","Naam waardering"
"Rating Title","Titel waardering"
"Rating Visibility","Zichtbaarheid beoordeling"
"Rating with the same title","Beoordeling met dezelfde titel"
"Save Rating","Waardering opslaan"
"Sort Order","Sorteren bestelling"
"Visible In","Zichtbaar in"
