"Add","Toevoegen"
"Add gift message for shopping cart","Voeg cadeauboodschap toe aan winkelwagen"
"Add gift messages for quote item of shopping cart","Voeg cadeaubonnen toe voor offerte-item van winkelwagen"
"Add gift messages to products of shopping cart","Voeg cadeaubonnen toe aan producten in winkelwagen"
"Add gift options","Voeg cadeau-opties toe"
"Add gift options for Individual Items","Voeg cadeau-opties toe voor individuele artikelen"
"Add gift options for the Entire Order","Voeg cadeau-opties toe voor de hele bestelling"
"Add gift options.","Voeg cadeau-opties toe."
"Allow Gift Messages for Order Items","Cadeau-berichten toestaan op orderniveau"
"Allow Gift Messages on Order Level","Cadeau-berichten toestaan op orderniveau"
"An error occurred while saving the gift message.","Er is een fout opgetreden bij het opslaan van het cadeaubericht."
"Are you sure?","Weet u het zeker?"
"Cancel","Annuleren"
"Do you have any gift items in your order?","Zitten er kado's bij uw bestelling?"
"Edit","Bewerken"
"From","Van"
"Gift Message","Cadeau-bericht"
"Gift Message API","Cadeauboodschap API"
"Gift Options","Kado opties"
"Gift Options for","Cadeaubonnen opties voor"
"Gift Options for Individual Items","Cadeau-opties voor individuele items"
"Gift Options for the Entire Order.","Cadeaubonnen voor de hele bestelling."
"Gift Options for this address.","Cadeaubonnen voor dit adres."
"Item %d of %d","Artikel %d van %d"
"Message","Bericht"
"No","Nee"
"OK","Oké"
"Save Gift Message","Kadobericht opslaan"
"The gift message has been removed","Het cadeaubericht is verwijderd"
"The gift message has been saved","Het cadeaubericht is opgeslagen"
"The gift message has been saved.","Het cadeaubericht is opgeslagen."
"To","Aan"
"Unknown entity type","Onbekend entiteittype"
"Use config","Gebruik configuratie"
"Yes","Ja"
"You can leave this box blank if you do not wish to add a gift message for the item.","U kunt dit vak leeg laten als u geen cadeauboodschap voor het artikel wilt toevoegen."
"You can leave this box blank if you do not wish to add a gift message for this address.","U kunt dit vak leeg laten als u geen cadeauboodschap voor dit adres wilt toevoegen."
"You can leave this box blank if you do not wish to add a gift message for whole order.","U kunt dit vak leeg laten als u geen cadeauboodschap voor de hele bestelling wilt toevoegen."
