"Access denied.","toegang geweigerd"
"Api Key confirmation must be same as Api Key.","Bevestig API Key moet hetzelfde zijn als Api Key."
"Api Key must be at least of %d characters.","API Key moet minstens %d tekens bevatten."
"Api Key must include both numeric and alphabetic characters.","Api-sleutel moet zowel numerieke als alfabetische tekens bevatten."
"A user with the same user name or email already exists.","Er bestaat al een gebruiker met dezelfde gebruikersnaam of e-mailadres."
"Can not find webservice adapter.","Kan de webservice-adapter niet vinden."
"Client Session Timeout (sec.)","Client sessie timeout (sec.)"
"Default Response Charset","Standaard antwoord-tekenset"
"Email","E-mailadres"
"Enable WSDL Cache","WSDL Cache inschakelen"
"First Name is required field.","Voornaam is een verplicht veld."
"General Settings","Algemene instellingen"
"Invalid webservice adapter specified.","Ongeldige webservice adapter opgegeven."
"Invalid webservice handler specified.","Ongeldige webservice handler opgegeven."
"Last Name is required field.","Achternaam is een verplicht veld."
"Maho Core API","Maho Core API"
"Please enter a valid email.","Vul een geldig e-mailadres in."
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - rollen"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Gebruikers"
"Unable to login.","Kan niet inloggen."
"User Name","Gebruikers naam"
"User Name is required field.","Gebruikersnaam is een verplicht veld."
"Web Services","Web Services"
"WS-I Compliance","WS-I Compliance"
"Your account has been deactivated.","Uw account is gedeactiveerd."
