"Action","actie"
"Are you sure you want to restore this version? The current content will be saved as a new version first.","Weet u zeker dat u deze versie wilt herstellen? De huidige inhoud zal eerst als nieuwe versie worden opgeslagen."
"Back","Achterzijde"
"Blog module is not enabled.","Blogmodule is niet ingeschakeld."
"Blog Post","Blog bericht"
"CMS Block","CMS Blok"
"CMS Page","CMS pagina"
"Content has been restored from version. The previous state was saved as a new version.","Inhoud is hersteld vanuit de versie. De vorige staat werd opgeslagen als nieuwe versie."
"Content Version History","Content versie geschiedenis"
"Content Versioning","Content Versioning"
"Date","Datum:"
"Delete versions older than this many days. Set to 0 for unlimited.","Versies ouder dan dit aantal dagen verwijderen. Zet op 0 voor onbeperkt."
"Editor","Tekstverwerker"
"Maximum number of versions to keep per entity. Set to 0 for unlimited.","Maximaal aantal versies per entiteit te bewaren. Zet op 0 voor onbeperkt."
"Max Version Age (Days)","Maximale versie leeftijd (dagen)"
"Max Versions Per Entity","Maximum aantal versies per entiteit"
"No versions available. Versions are created when content is saved.","Geen versies beschikbaar. Versies worden aangemaakt wanneer de inhoud wordt opgeslagen."
"No version specified.","Geen versie gespecificeerd."
"Preview","Voorvertoning"
"Restore","Herstellen"
"Snapshot Data","Snapshot gegevens"
"Source entity not found.","Bronentiteit niet gevonden."
"Version","Versie"
"Version %s","Versie %s"
"Version Details","Versie details"
"Version not found.","Versie niet gevonden."
"Versions","versies"
