"--Please Select--","--Selecteer --"
"Accepted Currency","Geaccepteerde valuta"
"API Login ID","API login-ID"
"Card Verification Number","Kaart Verificatie Nummer"
"Card Verification Number Visual Reference","Kaart Verificatienummer Visuele Referentie"
"Close","Afsluiten"
"Credit Card Number","Creditcard nummer"
"Credit Card Type","Creditcard type"
"Credit Card Types","Type creditcard"
"Credit Card Verification","Verificatie creditcard"
"Debug","Debug"
"Email Customer","E-mail klant"
"Enabled","Ingeschakeld"
"Expiration Date","Vervaldatum"
"Gateway URL","Gateway URL"
"Maximum Order Total","Maximum orderbedrag"
"Merchant's Email","Handelaar E-mail"
"Minimum Order Total","Minimale orderwaarde"
"New Order Status","Status nieuwe bestelling"
"Order saving error: %s","Fout bij opslaan van bestelling: %s"
"Payment Action","Betaling actie"
"Payment authorization error.","Betaling autorisatie fout."
"Payment from Applicable Countries","Betaling van toepasselijke landen"
"Payment from Specific Countries","Betaling van specifieke landen"
"Sort Order","Sorteren bestelling"
"Test Mode","Test modus"
"The order has been created.","De bestelling is aangemaakt"
"There was an error processing your order. Please contact us or try again later.","Er is een fout opgetreden bij het verwerken van uw bestelling. Neem contact met ons op of probeer het later opnieuw."
"Title","Aanspreektitel"
"Transaction Key","Transactie sleutel"
"What is this?","Wat is dit?"
