"# of Use","# of Use"
"%1$s incl tax.","%1$s incl tax."
"%s-%s of %s","%s-%s of %s"
"%s and above","%s and above"
"%s Item(s)","%s Item(s)"
"(%d)","(%d)"
"(Copy data from: %s)","(Copy data from: %s)"
"* Required Fields","* Verplichte velden"
"-- Please Select --","-- Selecteer --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend."
"Action","Actie"
"Active Filters","Active Filters"
"Actual Price","Werkelijke prijs"
"Add","Toevoegen"
"Add Attribute","Attribuut toevoegen"
"Add attribute into attribute set","Add attribute into attribute set"
"Add Design Change","Design wijziging toevoegen"
"Add Group","Groep toevoegen"
"Add group into attribute set","Add group into attribute set"
"Add Group Price","Add Group Price"
"Additional Information","Additional Information"
"Additional Views","Additional Views"
"Add New","Voeg nieuwe toe"
"Add New Attribute","Voeg nieuw attribuut toe"
"Add New Attribute Set","Nieuwe attributenset toevoegen"
"Add new custom option into product","Add new custom option into product"
"Add New Group","Nieuwe groep toevoegen"
"Add New Images","Nieuwe afbeeldingen toevoegen"
"Add New Option","Optie toevoegen"
"Add New Row","Nieuwe rij toevoegen"
"Add New Search Term","Voeg nieuwe zoekterm toe"
"Add New Set","Add New Set"
"Add new values into custom option","Add new values into custom option"
"Add option","Add option"
"Add Product","Product toevoegen"
"Add Product To Websites","Product aan websites toevoegen"
"Add Root Category","Hoofd-categorie toevoegen"
"Add Subcategory","Subcategorie toevoegen"
"Add Tax","BTW toevoegen"
"Add Tier","Add Tier"
"Add to Cart","In Winkelwagen"
"Add to Compare","Toevoegen om te vergelijken"
"Add to Wishlist","Toevoegen aan verlanglijst"
"Alert Urls","Alert Urls"
"All","Alle"
"ALL GROUPS","ALLE GROEPEN"
"Allow All Products per Page","Alle producten per pagina toestaan"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Allow HTML Tags on Frontend","Allow HTML Tags on Frontend"
"All products","Alle producten"
"All products - recently added products, New products - products marked as new","Alle producten - recent toegevoegde producten, Nieuwe producten - producten gemarkeerd als nieuw"
"All Product Types","Alle product types"
"All Websites","Alle Websites"
"Amount","Aantal"
"Anchor Custom Text","Zet eigen tekst vast"
"Anchor Custom Title","Zet eigen titel vast"
"and","and"
"and above","en hoger"
"An error occurred while adding products to websites.","An error occurred while adding products to websites."
"An error occurred while clearing comparison list.","An error occurred while clearing comparison list."
"An error occurred while deleting this review.","An error occurred while deleting this review."
"An error occurred while removing products from websites.","An error occurred while removing products from websites."
"An error occurred while saving the attribute set.","An error occurred while saving the attribute set."
"An error occurred while saving the collection, aborting. Error message: %s","An error occurred while saving the collection, aborting. Error message: %s"
