"Account Number","Rekening Nummer"
"Container ID","Container ID"
"Enable","Inschakelen"
"Enable GA4 Debug Real Time view for Development IP.","Schakel GA4 Debug Real Time view in voor Ontwikkeling IP."
"Enable GA4 User_id tracking for logged in customers.","Schakel GA4 User_id tracking in voor ingelogde klanten."
"Facebook Meta Pixel","Facebook Meta Pixel"
"Google Analytics","Google Analytics"
"Google Analytics 4","Google Analytics 4"
"Google API","Google API"
"Google Tag Manager","Google Tag Manager"
"Meta Pixel ID","Meta Pixel ID"
"Type","Type"
"User ID tracking","Gebruikers-ID volgen"
