"-- Please Select --","-- Selecteer --"
"Account Created In Store","Account aangemaakt in winkel"
"Action","actie"
"Active","actief"
"Added to Cart Date","Toegevoegd aan winkelwagen datum"
"Added to Wishlist Date","Toegevoegd aan verlanglijst datum"
"Add Email Step","E-mailstap toevoegen"
"Add New Segment","Nieuwe groep toevoegen"
"Address","Adres:"
"Address Information","Adres Informatie"
"Add Segment","Segment toevoegen"
"Allow Overlapping Sequences","Overlappende sequenties toestaan"
"Allow starting new sequences while existing ones are still active for the same customer","Sta het starten van nieuwe sequenties toe terwijl de bestaande nog actief zijn voor dezelfde klant"
"Applied Promotion Rules","Toegepaste Promotie Regels"
"Are you sure?","Weet je het zeker?"
"Are you sure you want to delete this sequence step?","Weet u zeker dat u deze volgorde wilt verwijderen?"
"Are you sure you want to refresh this segment?","Weet u zeker dat u dit segment wilt vernieuwen?"
"Assign to Website","Toewijzen aan website"
"At least one email sequence is required when automation is enabled.","Ten minste één e-mailreeks is vereist als automatisering is ingeschakeld."
"Automatic","Automatisch"
"Automatic: Refreshed daily via cron. Manual: Must be refreshed manually.","Automatisch: dagelijks ververst via kroon. Handmatig: Moet handmatig worden vernieuwd."
"Average Days Between Orders","Gemiddelde aantal dagen tussen bestellingen"
"Average Order Value","Gemiddelde waarde van bestelling"
"Back to Segment","Terug naar segment"
"Base Row Total","Standaard rij totaal"
"Base Sales Rule","Basis verkoop regel"
"Bundle Product","Bundel product"
"Cart","Winkelwagen"
"Cart Created Date","Datum aangemaakt winkelwagen"
"Cart Items","Winkelwagen items"
"Cart Status","Winkelwagen status"
"Cart Updated Date","Datum aanpassing winkelwagen"
"Change status","Status wijzigen"
"Completed","Voltooid"
"Conditions (leave blank for all customers)","Voorwaarden (laat leeg voor alle klanten)"
"Configurable Product","Configureerbaar product"
"Coupon expiration days","Tegoedbon vervaldagen"
"Coupon expiration days cannot be negative.","Vervaldagen van de tegoedbon mag niet negatief zijn."
"Coupon Generation Settings","Coupon generatie instellingen"
"Coupon Prefix","Kortingsbon voorvoegsel"
"Customer","Klant"
"Customer ID is required.","Klant-ID is vereist."
"Customer Lifetime Value","Klant Levenslange waarde"
"Customer Personal Information","Klant persoonlijke gegevens"
"Customer Segment","Klantsegment"
"Customer Since","Klant sinds"
"Customers in Segment","Klanten in groep"
"Customer Time-based","Klant tijd gebaseerd"
"days","Dagen"
"Days Inactive (No Login or Order)","Dagen inactief (geen login of bestelling)"
"Days Since Added to Wishlist","Dagen sinds toegevoegd aan verlanglijst"
"Days Since First Order","Dagen sinds eerste bestelling"
"Days Since Last Login","Dagen sinds laatste aanmelding"
"Days Since Last Order","Dagen sinds laatste bestelling"
"Days Since Last View","Dagen sinds laatste weergave"
"Days Since Registration","Dagen sinds registratie"
"Days Until Birthday","Dagen tot verjaardag"
"Days Without Purchase","Dagen zonder aankoop"
"Delay","Vertraging"
"Delay (Minutes)","Vertraging (minuten)"
"Delay before sending","Vertraging voor verzenden"
"Delay minutes cannot be negative.","Vertraging minuten kan niet negatief zijn."
"Delete","Verwijderen"
"Delete Email Sequences","E-mailreeksen verwijderen"
"Delete Segment","Segment verwijderen"
"Delete Segments","Groepen verwijderen"
"Delete Step","Stap verwijderen"
"Disabled","Uitgeschakeld"
"Downloadable Product","Downloadbaar product"
"E-mails on Enter","E-mails op Enter"
"E-mails on Exit","E-mails bij afsluiten"
"Edit","Bewerken"
"Edit Email Sequence Step %d for ""%s""","Wijzig E-mail reeks stap %d voor ""%s"""
"Edit Segment","Segment bewerken"
"Edit Segment '%s'","Bewerk Segment '%s'"
"Edit Sequence","Bewerk volgorde"
"Email Automation","Email Automation"
"Email Automation Settings","Instellingen voor e-mailautomatisering"
"Email Sequences","E-mail sequenties"
"Email Template","E-mail sjabloon"
"Enable/disable this sequence step","Inschakelen/uitschakelen van deze sequentiestap"
"Enable Email Automation","Schakel e-Mail Automation in"
"Enter Segment","Segment invoeren"
"Error","Foutmelding"
"Exit Segment","Sluit groep af"
"Expires After (Days)","Verloopt na (dagen)"
"Failed","Mislukt"
"General Properties","Algemene eigenschappen"
"Generate a unique coupon code for each customer","Genereer een unieke couponcode voor elke klant"
"Generate Coupon","Coupon genereren"
"Generate unique coupon","Unieke coupon genereren"
"Grouped Product","Gegroepeerd product"
"hours","Uren"
"If %s %s %s","Als %s %s %s"
"Immediate","Onmiddellijk"
"Invalid newsletter template selected.","Ongeldig nieuwsbriefsjabloon geselecteerd."
"Invalid request.","Ongeldig verzoek."
"Invalid sales rule selected for coupon generation.","Ongeldige verkoopregel geselecteerd voor het genereren van kortingen."
"Invalid segment.","Ongeldig segment."
"Invalid status.","Ongeldige status."
"Invalid trigger type.","Ongeldige triggertype."
"Is Active","is actief"
"Items Count","Aantal artikelen"
"Items Quantity","Aantal artikelen"
"Last Refreshed","Laatst vernieuwd"
"Last Updated Date","Laatst bijgewerkt op"
"Last Viewed Date","Laatst bekeken datum"
"Last Viewed Date","Laatst bekeken datum"
"Leave empty to apply to all customer groups","Leeg laten om toe te passen op alle klantgroepen"
"Lifetime Profit (Sales - Refunds)","Levenslange winst (Vereffingen - Refunds)"
"Lifetime Refunds Amount","Levenslange terugbetaling bedrag"
"Lifetime Sales Amount","Levenslange Verkoop Bedrag"
"Manage Email Sequences","Beheer e-mailreeksen"
"Manage Segments","Segmenten beheren"
"Manual","Handleiding"
"Master switch to enable/disable all email automation for this segment","Master switch om alle email automatisering voor dit segment in/uit te schakelen"
"minutes","minuten"
"Minutes to wait before sending (0 = immediate, 60 = 1 hour, 1440 = 1 day)","Minuten te wachten voor verzending (0 = onmiddellijk, 60 = 1 uur, 1440 = 1 dag)"
"Mode","Modus"
"New Email Sequence Step for ""%s""","Nieuwe email volgorde stap voor ""%s"""
"New Segment","Nieuw segment"
"New Sequence","Nieuwe reeks"
"Newsletter","Nieuwsbrief"
"Newsletter Subscription","Abonnement op nieuwsbrief"
"Newsletter Template","Nieuwsbrief sjabloon"
"Newsletter template to use for this step","Te gebruiken nieuwsbrief template voor deze stap"
"None","geen"
"Not Active","Niet actief"
"Number of days until coupon expires (default: 30)","Aantal dagen tot coupon is verlopen (standaard: 30)"
"Number of Orders","Aantal bestellingen"
"Order","Bestelling"
"Order History","Overzicht bestellingen"
"Order in the email sequence (1, 2, 3...)","Bestelling in de e-mailreeks (1, 2, 3...)"
"Pending","Lopende"
"Personal Information","Persoonlijke informatie"
"Please save the segment first.","Gelieve het segment eerst op te slaan."
"Please select...","Selecteer a.u.b..."
"Please select at least one website.","Selecteer ten minste één website."
"Please select segment(s).","Selecteer segment(s)."
"Prefix for coupon codes","Voorvoegsel voor kortingscodes"
"Prefix for generated coupon codes (e.g., CART, WELCOME)","Voorvoegsel voor gegenereerde kortingscodes (bijv. CART, WELCOME)"
"Processing","Verwerken"
"Product: %s","Product: %s"
"Product Type","Type product"
"Progress record already exists for this customer and sequence.","Voortgangsrecord bestaat al voor deze klant en reeks."
"Purchase Date","Aankoop datum"
"Quantity in Cart","Hoeveelheid in winkelwagen"
"Quantity Ordered","Bestelde hoeveelheid"
"Refresh Mode","Ververs modus"
"Refresh Segments","Segmenten vernieuwen"
"Row Total","Rij Totaal"
"Row Total (Inc. Tax)","Rij Totaal (incl. BTW)"
"Sales rule does not exist.","Verkoopregel bestaat niet."
