"Alert Email Sender","Afzender Waarschuwing E-mail"
"Alert subscription has been saved.","Melding abonnement is opgeslagen."
"Allow Alert When Product Comes Back in Stock","Melding toestaan wanneer product weer op voorraad is"
"Allow Alert When Product Price Changes","Melding toestaan bij prijswijzigingen"
"Click here not to receive alerts for this product","Klik hier om geen meldingen te ontvangen voor dit product"
"Error Email Recipient","E-mailadres ontvanger van foutmelding"
"Error Email Sender","Error Email Sender"
"Error Email Template","Fout e-mail sjabloon"
"Frequency","Frequentie"
"Not enough parameters.","Niet genoeg parameters."
"Price:","Prijs:"
"Price Alert Email Template","Sjabloon e-mail bij prijsmeldingen"
"Product Alerts","Product waarschuwingen"
"Product alerts Cron error","Product waarschuwingen Cron fout"
"Product Alerts Run Settings","Product Alerts Uitvoerinstellingen"
"Product price alert","Product prijs alarm"
"Product stock alert","Voorraad waarschuwing"
"Regular Price:","Normale prijs:"
"Sign up for price alert","Schrijf u in voor prijsmeldingen"
"Sign up to get notified when this product is back in stock","Meld je aan om een melding te krijgen wanneer dit product weer op voorraad is"
"Special price:","Speciale prijs:"
"Start Time","Start tijd"
"Stock Alert Email Template","Sjabloon e-mail met voorraadwaarschuwing"
"The alert subscription has been deleted.","Het meldingsbericht is verwijderd."
"The alert subscription has been saved.","Het meldings abonnement is opgeslagen."
"The product is not found.","Het product is niet gevonden."
"The product was not found.","Het product is niet gevonden."
"Unable to update the alert subscription.","Kan het meldingsbericht niet bijwerken."
"Unsubscribe from all price alerts","Opzeggen van alle prijsmeldingen"
"Unsubscribe from all stock alerts","Afmelden voor alle voorraadmeldingen"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","U ontvangt dit bericht omdat u zich heeft aangemeld voor meldingen wanneer de volgende producten weer op voorraad zijn:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","U ontvangt dit bericht omdat u zich heeft aangemeld voor meldingen wanneer de prijzen voor de volgende producten zijn gewijzigd:"
"You will no longer receive price alerts for this product.","Voor dit product ontvangt u niet langer meldingen van prijswijzigingen"
"You will no longer receive stock alerts.","U ontvangt niet langer meldingen van gewijzigde voorraadstatussen"
"You will no longer receive stock alerts for this product.","Voor dit product ontvangt u niet langer meldingen van gewijzigde voorraadstatussen"
