"and %s more posts","en %s meer berichten"
"and %s more products, listed in the XML sitemap","en %s meer producten, vermeld in de XML sitemap"
"Attribute","Attribuut"
"Availability","Beschikbaarheid"
"Backorder","Backorder"
"Blog","Blog"
"Brand","Merk"
"Cache Lifetime (seconds)","Cache levensduur (seconden)"
"Description","Beschrijving"
"Enabled","Ingeschakeld"
"from %s to %s","van %s naar %s"
"Image","Afbeelding"
"Images","Afbeeldingen"
"In stock","Op voorraad"
"Limited availability","Beperkte beschikbaarheid"
"Markdown for AI agents","Markdown voor AI agenten"
"Not Found","Niet gevonden"
"One route prefix per line, as module/controller/action. Only these pages get a markdown version. A route needs a renderer declared under global/contentnegotiation/renderers in a config.xml.","Eén route-voorvoegsel per regel, als module/controller/actie. Alleen deze pagina's krijgen een markdown versie. Een route heeft een renderer nodig die onder global/contentnegotiation/renderers in een config.xml."
"Options","Instellingen"
"Out of stock","Niet op voorraad"
"Price","Prijs"
"Product","product"
"Products","Product(en)"
"Published","Ingediend"
"regular price %s","normale prijs %s"
"Routes","Routes"
"Serves a markdown version of a page when the request sends <code>Accept: text/markdown</code> or when the URL ends with <code>.md</code>. Browsers keep the HTML page. HTML pages announce the markdown version with a <code>Link</code> header.","Serieert een markdown versie van een pagina wanneer de aanvraag verzendt <code>Accepteren: text/markdown</code> of wanneer de URL eindigt met <code>. d</code>. Browsers bewaren de HTML-pagina. HTML pagina's kondigen de markdown versie aan met een <code>Link</code> header."
"Specifications","Specificaties"
"Subcategories","Subcategorieën"
"The markdown is cached with the Blocks HTML output cache. A product, category, page or post save clears its entry. 0 disables the cache.","De markdown is gecached met de Blocks HTML output cache. Een product, categorie, pagina of post opslaan wist de cache. 0 schakelt de cache uit."
"There are no posts yet.","Er zijn nog geen berichten."
"There are no products in this category.","Er zijn geen producten in deze categorie."
"This page has no markdown version.","Deze pagina heeft geen markdown versie."
"Value","Waarde"
