"Average Duration","Gemiddelde duur"
"Average Pages","Gemiddelde pagina's"
"Bounce Rate","Bounce snelheid"
"Browsers","Browsers"
"Devices","Apparaten"
"Devices & Browsers","Apparaten & Browsers"
"Direct / No referrer","Direct / Geen verwijzer"
"Enable Log","Log inschakelen"
"Enable Log Cleaning","Log opschonen inschakelen"
"Error Email Recipient","E-mailadres ontvanger van foutmelding"
"Error Email Sender","Error Email Sender"
"Error Email Template","Fout e-mail sjabloon"
"Exit Pages","Pagina's afsluiten"
"Exits","Afsluiten"
"Frequency","Frequentie"
"Landing Pages","Landing pagina's"
"Log","Logboek"
"Log cleanup Warnings","Log Waarschuwingen opschonen"
"Logged in","Ingelogd"
"Login Conversion","Login conversie"
"New vs Returning","Nieuwe vs retourneren"
"No data","Geen gegevens"
"No language data available","Geen taalgegevens beschikbaar"
"No page view data available","Geen pagina weergavegegevens beschikbaar"
"No traffic source data available","Geen data voor dataverkeer beschikbaar"
"of visitors logged in","van de ingelogde bezoekers"
"Online","Online"
"Page","Pagina"
"Returning","Terugkerend"
"Save Log, Days","Sla logboek op, dagen"
"Session Metrics","Sessie Statistieken"
"Sessions","Sessies"
"Start Time","Start tijd"
"Today","vandaag"
"Top Pages","Top pagina's"
"Total visitors","Bezoekers in totaal"
"Traffic Sources","Data bronnen"
"Views","Weergaven"
"Visitors","bezoekers"
"Visitors only","Alleen bezoekers"
"Visits","Bezoeken"
"Week","week"
