"(not processed yet)","(nog niet verwerkt)"
"0 disables the limit.","0 schakelt de limiet uit."
"<strong>Enabling this alone does not display the button.</strong> The law requires the revocation button to stay permanently visible during the withdrawal period, but only your theme knows where that is. After enabling, you must place the <strong>Revocation Button</strong> widget in a block shown on every storefront page (typically the footer). Until you do, the form exists at <em>/revocation</em> but nothing links to it.","<strong>Alleen dit inschakelen toont de knop niet.</strong> De wet vereist dat de intrekkingsknop permanent zichtbaar blijft tijdens de opnameperiode, maar alleen uw thema weet waar dat is. Na het activeren moet u de <strong>Herroepingsknop</strong> widget in een blok plaatsen dat wordt weergegeven op elke etalage pagina (meestal de voettekst). Totdat je dit doet, bestaat het formulier in <em>/intrekking</em> , maar er is niets gekoppeld aan het formulier."
"Abuse Protection","Misbruik bescherming"
"Accepted","Geaccepteerd"
"Accepting or rejecting only records the decision and adds a note to this order. The order status, state, and any refund are left unchanged.","Accepteren of afwijzen van alleen de beslissing en voegt een notitie toe aan deze bestelling. De orderstatus, status en status en elke teruggave blijven ongewijzigd."
"Accept Revocation","Herroepen accepteren"
"Accept this revocation? This records the decision and adds a note to the matched order. No order status or refund changes automatically.","Deze intrekking accepteren? Dit registreert de beslissing en voegt een notitie toe aan de overeenkomende volgorde. Geen bestelstatus of terugbetaling wijzigt automatisch"
"A confirmation email is on its way to you.","Er is een bevestigingsmail onderweg naar u."
"Adds an invisible trap field. Submissions that fill it are silently dropped as bot traffic.","Voegt een onzichtbare val veld toe. Inzendingen die het vullen worden stilletjes laten vallen als bot verkeer."
"Back","Achterzijde"
"Button Label","Knop label"
"Cooling-Off Period (Days)","Cooling-Off Periode (dagen)"
"create a credit memo","creditfactuur aanmaken"
"CSV","csv"
"Customer Name","Klant naam"
"Customer Receipt Template","Klant ontvangstbewijs sjabloon"
"Customer submitted revocation request #%s via their account.","Klant heeft intrekkingsverzoek #%s via zijn account."
"Custom Label","Aangepast label"
"Declaration (read-only legal record)","Verklaring (alleen-lezen juridische record)"
"Email","E-mailadres"
"Email Sender","Afzender e-mail"
"Email Settings","E-mail instellingen"
"Email Suppressed","E-mail onderdrukt"
"Enabled","Ingeschakeld"
"EU Directive 2023/2673 (in Germany: &sect;356a BGB) requires B2C shops selling into the EU to provide a revocation button from 19 June 2026. This module provides that channel.","EU-Richtlijn 2023/2673 (in Duitsland: &sect;356a BGB) vereist dat B2C-winkels in de EU verkopen om een intrekkingsknop van 19 juni 2026 te voorzien. Deze module biedt dit kanaal aan."
"Further requests are still recorded, but the customer receipt email is suppressed (visible and resendable in the admin grid). Defeats email-bombing of third parties. 0 disables the limit.","Verdere verzoeken worden nog steeds geregistreerd, maar de e-mail voor ontvangstbevestiging wordt onderdrukt (zichtbaar en herbetaalbaar in het beheergedeelte). Versla e-mailbombardementen op derden. 0 schakelt de limiet uit."
"General","Algemeen"
"Honeypot Field","Honeypot Veld"
"ID","ID"
"If you do not receive a confirmation email within a few minutes, please contact us at %s and quote your reference number.","Als u binnen enkele minuten geen bevestigingsmail ontvangt, neem dan contact met ons op via %s en geef uw referentienummer op."
"I hereby revoke this contract","Hierbij trek ik dit contract in"
"Information Requested","Informatie aangevraagd"
"Internal Note","Interne notitie"
"Invalid decision.","Ongeldige beslissing."
"Invalid form key. Please refresh the page and try again.","Ongeldige formuliersleutel. Ververs de pagina en probeer het opnieuw."
"IP Address","IP adres"
"Leave empty to use the General Contact email address.","Laat leeg om het algemene contact e-mailadres te gebruiken."
"Leave empty to use the label configured under Sales > Revocation Button.","Laat leeg om het label te gebruiken dat onder Verkoop > Herroepingsknop is geconfigureerd."
"Leave empty to use the translated default (""Revoke contract"" / ""Vertrag widerrufen"").","Laat leeg om de vertaalde standaard (""contract intrekken"" / ""Vertrag verbrederrufen"")."
"Link Order","Link volgorde"
"Link to order (increment ID):","Link om te bestellen (increment ID):"
"Link to the contract revocation form (EU Directive 2023/2673). Place it in your footer or anywhere it must stay visible during the withdrawal period.","Link naar het intrekkingsformulier (EU-Richtlijn 2023/2673). Plaats deze in uw footer of waar dan ook zichtbaar blijven tijdens de opnameperiode."
"Locale","Lokalisatie"
"Mark as Accepted","Markeren als geaccepteerd"
"Mark as Rejected","Markeren als afgewezen"
"Mark the selected requests as accepted? The matched orders are not modified.","Geselecteerde aanvragen markeren als geaccepteerd? De overeenkomstige orders worden niet gewijzigd."
"Mark the selected requests as rejected? The matched orders are not modified.","De geselecteerde aanvragen als afgewezen markeren? De overeenkomstige orders worden niet gewijzigd."
"Matched Order","Overeenkomende volgorde"
"Merchant Notification Email","E-mailadres handelaar kennisgeving"
"Merchant Notifications per Store per Hour","Merchant Meldingen per winkel per uur"
"Merchant Notification Template","Koopman Notificatie Sjabloon"
"Minimum Submit Time (Seconds)","Minimale verzendtijd (seconden)"
"Must only acknowledge receipt of the declaration, never acceptance.","Je moet alleen maar de ontvangst van de verklaring erkennen, nooit accepteren."
"Name","naam"
"No","Neen"
"No (self-asserted via the public form)","Nee (zelfbevestigd via het publieke formulier)"
"No order could be matched to this request. The customer typed ""%s"".","Er kon geen bestelling gevonden worden voor dit verzoek. De klant heeft ""%s"" ingevoerd."
"No order found for increment ID ""%s"".","Geen bestelling gevonden voor increment ID ""%s""."
"Only invisible background measures are used (honeypot, submit timing, invisible captcha, rate limits).<br>Manual CAPTCHAs and email verification links are legally inadmissible for the revocation form. Do not tune these limits so strictly that legitimate customers are blocked.","Alleen onzichtbare achtergrond-maatregelen worden gebruikt (honingpot, tijdslimiet, onzichtbare captcha, tarieflimiet).<br>Handmatige CAPTCHA's en e-mail verificatie links zijn juridisch niet toelaatbaar voor het intrekkingsformulier. Pas deze limieten niet zo strikt aan dat legitieme klanten worden tegengehouden."
"Order","Bestelling"
"Order Number","Bestelnummer"
"Order Reference","Bestelling referentie"
"Please enter a valid email address.","Vul alstublieft een geldig e-mailadres in."
"Please fill in your name, your order reference and your email address.","Vul uw naam in, uw bestelreferentie en e-mailadres in."
"Please select request(s).","Selecteer aanvraag(en)."
"Processed At","Verwerkt op"
"Processed Status","Verwerkte status"
"Processing","Verwerken"
"Process Requests","Verzoeken verwerken"
"Reason","Reden"
"Reason (optional)","Reden (optioneel)"
"Receipt Emails per Recipient per Day","E-mails per ontvanger per dag"
"Received","Ontvangen"
"Received at","Ontvangen op"
"Received at (UTC)","Ontvangen op (UTC)"
"Reference number","Referentie nummer"
"Rejected","Geweigerd"
"Reject Revocation","Herroepen verwerpen"
"Reject this revocation? This records the decision and adds a note to the matched order. No order status changes automatically.","Deze intrekking verwerpen? Dit registreert de beslissing en voegt een notitie toe aan de overeenkomstige volgorde. Geen orderstatus verandert automatisch."
"Request #%s","Verzoek #%s"
"Resend Receipt Email","Herstuur ontvangstbewijs e-mail"
"Resend the receipt email to %s?","Verzend de ontvangstbevestiging naar %s?"
"Revocation Button","Herroepings knop"
"Revocation Form","Herroepingsformulier"
"Revocation Merchant Notification","Notificatie van de Handelaar intrekken"
"Revocation Receipt Confirmation","Herroepingsbevestiging"
"Revocation received","Herroepingsrecht ontvangen"
"Revocation Request","Herroepingsverzoek"
"Revocation Request #%s","Herroepingsverzoek #%s"
"Revocation request #%s accepted.","Herroepingsverzoek #%s geaccepteerd."
"Revocation request #%s rejected.","Herroepingsverzoek #%s afgewezen."
"Revocation Requests","Herroepingsverzoeken"
"Revocation Success","Herroepen Geslaagd"
"Revoke contract","Contract intrekken"
"Revoke this contract","Dit contract intrekken"
"Sales","Verkoop"
"Save Note","Notitie opslaan"
"Store View","Winkelaanzicht"
"Submissions faster than this after page render are silently dropped as bot traffic. 0 disables the check.","Inzendingen sneller dan deze nadat pagina-render stilletjes worden verwijderd als botverkeer. 0 schakelt de controle uit."
"Submissions per IP per Hour","Uitwerkingen per IP uur"
"The customer receipt email was suppressed (%s) at %s and has not been delivered. Use ""Resend Receipt Email"" to deliver it after triage.","De klant ontvangstbevestiging e-mail werd onderdrukt (%s) bij %s en is niet afgeleverd. Gebruik ""Opnieuw ontvangstschrift"" om het na de triage te bezorgen."
"The receipt email could not be sent. Please check the email configuration.","De ontvangstbevestiging kon niet worden verzonden. Controleer de e-mailconfiguratie."
"The receipt email has been resent to %s.","De ontvangst e-mail is opnieuw verzonden naar %s."
"The request has been linked to order %s.","Het verzoek is gekoppeld aan bestelling %s."
"The revocation has been marked as accepted.","De intrekking is gemarkeerd als geaccepteerd."
"The revocation has been marked as rejected.","De intrekking is gemarkeerd als afgekeurd."
"The revocation request has been saved.","Het intrekkingsverzoek is opgeslagen."
"This revocation request no longer exists.","Deze intrekkingsaanvraag bestaat niet meer."
"This revocation was accepted. To refund the customer, %s for order %s.","Deze intrekking werd geaccepteerd. Om de klant terug te betalen, %s voor order %s."
"Total of %d request(s) were updated.","Totaal van %d verzoek(en) zijn bijgewerkt."
"Used to gate the my-account entry point. The statutory period is 14 days.","Wordt gebruikt om het toegangspunt van uw rekening te dichten. De wettelijke periode is 14 dagen."
"User Agent","User Agent"
"Verified","Geverifieerd"
"View Request","Bekijk verzoek"
"View Requests","Bekijk verzoeken"
"We have received your revocation declaration. Please note that this confirms receipt only; the validity of the revocation will be assessed and we will contact you separately.","Wij hebben uw intrekkingsverklaring ontvangen. Houd er rekening mee dat deze bevestiging alleen wordt bevestigd; de geldigheid van de intrekking wordt beoordeeld en wij zullen apart contact met u opnemen."
"Yes","ja"
"Yes (submitted from an authenticated customer session)","Ja (ingediend door een geverifieerde klantensessie)"
"You can revoke your contract within the statutory withdrawal period using this form.<br>After submitting, you will receive a confirmation that your declaration has been received.","U kunt uw contract binnen de wettelijke opnameperiode intrekken met behulp van dit formulier.<br>Na het indienen ontvang je een bevestiging dat je verklaring is ontvangen."
"Your request could not be processed right now. Please try again later or contact us directly.","Uw verzoek kan nu niet worden verwerkt. Probeer het later opnieuw of neem direct contact met ons op."
"Your revocation has been received","Uw intrekking is ontvangen"
