"# of Items (and above)","# artikelen (en hierboven)"
"# of Items vs. Destination","# items versus bestemming"
"An error occurred while import table rates.","Er is een fout opgetreden tijdens het importeren van tabeltarieven"
"Calculate Handling Fee","Verhandelingskosten berekenen"
"Carrier:","Vervoerder:"
"City","Woonplaats"
"Close Window","Sluit venster"
"Condition","Voorwaarde"
"contact us","contacteer ons"
"Country","Land:"
"Custom Value","Aangepaste waarde"
"Date","Datum:"
"Delivered on:","Geleverd op:"
"Delivered to:","Afgeleverd aan:"
"Description","Beschrijving"
"Displayed Error Message","Weergegeven foutmelding"
"Divide to equal weight (one request)","Delen naar gelijk gewicht (één aanvraag)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Dubbele rij #%s (Land ""%s"", Region/State ""%s"", Zip ""%s"" en Waarde ""%s"")."
"email us at ","e-mail ons op "
"Enabled","Ingeschakeld"
"Error:","Fout:"
"Export","Exporteren"
"File has not been imported. See the following list of errors: %s","Bestand is niet geïmporteerd. Zie de volgende lijst met fouten: %s"
"Fixed","Opgelost"
"Flat Rate","Vaste verzendkosten"
" for more information or "," voor meer informatie of "
"Free Shipping","Gratis verzending"
"Handling Fee","Verwerkingskosten (kosten)"
"Import","Importeren"
"Include Virtual Products in Price Calculation","Virtuele producten opnemen in de prijsberekening"
"Info:","Informatie:"
"Invalid %s ""%s"" in the Row #%s.","Ongeldige %s ""%s"" in de rij #%s."
"Invalid Country ""%s"" in the Row #%s.","Ongeldig land ""%s"" in de rij #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Ongeldige provincie ""%s"" in de rij #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Ongeldige verzendprijs ""%s"" in de rij #%s."
"Invalid Table Rate code for type %s: %s","Ongeldige tabel tarief code voor type %s: %s"
"Invalid Table Rate code type: %s","Ongeldige tabel tarief code type: %s"
"Invalid Table Rates File Format","Ongeldig bestandsformaat tabellen"
"Invalid Table Rates format in the Row #%s","Ongeldige prijsindeling in rij #%s"
"Local Time","Lokale Tijd"
"Location","Locatie"
"Method Name","Methode Naam"
"Minimum Order Amount","Minimum bestelbedrag"
"N/A","N/B"
"None","geen"
"Options","Instellingen"
"Order Subtotal (and above)","Subtotaal bestelling (en hierboven)"
"Origin","Oorsprong"
"Percent","Percentage"
"Per Order","Per bestelling"
"Per Package","Per pakket"
"Price","Prijs"
"Price vs. Destination","Prijs versus bestemming"
"Region/State","Provincie"
"Service Type:","Service type:"
"Shipment #","Verzending #"
"Shipment Tracking Popup","Bezorging Tracking Popup"
"Shipped or billed on:","Verzonden of gefactureerd op:"
"Shipping Methods","Verzendmethoden"
"Shipping Settings","Instellingen voor verzending"
"Ship to Applicable Countries","Verzenden naar toepasselijke landen"
"Ship to Specific Countries","Verzenden naar specifieke landen"
"Show Method if Not Applicable","Toon methode indien niet van toepassing"
"Signed by:","Ondertekend door:"
"Sort Order","Sorteren bestelling"
"Status:","Status:"
"Street Address","Straat en huisnummer"
"Street Address Line 2","Adresregel 2"
"Table Rates","Tarieven tabel"
"There is no tracking available.","Er is geen tracking beschikbaar."
"There is no tracking available for this shipment.","Er is geen tracking beschikbaar voor deze verzending."
"The shipping module is not available.","Deze verzendmethode is niet beschikbaar"
"The shipping module is not available for selected delivery country.","Deze verzendmethode is niet beschikbaar voor het geselecteerde land van aflevering"
"This shipping method is currently unavailable.","Deze verzendmethode is momenteel niet beschikbaar."
"This shipping method is not available, please specify ZIP-code","Deze verzendmethode is niet beschikbaar, vul de postcode in"
"Title","Aanspreektitel"
"Track:","Nummer:"
"Tracking Information","Tracking Informatie"
"Tracking information is currently not available. Please ","Tracking-informatie is momenteel niet beschikbaar. "
"Tracking information is currently unavailable.","Tracking-informatie is momenteel niet beschikbaar."
"Tracking Number:","Tracking nummer:"
"Type","Type"
"Use origin weight (few requests)","Gebruik origineel gewicht (enkele aanvragen)"
"Weight (and above)","Gewicht (en hoger)"
"Weight:","Gewicht:"
"Weight vs. Destination","Gewicht versus bestemming"
"ZIP/Postal Code","Postcode"
