"Actions","acties"
"An error occurred while marking notification as read.","Er is een fout opgetreden tijdens het markeren als gelezen."
"An error occurred while marking the messages as read.","Er is een fout opgetreden tijdens het markeren van de berichten als gelezen."
"An error occurred while removing messages.","Er is een fout opgetreden tijdens het verwijderen van berichten."
"An error occurred while removing the message.","Er is een fout opgetreden tijdens het verwijderen van het bericht."
"Are you sure?","Weet je het zeker?"
"critical","kritiek"
"Date Added","Datum toegevoegd"
"Last Update","Laatste update"
"major","belangrijk"
"Mark as Read","Markeren als gelezen"
"Mark as read","Markeren als gelezen"
"Message","bericht"
"Messages Inbox","Berichten inbox"
"minor","klein"
"notice","waarschuwing"
"Notifications","Notificaties"
"Please select messages.","Selecteer de notificaties"
"Read Details","Details lezen"
"Remove","Verwijderen"
"Severity","Ernstigheid"
"Show List","Toon lijst"
"Show Toolbar","Toon werkbalk"
"The message has been marked as read.","Het bericht is gemarkeerd als gelezen."
"The message has been removed.","Het bericht is verwijderd."
"Total of %d record(s) have been marked as read.","Totaal van %d record(s) zijn gemarkeerd als gelezen."
"Total of %d record(s) have been removed.","Totaal van %d record(s) zijn verwijderd."
"Unable to proceed. Please, try again.","Kan niet doorgaan. Probeer het opnieuw."
"Update Frequency","Update frequentie"
"Wrong message type","Verkeerd berichttype"
