"""Remember Me"" Cookie Lifetime","""Onthoud mij"" Cookie Levensduur"
"%s already exist.","%s bestaat al."
"%s already exists.","%s bestaat al."
"-- Please Select --","-- Selecteer --"
"<strong>Disabled:</strong> No deferral (default behavior)<br><strong>Defer Only:</strong> Moves all script tags to the end of the page, improving initial render performance<br><strong>Load on Intent:</strong> <strong style=""color:red"">Highly Experimental!</strong> Defers all scripts until user interaction (click, scroll, hover, etc.) - designed for pure vanilla JavaScript and may not work with legacy JavaScript libraries","<strong>Uitgeschakeld:</strong> Geen uitstellen (standaard gedrag)<br><strong>Uitbreiding:</strong> Verplaatst alle scripttags naar het einde van de pagina, verbeteren van de initiële render prestatie<br><strong>Laden op Intent:</strong> <strong style=""color:red"">Erg Experimenteel!</strong> Definieert alle scripts totdat gebruikersinteractie (klik, scroll, hover, etc. - ontworpen voor pure vanilla JavaScript en werkt mogelijk niet met oude JavaScript-bibliotheken"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Waarschuwing!</strong> Als u een CDN gebruikt, kan JavaScript in sommige gevallen niet goed draaien als CDN niet in uw subdomein staat"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Waarschuwing!</strong> Wanneer u winkelcode in URL's gebruikt, in sommige gevallen werkt het systeem mogelijk niet goed als URLs zonder winkel codes zijn opgegeven in de diensten van derden (bv. . PayPal etc.)."
"A category object is required for determining the product request path.","Er is een categorie-object vereist om het productverzoekpad te bepalen."
"Add Block Names to Hints","Bloknamen toevoegen aan hints"
"Add Secret Key to URLs","Voeg geheime sleutel toe aan URL's"
"Add Store Code to Urls","Winkelcode aan URL's toevoegen"
"Admin","Beheerder"
"Admin Base URL","Admin basis-URL"
"Admin Theme","Beheerder Thema"
"Admin User Emails","Admin Gebruiker E-mails"
"Advanced","Geavanceerd"
"Advanced Cache Settings","Geavanceerde cache-instellingen"
"Allow Countries","Landen toestaan"
