"# of Uses","Aantal keer gebruikt"
"%s tag(s) have been accepted for moderation.","%s tag(s) zijn geaccepteerd voor moderatie."
"<strong>Tag Name:</strong> %s","<strong>Tag naam:</strong> %s"
"Action","actie"
"Add","Toevoegen"
"Add New Tag","Nieuwe tag toevoegen"
"Add tag(s) to product","Voeg tag(s) toe aan product"
"Add Tags","Labels toevoegen"
"Add to Cart","Aan winkelwagen toevoegen"
"Add to Wishlist","Toevoegen aan Verlanglijst"
"Add Your Tags:","Uw tags toevoegen:"
"All Tags","Alle tags"
"Approved","Goedgekeurd"
"Are you sure?","Weet je het zeker?"
"Are you sure you want to delete this tag?","Weet u zeker dat u deze tag wilt verwijderen?"
"Are you sure you want to do this?","Weet je zeker dat je dit wilt doen?"
"Back","Achterzijde"
"Back to Tags List","Terug naar Labels lijst"
"Base Popularity","Basis populariteit"
"Block Information","Blok informatie"
"Catalog Product View","Catalogus Product Weergave"
"Change status","Status wijzigen"
"Click on a tag to view your corresponding products.","Klik op een tag om de overeenkomstige producten te bekijken."
"Country","Land:"
"CSV","csv"
"Customer My Account My Tags List","Klant > Mijn Account > Tags lijst"
"Customer My Account Tag View","Klant > Mijn Account > Tag bekijken"
"Customers","klanten"
"Customer Since","Klant sinds"
"Customers Submitted this Tag","Klanten dienden dit label in"
"Customers Tagged '%s'","Klanten getagd '%s'"
"Delete","Verwijderen"
"Delete Tag","Label verwijderen"
"Disabled","Uitgeschakeld"
"Edit Tag '%s'","Bewerk tag '%s'"
"Email","E-mailadres"
"Enable Adding Tags in Frontend","Labels toevoegen aan frontend inschakelen"
"First Name","Voornaam is vereist."
"General Information","Algemene informatie"
"Grid","Rooster"
"ID","ID"
"Info","Informatie"
"Last Name","Achternaam is vereist"
"List","Klantenlijst"
"Manage Tags","Labels beheren"
"Middle Name","Tweede naam"
"My Recent Tags","Mijn recente tags"
"My Tags","Mijn tags"
"Name","naam"
"New Tag","Nieuwe tag"
"No matches found.","Geen overeenkomsten gevonden."
"Pending","Lopende"
"Pending Tags","Wachtende tags"
"Popular","Populair"
"Popular Tags","Populaire tags"
"Price","Prijs"
"Product Name","Product Naam"
"Products","Product(en)"
"Product SKU","Product Art.nr."
"Products Tagged by Administrators","Producten getagd door beheerders"
"Products Tagged by Customers","Producten getagd door klanten"
"Products Tagged with '%s'","Producten getagd met '%s'"
"Products tagged with '%s'","Producten gelabeld met '%s'"
"Product Tag API","Product-tag API"
"Product Tags","Product tags"
"Rebuild Tag aggregation data","Herbouw Tag aggregatie gegevens"
"Remove","Verwijderen"
"Remove product tag","Verwijder product tag"
"Retrieve list of tags by product","Haal lijst op met tags per product"
"Retrieve product tag info","Haal producttag informatie op"
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
"Save Tag","Tag opslaan"
"SKU","Artikelnummer"
"Status","status"
"Store View","Winkelaanzicht"
"Tag","Tagnaam"
"Tag ""%s"" has already been added to the product.","Tag ""%s"" is al aan het product toegevoegd."
"Tag ""%s"" has been added to the product.","Tag ""%s"" is toegevoegd aan het product."
"Tag ""%s"" has been rejected by administrator.","Tag ""%s"" is geweigerd door de beheerder."
"Tag Aggregation Data","Tag Aggregation Data"
"Tagged Products List","Gelabelde producten lijst"
"Tag Name","Tag naam"
"Tags","Labels"
"Tags:","Tags:"
"Tags List (All Available)","Labellijst (Alle beschikbaar)"
"Tags List Before","Labels lijst vóór"
"Telephone","Telefoon"
"There are no tags available.","Er zijn geen tags beschikbaar."
"The tag has been deleted.","De tag is verwijderd."
"Unable to find any products tagged with '%s' in the current store","Kan geen producten vinden met het label '%s' in de huidige winkel"
"Unable to remove tag. Please, try again later.","Kan tag niet verwijderen. Probeer het later opnieuw."
"Unable to save tag(s).","Kan tag(s) niet opslaan."
"Update","Vernieuwen"
"Update product tag","Producttag bijwerken"
"Use spaces to separate tags. Use single quotes (') for phrases.","Gebruik spaties om tags te scheiden. Gebruik enkele aanhalingstekens (') voor zinnen."
"View All Tags","Alle tags weergeven"
"View Customers","Bekijk klanten"
"View Products","Bekijk producten"
"XML","XML"
"You have not tagged any products yet.","U heeft nog geen producten getagd"
"ZIP/Post Code","Postcode"
"[STORE VIEW]","[STORE BEKIJK]"
