"Action","actie"
"Activities","Activiteiten"
"Activity Information","Activiteit Informatie"
"Activity Log","Activiteiten log"
"Activity log entry not found","Activiteiten log item niet gevonden"
"Admin Activity Log","Admin activiteitenlogboek"
"Back","Achterzijde"
"Configuration","Configuratie"
"Create","Aanmaken"
"CSV","csv"
"Date/Time","Datum/Tijd"
"Days to Keep Logs","Dagen om logs te houden"
"Delete","Verwijderen"
"Enable Admin Activity Log","Admin-activiteitenlog inschakelen"
"Entity","Entiteit"
"Entity Type","Entiteit type"
"Excel XML","Excel XML"
"Failed","Mislukt"
"Failure Reason","Reden van fout"
"General Settings","Algemene instellingen"
"ID","ID"
"IP Address","IP adres"
"Log Delete Actions","Log Verwijderen acties"
"Log Failed Login Attempts","Log mislukte login pogingen"
"Login","Aanmelden"
"Login Activity","Login activiteit"
"Log Login/Logout Activity","Inloggen/Afmelden activiteit"
"Log Mass Actions","Log Bulk acties"
"Logout","Afmelden"
"Log Page Visits","Log pagina bezoeken"
"Log Save Actions","Log opgeslagen acties"
"Number of days to keep activity logs. Set to 0 to keep forever.","Aantal dagen om activiteitenlogboeken bij te houden. Zet op 0 om voor altijd te blijven."
"Request URL","Verzoek URL"
"Status","status"
"Success","Geslaagd"
"System","Systeem"
"Type","Type"
"Update","Vernieuwen"
"URL","URL"
"Username","Gebruikersnaam"
"View","Bekijken"
"View Activity Log","Bekijk activiteitenlogboek"
"View Activity Log Entry #%s","Bekijk activiteitenlogboek #%s"
"View Login Activity","Bekijk Aanmeldactiviteit"
