"* Select shipping method","*Selecteer een verzendmethode"
"2Day","2 Day"
"2nd Day Air","24 uurs zending (lucht)"
"2nd Day Air AM","48 uurs zending (lucht)"
"3 Day Select","72 uur (select)"
"<br />Warning: <strong>%s</strong><br />","<br />Waarschuwing: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Waarschuwing!</strong> Deze optie schakelt de handelaar berekende verzending uit. Met deze optie negeert de Google API elke poging om de verzendprijzen te beïnvloeden."
"A virtual item to reflect the discount total","Een virtueel item om de totale korting weer te geven"
"A virtual item to reflect the tax total","Een virtueel item om de belastingtotaal weer te geven"
"AVS Status: %s","AVS Status: %s"
"Add Shipping Method","Voeg verzendmethode toe"
"Allowed Methods","Toegestane methodes"
"Amount: %s","Bedrag: %s"
"Auto-generated from GoogleCheckout Charge","Automatisch van GoogleCheckout Charge"
"Buyer Account Age: %s days","Kopersaccountleeftijd: %s dagen"
"CC Partial: xxxx-%s","CC Gedeeltelijk: xxxx-%s"
"CID Status: %s","CID Status: %s"
"Carrier Calculated Methods","Tranporteur berekende methodes"
"Cart Discount","Winkelwagen korting"
"Checkout Image Style","Kassa afbeelding stijl"
"Commercial","Commercieel"
"Continue Shopping URL","Winkel verder URL"
"Credit memo has been created automatically","Kredietnota is automatisch aangemaakt"
"Debug","Fouten opsporen"
"Default Package Height (in)","Standaard Pakkethoogte"
"Default Package Length (in)","Standaard Pakketlengte"
"Default Package Width (in)","Standaard Pakketbreedte"
"Default Price for Methods","Standaardprijs voor Methoden"
"Default price:","Standaard prijs:"
"Delivery Address Category","Verzendadres categorie"
"Delivery Schedule","Leveringsschema"
"Description-based delivery","Beschrijvingsgebaseerde levering"
"Disable Default Tax Tables","Deactiveer de standaard BTW tabellen"
"Discount Tax","Korting Belasting"
"Eligible for Protection: %s","In aanmerking komt voor bescherming: %s"
"Email delivery","E-mail bezorging"
"Enable","Activeer"
"Enable Carrier Calculated","Activeer transporteur berekening"
"Enable Digital Delivery","Digitaal afleveren activeren"
"Enable Flat Rate","Activeer plat tarief"
"Enable Merchant Calculated","Activeer eigen berekening"
"Enable this if your checkout request is too big and being cut off.","Activeer dit als de kassa aanvraag te groot is en afgekapt wordt."
"Expiration: %s","Vervaldatum: %s"
"Express Mail","Express post"
"Express Saver","Express voordeeltarief"
"FedEx","FedEx"
"Financial: %s -> %s","Financieel: %s -> %s"
"First Overnight","Deze nacht"
"Free Shipping","Gratis verzending"
"Fulfillment: %s -> %s","Vervulling: %s -> %s"
"Google API","Google Ads"
"Google Authorization:","Google Autorisatie:"
"Google Buyer ID: %s","Google Koper ID: %s"
"Google Charge:","Google kosten"
"Google Chargeback:","Google Chargeback:"
"Google Checkout","Google Afrekening"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Verzenden - Transporteur Berekend"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digitale aflevering"
"Google Checkout Shipping - Flat Rate","Google Checkout Verzenden - Plat tarief"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Verzenden - Eigen Berekening"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Google order nummer: %s"
"Google Order Status Change:","Google Bestellingsstatus wijzigen:"
"Google Refund:","Google credit:"
"Google Risk Information:","Google Risico Informatie:"
"GoogleCheckout is not configured","GoogleCheckout is niet geconfigureerd"
"Ground","Grond vervoer"
"Hide Cart Contents","Verberg Winkelwageninhoud"
"Home Delivery","Thuisaflevering"
"IP Address: %s","IP Adres: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Wanneer geactiveerd, worden de artikelen in de winkelwagent verborgen nadat er op de Google Checkout knop is gedrukt, en komen weer tevoorschijn wanneer op ""Wijzig winkelwagen"" wordt geclickt"
"Inches","Inch"
"Invoice Auto-Created: %s","Factuur automatisch aangemaakt: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Is Koper Bereid om Marketing-e-mails te Ontvangen: %s"
"Key/URL delivery","Sleutel/URL-aflevering"
"Large - %s","Groot - %s"
"Latest Charge: %s","Laatste betaling: %s"
"Latest Chargeback: %s","Laatste Chargeback: %s"
"Latest Refund: %s","Laatste credit"
"Location","Plaats"
"Media Mail","Mediapost"
"Medium - %s","Middel - %s"
"Merchant ID","Merchant-ID"
"Merchant Key","Handels Sleutel"
"Method","Methode"
"New Order Status","Nieuwe orderstatus"
"Next Day Air","Morgen per luchtpost"
"Next Day Air Early AM","Morgenvroeg per luchtvracht"
"Next Day Air Saver","Volgende dag met besparing"
"No","Nee"
"No Comment","Geen opmerking"
"No Reason","Geen Reden"
"Optimistic","Optimistisch"
"Optional, leave empty for home page.","Optioneel, leeg laten voor homepage"
"Order creation error","Bestelfout bij aanmaken"
