"%d Review(s)","%d review(s)"
"1 star","1 ster"
"2 stars","2 sterren"
"3 stars","3 sterren"
"4 stars","4 sterren"
"5 stars","5 sterren"
"<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>","<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>"
"Add New Review","Nieuwe review toevoegen"
"Administrator","Beheerder"
"Allow Guests to Write Reviews","Gasten mogen beoordelingen schrijven"
"All Reviews","Alle beoordelingen"
"All Reviews of Customer `%s`","Alle beoordelingen van klant `%s`"
"All Reviews of Product `%s`","Alle beoordelingen van product `%s`"
"Approved","Goedgekeurd"
"Are you sure?","Weet je het zeker?"
"Are you sure you want to do this?","Weet je zeker dat je dit wilt doen?"
"Average Customer Rating:","Gemiddelde klantwaardering:"
"Back","Achterzijde"
"Back to My Reviews","Terug naar beoordelingen"
"Be the First to Review","Wees de eerste om te beoordelen"
"Be the first to review this product","Schrijf als eerste een beoordeling van dit product"
"Cancel","annuleren"
"Close","Afsluiten"
"Created On","Aangemaakt op"
"Customer","Klant"
"Customer My Account Product Reviews","Klant > Mijn Account > Productbeoordelingen"
"Customer My Account Review Details","Klant > Mijn Account Review Details"
"Customer Reviews","Klant beoordelingen"
"Customers Reviews","Beoordelingen klanten"
"Delete","Verwijderen"
"Delete Review","Review verwijderen"
"Detailed Rating","Gedetailleerde beoordeling"
"Edit Review '%s'","Beoordeling bewerken '%s'"
"Guest","Gast"
"ID","ID"
"Manage Ratings","Beheer waarderingen"
"My Product Reviews","Mijn Product Beoordelingen"
"My Recent Reviews","Mijn recente beoordelingen"
"Name","naam"
"Name in Store","Naam in winkel"
"New Review","Nieuwe review"
"Nickname","Gebruikersnaam"
"Nickname can't be empty","Bijnaam kan niet leeg zijn"
"Not Approved","Niet goedgekeurd"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Alleen geregistreerde gebruikers kunnen beoordelingen schrijven. Alstublieft, <a href=""%s"">inloggen</a> of <a href=""%s"">Registreer</a>"
"Pending","Lopende"
"Pending Reviews","Te modereren beoordelingen"
"Pending Reviews of Customer `%s`","Te modereren beoordelingen van klant `%s`"
"Per IP address. Default 5 per hour. 0 to disable.","Standaard 5 per uur. 0 om uit te schakelen."
"Please select a rating for each category","Selecteer een beoordeling voor elke categorie"
"Posted By","Geplaatst door"
"Price","Prijs"
"Product","product"
"Product Name","Product Naam"
"Product Rating","Product beoordeling"
"Product Reviews","Product beoordelingen"
"Product SKU","Product Art.nr."
"Products Reviews","Product beoordelingen"
"Qty","Aantal"
"Rating:","Beoordeling:"
"Review","Beoordelen"
"Review (submitted on %s):","Review (verstuurd op %s):"
"Review can't be empty","Beoordeling mag niet leeg zijn"
"Review Details","Review Details"
"Review Form Fields Before","Controleer formuliervelden voor"
"Reviews","Beoordelingen"
"Reviews and Ratings","Beoordelingen en waarderingen"
"Review submit","Review verzenden"
"Review summary can't be empty","Review samenvatting mag niet leeg zijn"
"Save Review","Review opslaan"
"SKU","Artikelnummer"
"Status","status"
"Submit Review","Review verzenden"
"Summary","Summary"
"Summary of Review","Samenvatting van de beoordeling"
"Summary Rating","Samenvatting waardering"
"This product has no reviews yet","Dit product heeft nog geen beoordelingen"
"Title","Aanspreektitel"
"Type","Type"
"Unable to post the review.","Niet in staat om de review te plaatsen."
"Update Status","Status bijwerken"
"View All Reviews","Bekijk Alle Beoordelingen"
"View Details","Details bekijken"
"Visible In","Zichtbaar in"
"Websites","Websites"
"Write a Review","Schrijf een beoordeling"
"You're reviewing:","Je beoordeelt:"
"You have submitted no reviews.","U heeft geen recensies ingediend."
"Your Rating:","Uw waardering:"
"Your Review (submitted on %s):","Uw review (verstuurd op %s):"
"Your review has been accepted for moderation.","Uw beoordeling is geaccepteerd voor moderatie."
