"* Required Fields","* Verplichte velden"
"-- No API Access --","-- Geen API-toegang --"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> vraagt toegang tot uw account"
"Admin","Beheerder"
"Admin API Access","Admin API toegang"
"After authorization application will have access to you account.","Na autorisatie zal de applicatie toegang hebben tot uw account."
"An error occurred.","Er is een fout opgetreden."
"An error occurred. Your authorization request is invalid.","Er is een fout opgetreden. Uw autorisatieverzoek is ongeldig."
"An error occurred on confirm authorize.","Er is een fout opgetreden bij het bevestigen van de autorisatie."
"An error occurred on delete action.","Er is een fout opgetreden bij de verwijder-actie."
"An error occurred on reject authorize.","Er is een fout opgetreden bij het afwijzen van de autorisatie."
"An error occurred on saving consumer data.","Er is een fout opgetreden bij het opslaan van klantgegevens."
"An error occurred on update revoke status.","Er is een fout opgetreden bij het bijwerken van de intrekkingsstatus."
"An error occurred while deleting the consumer.","Er is een fout opgetreden tijdens het verwijderen van de consument."
"API Role","API Rol"
"Application Name","Applicatie Naam"
"Assign an API role to grant permissions. Manage roles at System > API > Roles.","Wijs een API-rol toe om machtigingen te verlenen. Beheer rollen op Systeem > API > Rollen."
"Authorization confirmed","Autorisatie bevestigd"
"Authorization confirmed.","Autorisatie bevestigd."
"Authorize","Autoriseer"
"Authorize application","Autoriseer applicatie"
"Authorized Tokens","Geautoriseerde Tokens"
"Callback URL","Callback URL"
"Cleanup Probability","Schoonmaak waarschijnlijkheid"
"Cleanup Settings","Opschonen instellingen"
"Close","Afsluiten"
"Confirmation Of Authorization","Bevestiging van autorisatie"
"Confirm token authorization for admin","Bevestig token autorisatie voor admin"
"Confirm token authorization Pop Up for admin","Bevestig token autorisatie Pop Up voor admin"
"Consumer Information","Consument informatie"
"Consumer Name","Consumer naam"
"Consumers","Consumenten"
"Created At","Aangemaakt op"
"Current Admin Password","Huidig admin wachtwoord"
"Customer","Klant"
"Delete","Verwijderen"
"deleted","verwijderd"
"Disable","Uitschakelen"
"Disabled","Uitgeschakeld"
"Edit","Bewerken"
"Edit Consumer","Bewerk klant"
"Email","E-mailadres"
"Email Address","Uw e-mailadres"
"Enable","Inschakelen"
"Enabled","Ingeschakeld"
"enabled","ingeschakeld"
"Entry with ID #%s not found.","Invoer met ID #%s niet gevonden."
"Expiration Period","Verval Periode"
"Expires","Verloopt"
"Expires At","Verloopt op"
"Give the verifier code to application administrator","Geef de verificateur code aan de applicatiebeheerder"
"ID","ID"
"Invalid ID parameter.","Ongeldige ID-parameter."
"Key","Sleutel"
"Last Used","Laatst gebruikt"
"Leave empty for no expiration","Laat leeg voor geen vervaldatum"
"Log In","Log in"
"Login","Aanmelden"
"Log in as admin","Inloggen als admin"
"Log in to use <strong>%s</strong>","Log in om te gebruiken <strong>%s</strong>"
"My Applications","Mijn applicaties"
"My Apps","Mijn Apps"
"Name","naam"
"New Consumer","Nieuwe klant"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Admin Mijn Apps"
"OAuth authorization for admin","OAuth autorisatie voor admin"
"OAuth authorization simple for admin","OAuth eenvoudige autorisatie voor admin"
"OAuth Authorized Tokens","OAuth geautoriseerde tokens"
"OAuth Consumers","OAuth klanten"
"Password","Wachtwoord"
"Permissions","Machtigingen"
"Please login to proceed authorization.","Log in om verder te gaan."
"Please select needed row(s).","Selecteer de benodigde rij(en)."
"Please select revoke status.","Selecteer intrekken status."
"Protocol","Protocol"
"Reject","Afwijzen"
"Rejected Callback URL","Afgewezen Callback URL"
"Rejection Of Authorization","Afwijzing van autorisatie"
"Reject token authorization for admin","Wijs token autorisatie voor admin af"
"Reject token authorization Pop Up for admin","Wijs token autorisatie af Pop Up voor admin"
"Revoked","Revoked"
"revoked","revoked"
"Role Name","Rol naam"
"Save","Opslaan"
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
"Secret","Geheim"
"Selected entries enabled.","Geselecteerde items ingeschakeld."
"Selected entries has been deleted.","Geselecteerde items zijn verwijderd."
"Selected entries revoked.","Geselecteerde items ingetrokken."
"Select stores this consumer can access. Leave empty for all stores.","Selecteer winkels die deze gebruiker kan gebruiken. Laat leeg voor alle winkels."
"Status","status"
"Store Access","Winkel toegang"
"System","Systeem"
"The application access request is rejected.","Het app-toegangsverzoek is geweigerd."
"The consumer has been deleted.","De gebruiker is verwijderd."
"The consumer has been saved.","De gebruiker is opgeslagen."
"Token Status Change","Token Status verandering"
"Token Status Change Email Template","Token Status verandering e-mail sjabloon"
"Unable to find a consumer.","Kan geen klant vinden."
"User ID","Gebruiker ID"
"User Name","Gebruikers naam"
"User Type","Type gebruiker"
"Verifier code: %s","Verificatiecode: %s"
