"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s is toegevoegd aan uw verlanglijst. Klik <a href=""%2$s"">hier</a> om door te gaan met winkelen."
"%1$s has been updated in your wishlist.","%1$s is bijgewerkt in uw wensenlijst."
"%d product(s) have been added to shopping cart: %s.","%d product(en) zijn toegevoegd aan de winkelwagen: %s."
"%s's Wishlist","Verlanglijst van %s"
"%s for ""%s"".","%s voor ""%s""."
"%s has been moved to wishlist %s","%s is verplaatst naar de verlanglijst %s"
"%s has been moved to wishlist %s. Please note that uploaded files will need to be re-uploaded when adding to cart.","%s is verplaatst naar verlanglijst %s. Houd er rekening mee dat geüploade bestanden opnieuw moeten worden geüpload bij het toevoegen aan de winkelwagen."
"%s was added to your shopping cart.","%s is aan uw winkelwagen toegevoegd."
"* Required Fields","* Verplichte velden"
"Add All to Cart","Alles toevoegen aan winkelwagen"
"Added From","Toegevoegd vanaf"
"Add to Cart","Aan winkelwagen toevoegen"
"Add to Compare","Voeg toe aan vergelijking"
"Add to Wishlist","Toevoegen aan Verlanglijst"
"An error occurred while adding item to wishlist.","Er is een fout opgetreden tijdens het toevoegen van het product aan de verlanglijst."
"An error occurred while adding item to wishlist: %s","Er is een fout opgetreden tijdens het toevoegen van het artikel aan de verlanglijst: %s"
"An error occurred while deleting the item from wishlist.","Er is een fout opgetreden tijdens het verwijderen van het product uit de verlanglijst."
"An error occurred while deleting the item from wishlist: %s","Er is een fout opgetreden tijdens het verwijderen van het product uit de verlanglijst: %s"
"An error occurred while updating wishlist.","Fout opgetreden tijdens het bijwerken van wensenlijst."
"Are you sure you want to remove this product from your wishlist?","Weet u zeker dat u dit product uit uw verlanglijst wilt verwijderen?"
"Are you sure you would like to remove this item from the wishlist?","Weet u zeker dat u dit product van de verlanglijst wilt verwijderen?"
"Back","Achterzijde"
"Can't delete item from wishlist","Kan product niet verwijderen van verlanglijst"
"Can't save description %s","Kan beschrijving niet opslaan %s"
"Can't update wishlist","Verlanglijst kan niet worden bijgewerkt"
"Cannot add item to shopping cart","Kan product niet toevoegen aan winkelwagen"
"Cannot add the item to shopping cart.","Kan dit product niet toevoegen aan de winkelwagen."
"Cannot add the selected product to shopping cart because the product was removed from the wishlist","Kan het geselecteerde product niet toevoegen aan de winkelwagen, omdat het product is verwijderd uit de verlanglijst"
"Cannot configure product","Kan product niet configureren"
"Cannot load wishlist item","Kan verlanglijst niet laden"
"Cannot move item to wishlist","Kan product niet naar verlanglijst verplaatsen"
"Cannot specify product.","Kan product niet specificeren."
"Cannot specify wishlist.","Kan verlanglijst niet specificeren."
"Cannot specify wishlist item.","Kan verlanglijst product niet specificeren."
"Cannot update wishlist","Kan verlanglijst niet bijwerken"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Vink dit selectievakje aan als u een link wilt toevoegen naar een rss feed aan uw wensenlijst."
"Click for price","Klik voor prijs"
"Comment","Opmerking"
"Comment:","Notitie:"
"Configured Price:","Geconfigureerde prijs:"
"Configure Wishlist Item","Configureer verlanglijst artikel"
"Could not find wishlist","Kan verlanglijst niet vinden"
"Customer My Account My Wishlist","Klant > Mijn Account > Verlanglijst"
"Customer My Account Wishlist Sharing Form","Klant > Mijn Account > Verlanglijst delen formulier"
"Customer Shared Wishlist View","Klant gedeelde verlanglijst weergave"
"Date Added","Datum toegevoegd"
"Days in Wishlist","Dagen op verlanglijst"
"Display Wishlist Summary","Toon samenvatting verlanglijst"
"Edit","Bewerken"
"Email address can't be empty.","E-mailadres kan niet leeg zijn."
"Email Sender","Afzender e-mail"
"Email Template","E-mail sjabloon"
"Enabled","Ingeschakeld"
"General Options","Algemene Opties"
"Go to Wishlist","Ga naar verlanglijst"
"Helper for wishlist options rendering doesn't implement required interface.","Helper voor verlanglijst-opties rendering implementeren de vereiste interface niet."
"In stock","Op voorraad"
"Last Added Items","Laatst toegevoegde artikelen"
"Message","bericht"
"My Wishlist","Mijn verlanglijst"
"My Wishlist (%d item)","Verlanglijst (%d item)"
"My Wishlist (%d items)","Verlanglijst (%d items)"
"My Wishlist <small>(%d)</small>","Mijn verlanglijst <small>(%d)</small>"
"My Wishlist Link","Verlanglijst link"
"Options Details","Details opties"
"Out of stock","Niet op voorraad"
"Please, enter your comments...","Voer uw opmerkingen in..."
"Please add product to wishlist again.","Voeg product opnieuw aan verlanglijst toe."
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Voer geldige e-mailadressen in, gescheiden door komma's. Bijvoorbeeld johndoe@domain.com, johnsmith@domain.com."
"Please enter no more than 5 email addresses.","Voer niet meer dan 5 e-mailadressen in."
"Please input a valid email address.","Voer een geldig e-mailadres in."
"Price","Prijs"
"Product","product"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Product(en) %s hebben verplichte opties. Elk van deze kan afzonderlijk aan de winkelwagen worden toegevoegd."
"Qty","Aantal"
"Remove Item","Artikel verwijderen"
"Remove item","Artikel verwijderen"
"Remove This Item","Dit item verwijderen"
"Requested cart item doesn't exist","Gevraagde winkelwagen product bestaat niet"
"Requested wishlist doesn't exist","Opgevraagde verlanglijst bestaat niet"
"RSS Feed","RSS feed"
"RSS link to %s's wishlist","RSS-link naar %s's verlanglijst"
"Share Options","Opties voor delen"
"Share Wishlist","Verlanglijst delen"
"Share Your Wishlist","Deel uw verlanglijst"
"Sharing Information","Informatie delen"
"SKU","Artikelnummer"
"This product(s) is currently out of stock","Deze product(en) zijn momenteel niet op voorraad"
"This Wishlist has no Items","Deze verlanglijst heeft geen producten"
"Unable to add the following product(s) to shopping cart: %s.","De volgende product(en) kunnen niet worden toegevoegd aan de winkelwagen: %s."
"Update Wishlist","Verlanglijst bijwerken"
"Up to 5 email addresses, separated by commas","Maximaal 5 e-mailadressen, gescheiden door komma's"
"User Description","Omschrijving gebruiker"
"View Details","Details bekijken"
"View Product","Bekijk product"
"What's this?","Wat is dit?"
"Wishlist","Verlanglijst"
"Wishlist could not be created.","Verlanglijst kon niet worden aangemaakt."
"Wishlist is empty now.","Wensenlijst is nu leeg."
"Wishlist Sharing","Verlanglijst delen"
"You have no items in your wishlist.","U heeft geen producten in uw wensenlijst."
"Your Wishlist has been shared.","Uw verlanglijst is gedeeld."
