"%s message(s) discarded.","%s bericht(en) verwijderd."
"%s message(s) re-queued.","%s bericht(en) opnieuw in wachtrij."
"%s message(s) were skipped: only failed or stuck messages without a newer copy of their dedupe key can be retried.","%s bericht(en) zijn overgeslagen: alleen mislukte of vastgelopen berichten zonder een nieuwere kopie van hun dedupe sleutel kan worden opgehaald."
"%s queue message(s) were claimed by a worker that never finished. They are not re-queued automatically: <a href=""%s"">retry or discard them</a>.","%s wachtrij bericht(en) werden opgeëist door een werker die nooit klaar is. Ze worden niet automatisch in de wachtrij gezet: <a href=""%s"">probeer ze opnieuw of negeer ze</a>."
"0 keeps failed messages forever.","0 houdt mislukte berichten voor altijd bij."
"0 removes messages immediately on success; a positive value keeps them visible in the grid for this many days.","0 verwijdert berichten onmiddellijk na succes; een positieve waarde zorgt ervoor dat ze zo veel dagen zichtbaar zijn in het raster."
"Action","actie"
"Available","Beschikbaar"
"Available (UTC)","Beschikbaar (UTC)"
"Back","Achterzijde"
"Background message processing. Maho cron keeps one detached ""queue:work"" worker running per pool: a resident ""fast"" worker so short jobs never queue behind long ones, plus a ""slow"" catch-all started only while it has work. Both are respawned within a minute if they die. Pools are declared in config.xml under global/queue/pools.","Achtergrondbericht verwerking. Maho cron houdt een losse ""wachtrij:werk"" werknemer actief per pool: een ingezetene ""snel"" werker zo korte taken zo lang in de wachtrij staan nooit in de wachtrij plus een ""traag"" catch-all begon alleen terwijl het werkt. Beide worden binnen een minuut respawned als ze sterven. Pools worden in config.xml onder global/wachtrij/pools gedeclareerd."
"Body (serialized)","Lichaam (serialiseerd)"
"Claimed (UTC)","Claimed (UTC)"
"Completed","Voltooid"
"Discard","Weggooien"
"Discard Messages","Berichten verwijderen"
"Each retry waits this many times longer than the previous one.","Elke herpoging wacht dit vele malen langer dan de vorige."
"Error","Foutmelding"
"Failed","Mislukt"
"Failed messages are retried this many times with exponential backoff, then marked failed.","Mislukte berichten worden vaak opnieuw geprobeerd met exponentiële backoek, daarna is het gemarkeerd mislukt."
"ID","ID"
"Initial Retry Delay (seconds)","Eerste keer opnieuw proberen (seconden)"
"Keep Completed Messages (days)","Behoud Voltooide Berichten (dagen)"
"Keep Failed Messages (days)","Mislukte berichten (dagen) bewaren"
"Max Retries","Maximaal aantal pogingen"
"Max Retry Delay (seconds)","Max Opnieuw proberen (seconden)"
"Message","bericht"
"Message #%s","Bericht #%s"
"Message Class","Message Class"
"Message Details","Bericht details"
"Message discarded.","Bericht verwijderd."
"Message not found.","Bericht niet gevonden."
"Message Queue","Berichten wachtrij"
"Message re-queued.","Bericht opnieuw in de wachtrij"
"Pending","Lopende"
"Permanently delete the selected messages?","De geselecteerde berichten permanent verwijderen?"
"Permanently delete this message?","Dit bericht permanent verwijderen?"
"Processed (UTC)","(UTC) verwerkt"
"Processing","Verwerken"
"Queue","Wachtrij"
"Queued","Wachtrij"
"Queued (UTC)","Queued (UTC)"
"Re-queue the selected messages?","Geselecteerde berichten opnieuw toevoegen?"
"Re-queue this message?","Dit bericht opnieuw in de wachtrij?"
"Retries","Probeert"
"Retry","Opnieuw"
"Retry Delay Multiplier","Probeer Vermenigvuldiger opnieuw"
"Retry Messages","Berichten opnieuw proberen"
"Status","status"
"The message was not retried: only failed or stuck messages without a newer copy of their dedupe key can be retried.","Het bericht is niet opgehaald: alleen mislukt of vastzetten van berichten zonder een nieuwere kopie van hun dedupe sleutel kan worden opgehaald."
"Upper bound for the backoff. 0 means no bound.","Bovengrens naar de backoff. 0 betekent geen grens."
"View","Bekijken"
"View Messages","Berichten bekijken"
