"Action","actie"
"Add Sitemap","Sitemap toevoegen"
"Always","altijd"
"Categories Options","Categorieën opties"
"CMS Pages Options","CMS pagina's opties"
"Daily","Dagelijks"
"Do not show in sitemap","Niet weergeven in sitemap"
"Edit Sitemap","Sitemap bewerken"
"Enabled","Ingeschakeld"
"Error Email Recipient","E-mailadres ontvanger van foutmelding"
"Error Email Sender","Error Email Sender"
"Error Email Template","Fout e-mail sjabloon"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Bestand ""%s"" kan niet worden opgeslagen. Zorg ervoor dat de map ""%s"" beschrijfbaar is door de webserver."
"Filename","Bestandsnaam"
"Frequency","Frequentie"
"Generate","Genereren"
"Generation Settings","Generatie instellingen"
"Google Sitemap","Google Sitemap"
"Hourly","Per uur"
"ID","ID"
"Include Images","Afbeeldingen opnemen"
"Last Time Generated","Laatste keer gegenereerd"
"Link for Google","Link voor Google"
"Maximum URLs per Sitemap File","Maximaal aantal URL's per Sitemap bestand"
"Monthly","maandelijks"
"Never","Nooit"
"New Sitemap","Nieuwe sitemap"
"Path","Pad"
"Please create the specified folder ""%s"" inside your public directory before saving the sitemap.","Maak eerst de opgegeven map%saan in uw openbare map voordat u de sitemap opslaat."
"Please define correct path","Definieer het juiste pad"
"Please enter a sitemap name with at most %s characters.","Voer een sitemap naam in met maximaal %s tekens."
"Please make sure that ""%s"" inside your public directory is writable by web-server.","Zorg ervoor dat ""%s"" in uw openbare map beschrijfbaar is door de webserver."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Gebruik alleen letters (a-z en A-Z), cijfers (0-9) of een underscore (_) in de bestandsnaam. Spaties en andere tekens zijn niet toegestaan."
"Priority","Prioriteit"
"Products Options","Opties producten"
"Show lastmod","Show lastmod"
"Sitemap","Sitemap"
"Sitemap generate Warnings","Sitemap genereert waarschuwingen"
"Split sitemap files when they exceed this number of URLs","Splits sitemap bestanden wanneer deze groter zijn dan dit aantal URL's"
"Start Time","Start tijd"
"Store View","Winkelaanzicht"
"The priority must be between 0 and 1.","De prioriteit moet liggen tussen 0 en 1."
"The sitemap ""%s"" has been generated.","De sitemap ""%s"" is gegenereerd."
"The sitemap has been deleted.","De sitemap is verwijderd."
"The sitemap has been saved.","De sitemap is opgeslagen."
"This sitemap no longer exists.","Deze sitemap bestaat niet meer."
"Unable to find a sitemap to delete.","Kan geen sitemap vinden om te verwijderen"
"Unable to find a sitemap to generate.","Kan geen sitemap vinden om te genereren."
"Unable to generate the sitemap.","Kan de sitemap niet genereren."
"Valid values range: from 0.0 to 1.0.","Geldige waarde: van 0.0 tot 1.0."
"Weekly","wekelijks"
"Yearly","Jaarlijks"
