"Abandoned Carts","Niet afgemaakte winkelwagens"
"Abandoned carts","Achtergelaten winkelwagens"
"Action","actie"
"Add to Cart","Aan winkelwagen toevoegen"
"Add to Compare","Voeg toe aan vergelijking"
"Add to Wishlist","Toevoegen aan Verlanglijst"
"All Time","Gehele tijd"
"Any","Elk"
"Applied Coupon","Toegepaste kortingscode"
"Applies to Any of the Specified Order Statuses","Van toepassing op een van de gespecificeerde orderstatussen"
"Are you sure?","Weet je het zeker?"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Weet u zeker dat u de statistieken van de levensduur wilt vernieuwen? Dit kan gevolgen hebben voor de prestaties."
"Avg. Approved Rating","Gemiddelde erkende waardering"
"Avg. Rating","Gem. beoordeling"
"Bestsellers","Bestsellers"
"Bestsellers Grid Template","Bestsellers rastersjabloon"
"Bestsellers Images and Names Template","Foto's en namen sjabloon bestsellers"
"Bestsellers Images Only Template","Bestsellers alleen afbeeldingen sjabloon"
"Bestsellers List Template","Best verkochte lijst-sjabloon"
"Bestsellers Names Only Template","Bestsellers namen alleen sjabloon"
"Carts","Winkelwagens"
"Catalog Category (Without Subcategories)","Catalogus categorie (zonder subcategorieën)"
"Compared Product Images Only Template","Alleen vergeleken productafbeeldingen sjabloon"
"Compared Product Names Only Template","Alleen vergeleken productnamen sjabloon"
"Compared Products Grid Template","Vergeleken producten tabel-sjabloon"
"Compared Products Images and Names Template","Vergeleken productafbeeldingen en namen sjabloon"
"Compared Products List Template","Vergeleken producten lijst-sjabloon"
"Coupons","Kortingsbonnen"
"Coupons Usage Report","Coupons gebruik rapport"
"Created At","Aangemaakt op"
"CSV","csv"
"Current Month Starts","Huidige maand begint"
"Customer","Klant"
"Customer Name","Klant naam"
"Customers","klanten"
"Customers by Number of Orders","Klanten o.b.v. Aantal bestellingen"
"Customers by number of orders","Klanten op aantal bestellingen"
"Customers by Orders Total","Klanten per totaal van bestellingen"
"Customers by orders total","Klanten per totaal van bestellingen"
"Customers Report","Rapportage klanten"
"Customers Reviews","Beoordelingen klanten"
"Customers Tags","Labels van klanten"
"Customer Tags","Tags van klant"
"Dashboard","Dashboard"
"Day","dag"
"Default Recently Compared Products Count","Standaard aantal onlangs vergeleken producten"
"Default Recently Viewed Products Count","Standaard aantal onlangs bekeken producten"
"Description","Beschrijving"
"Detail","Detail"
"Downloads","downloads"
"Email","E-mailadres"
"Empty Rows","Lege regels"
"Enable Product Compare","Product vergelijken inschakelen"
"Enable Recently Viewed Products","Schakel recent bekeken producten in"
"Enable Reports","Rapportage inschakelen"
"Excel XML","Excel XML"
"Filter","Filteren"
"First Name","Voornaam is vereist."
"From","van"
"General","Algemeen"
"Guest","Gast"
"Hits","Treffers"
"ID","ID"
"Index model name must be defined","Index modelnaam moet worden gedefinieerd"
"Invalid date specified.","Ongeldige datum opgegeven."
"Invoiced","Gefactureerd"
"IP Address","IP adres"
"Items in Cart","Artikelen in winkelwagen"
"Last 7 Days","Afgelopen 7 dagen"
"Last 30 Days","Vorige 30 Dagen"
"Last Name","Achternaam is vereist"
"Last Review","Laatste review"
"Link","Koppeling"
"List of best selling products for a given period","Lijst van best verkopende producten voor een bepaalde periode"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Overzicht van producten die recentelijk door bezoekers van de vergelijkingslijst zijn gehaald"
"List of Products Recently Viewed by Visitor","Overzicht van producten die recentelijk door bezoekers bekeken zijn"
"Low Stock","Lage voorraad"
"Low stock","Lage voorraad"
"Match Period To","Periode koppelen aan"
"Month","maand"
"Most Viewed","Meest bekeken"
"Name","naam"
"New Accounts","Nieuwe accounts"
"No","Neen"
"Number Added","Nummer toegevoegd"
"Number Fulfilled","Nummer ingevuld"
"Number of Items","Aantal items"
"Number of New Accounts","Aantal nieuwe accounts"
"Number of Products to display","Aantal producten om weer te geven"
"Number Of Reviews","Aantal reviews"
"Number of Reviews","Aantal reviews"
"Number of Total Tags","Totaal aantal labels"
"Number of Unique Tags","Aantal unieke labels"
"Number of Views","Aantal weergaven"
"Number Purchased","Aantal gekocht"
"Number Viewed","Aantal bekeken"
"Only In-Stock Products","Alleen op voorraad producten"
"Orders","Bestellingen"
"Order Status","Status van bestelling"
"Order Taxes Report Grouped by Tax Rate","Bestelling BTW-rapport gegroepeerd op BTW-tarief"
"Out of stock","Niet op voorraad"
"Period","Periode"
"Poducts Report","Poducten Rapport"
"Popularity","Populariteit"
"Popular Tags","Populaire tags"
"Price","Prijs"
"Product Name","Product Naam"
"Product Reviews","Product beoordelingen"
"Products","Product(en)"
"Products in carts","Producten in winkelwagens"
"Product SKU","Product Art.nr."
"Products Ordered","Bestelde producten"
"Products Report","Producten Rapport"
"Products Reviews","Product beoordelingen"
"Products Tags","Producten tags"
"Product Tags","Product tags"
"Purchases","Aankopen"
"Quantity of Items","Aantal artikelen"
"Quantity Ordered","Bestelde hoeveelheid"
"Recently Compared","Recent vergeleken"
"Recently Compared Products","Recent vergeleken producten"
"Recently Viewed","Recent bekeken"
"Recently Viewed/Compared Products","Recent bekeken/vergeleken producten"
"Recently Viewed Products","Recent bekeken producten"
