"""Remember Me"" Default Value","""Onthoud mij"" standaardwaarde"
"* Required Fields","* Verplichte velden"
"Accept Format-valid VAT When VIES Unavailable","Format-geldige BTW accepteren wanneer VIES niet beschikbaar is"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Account bevestiging is vereist. Controleer uw e-mail voor de bevestigingslink. Wilt u opnieuw de bevestigingslink ontvangen, <a href=""%s"">klik hier</a>."
"Account Dashboard","Dashboard klant"
"Account Information","Account Informatie"
"Account Options","Account opties"
"Account Sharing Options","Opties voor delen van account"
"Action","actie"
"Added From","Toegevoegd vanaf"
"Additional Address Entries","Extra adresgegevens"
"Add New Address","Nieuw adres toevoegen"
"Add New Customer","Nieuwe klant toevoegen"
"Add New Customer Group","Nieuwe klantgroep toevoegen"
"Address","Adres:"
"Address Book","Adres boek"
"Addresses","Adres"
"Address Information","Adres Informatie"
"Address Templates","Adres sjablonen"
"Admin","Beheerder"
"All","Allemaal"
"All countries","Alle landen"
"ALL GROUPS","ALLE GROEPEN"
"Allow customers to login via a secure link sent to their email instead of using a password.","Sta klanten toe om in te loggen via een beveiligde link die naar hun e-mail is verzonden in plaats van een wachtwoord te gebruiken."
"All Store Views","Alle Winkelaanzichten"
"Always optional.","Altijd optioneel."
"Amount","Hoeveelheid"
"An error occurred during validation. Please try again.","Er is een fout opgetreden tijdens het valideren. Probeer het opnieuw."
"An error occurred while deleting the address.","Er is een fout opgetreden tijdens het verwijderen van het adres."
"An error occurred while retrieving the option value: %s.","Er is een fout opgetreden bij het ophalen van de optiewaarde: %s."
"An error occurred while saving the collection, aborting. Error: %s","Er is een fout opgetreden bij het opslaan van de collectie, afbreken. Fout: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Een ongeldige optie ID is opgegeven voor %s (%s), record wordt overgeslagen."
"Approved","Goedgekeurd"
"Are you sure?","Weet je het zeker?"
"Are you sure that you want to remove this item?","Weet u zeker dat u dit item wilt verwijderen?"
"Are you sure you want to cancel adding of this address?","Weet u zeker dat u het toevoegen van dit adres wilt annuleren?"
"Are you sure you want to delete this address?","Weet u zeker dat u dit adres wilt verwijderen?"
"Assign a Customer Group","Klantgroep toewijzen"
"Average Sale","Gemiddelde verkoop"
"Back","Achterzijde"
"Bad request.","Foutief verzoek."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Gebaseerd op het BTW-nummer, zou de klant tot klantgroep %s behoren."
"Bill to Name","Factuur aan naam"
"Bought From","Gekocht van"
"By Email","Per e-mail"
"By IP","Op IP"
"By IP and Email","Per IP en e-mail"
"Cache Lifetime (hours)","Cache levensduur (uren)"
"Cancel","annuleren"
"Cannot save address.","Kan adres niet opslaan."
"Cannot save a new password.","Kan geen nieuw wachtwoord opslaan."
"Cannot save the customer.","Kan de klant niet opslaan."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Kan geen klanten accounts globaal delen, omdat sommige klanten accounts met dezelfde e-mails op meerdere websites staan en niet kunnen worden samengevoegd."
"Change Account Data","Wijzig accountgegevens"
"Change Billing Address","Factuuradres wijzigen"
"Changed Email or Password Email Template","Gewijzigd e-mailadres of wachtwoord e-mail sjabloon"
"Changed Password or Email","Gewijzigd wachtwoord of e-mailadres"
"Change Password","Wachtwoord wijzigen"
"Change Shipping Address","Verzendadres wijzigen"
"City","Woonplaats"
"Close","Afsluiten"
"Company","Bedrijfsnaam"
"Configure","Configureren"
"Confirmation Link Email","Bevestiging Link E-mail"
"Confirmed","Bevestigd"
"Confirm New Password","Bevestig nieuw wachtwoord"
"Confirm Password","Bevestig wachtwoord"
"Contact Information","Contact informatie"
"Continue","Doorgaan"
"Continue Shopping","Doorgaan met winkelen"
"Controls whether password is required during registration when Magic Link is enabled.","Bepaalt of wachtwoord vereist is tijdens registratie wanneer Magic Link ingeschakeld is."
"Country","Land:"
"Country is required.","Land is verplicht."
"Create","Aanmaken"
"Create an account","Account aanmaken"
"Create customer","Klant aanmaken"
"Create customer address","Klantadres aanmaken"
"Create New Account Options","Nieuwe accountopties aanmaken"
"Create New Customer Account","Nieuw klantaccount aanmaken"
"Create Order","Bestelling aanmaken"
"CSV","csv"
"Current Admin Password","Huidig admin wachtwoord"
"Current Password","Huidig wachtwoord"
"Customer","Klant"
"Customer Account Edit Form","Klant Account Bewerken Formulier"
"Customer Account Login Form","Klant Account Login Formulier"
"Customer Account Logout Success","Klant account uitgelogd"
"Customer Account Registration Form","Klant Account Registratieformulier"
"Customer accounts cannot be disabled because guest checkout is not allowed. Please enable guest checkout first.","Klantaccounts kunnen niet worden uitgeschakeld omdat afrekenen als gast niet is toegestaan. Schakel eerst afrekenen als gast in."
"Customer Addresses","Klant adressen"
"Customer API","Klant API"
"Customer collection expected.","Klantenverzameling verwacht."
"Customer Configuration","Klant configuratie"
"Customer email is required","Klant e-mail is vereist"
"Customer Forgot Password Form","Klant Vergeten Wachtwoord Formulier"
"Customer Group","Groep klant"
"Customer Groups","Groepen klant"
"Customer Information","Klant informatie"
"Customer Login","Klant login"
"Customer My Account (All Pages)","Klant > Mijn Account (Alle Pagina's)"
"Customer My Account Address Book","Klant > Mijn Account > Adresboek"
"Customer My Account Address Edit Form","Klant > Mijn Account > Adres Bewerkformulier"
"Customer My Account Dashboard","Klant Mijn Account Dashboard"
"Customers","klanten"
"Customer Since","Klant sinds"
"Customers Only","Alleen klanten"
"Customer View","Klant weergave"
"Customer website ID must be specified when using the website scope","Klant website-ID moet opgegeven zijn bij het gebruik van de website-scope"
"Customer will stay on the current page if ""No"" is selected.","Klant zal op de huidige pagina blijven als Nee is geselecteerd."
"Date","Datum:"
"Date Added","Datum toegevoegd"
"Date of Birth","Geboortedatum"
"Day","dag"
"Days in Wishlist","Dagen op verlanglijst"
"DD","DD"
"Default Addresses","Standaard Adressen"
"Default Billing Address","Standaard factuuradres"
"Default Email Domain","Standaard e-maildomein"
"Default Group","Standaard groep"
"Default Shipping Address","Standaard verzendadres"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Standaardwaarde voor Uitschakelen automatische verandering van groep wijzigingen op basis van BTW-nummer"
"Default Welcome Email","Standaard welkomstmail"
"Delete","Verwijderen"
"Delete Address","Adres verwijderen"
"Delete Customer","Klant verwijderen"
"Delete customer","Klant verwijderen"
"Delete customer address","Klantadres verwijderen"
"Delete Customer Group","Klantgroep verwijderen"
"Deleted Stores","Verwijderde winkels"
"Details","Beschrijving"
"Disabled","Uitgeschakeld"
"Edit","Bewerken"
"Edit Account Info","Accountgegevens bewerken"
"Edit Account Information","Accountgegevens bewerken"
"Edit Address","Adres bewerken"
"Edit Customer's Address","Klantadres bewerken"
"Edit Customer Group ""%s""","Klantgroep bewerken ""%s"""
"Edit Customer Groups","Klantgroepen bewerken"
"Edit Group","Groep bewerken"
"Email","E-mailadres"
"Email:","Email:"
"Email Address","Uw e-mailadres"
"Email Link to Set Password","E-mail link om wachtwoord in te stellen"
"Email Link to Set Password on New Account","E-mail link om wachtwoord in te stellen op nieuw account"
"Email Link to Set Password Options","E-mail link om wachtwoord opties in te stellen"
"Email Sender","Afzender e-mail"
"Email Template","E-mail sjabloon"
"Enable ""Remember Me""","Inschakelen ""Onthoud mij"""
"Enable Automatic Assignment to Customer Group","Inschakelen automatische toewijzing aan groep klanten"
"Enable Customer Accounts in Frontend","Klantaccounts in frontend inschakelen"
"Enable Magic Link Login","Magic Link Login inschakelen"
"Enable Real-time VAT Validation","Realtime BTW-validatie inschakelen"
"Excel XML","Excel XML"
"Failed to confirm customer account.","Bevestigen van klantaccount is mislukt."
"Fax","Faxnummer"
"First Name","Voornaam is vereist."
"Forgot and Remind Email Sender","Afzender E-mail Vergeten en Herinneren"
"Forgot Email Template","Sjabloon e-mail vergeten"
"Forgot Password","Wachtwoord vergeten"
"Forgot password flow secure","Wachtwoord vergeten? beveiligd"
"Forgot password requests to times per 24 hours from 1 e-mail","Wachtwoord aanvragen per 24 uur per e-mail vergeten"
"Forgot password requests to times per hour from 1 IP","Wachtwoord aanvragen per uur vergeten van 1 IP"
"Forgot Your Password","Wachtwoord vergeten"
"Forgot Your Password?","Wachtwoord vergeten ?"
"Form Fields Before","Formuliervelden voor"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Vanaf mijn rekening dashboard heeft u de mogelijkheid om een momentopname van uw recente activiteit te bekijken en uw accountgegevens bij te werken. Selecteer hieronder een link om informatie te bekijken of te bewerken."
"Gender","Geslacht"
"Gender is required.","Geslacht is vereist."
"Generate Human-Friendly Customer ID","Genereer klantvriendelijk klant-ID"
"Global","Wereldwijd"
"Group","Groeperen"
"Group for Invalid VAT ID","Groep voor ongeldig BTW-nummer"
"Group for Valid VAT ID - Domestic","Groep voor geldig BTW-nummer - Binnenland"
"Group for Valid VAT ID - Intra-Union","Groep voor geldig BTW-nummer - Intra-Union"
"Group Information","Groep informatie"
"Group Name","Groep Naam"
"Guest","Gast"
"Hello, %s!","Hallo, %s!"
"How long the magic link remains valid. Default: 10 minutes.","Hoe lang de magische link geldig blijft. Standaard: 10 minuten."
"How long to cache VIES validation results. Set to 0 to disable caching.","Hoe lang het cachen van VIES validatie resultaten. Stel in op 0 om caching uit te schakelen."
"HTML","HTML"
"ID","ID"
"If there is an account associated with %s you will receive an email with a login link.","Als er een account is gekoppeld aan %s , ontvangt u een e-mail met een inloglink."
"If VIES service is down, accept VAT numbers that pass format validation.","Als de VIES-service omlaag is, accepteer dan BTW-nummers die validatie passeren."
"If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you billing address for proper VAT calculation","If you are a registered VAT customer, please <a href=""%s"">click here</a> to enter you billing address for proper VAT calculation"
