"%s items queued for embedding.","%s items in de wachtrij voor insluiten."
"Action","actie"
"AI","AI"
"AI: could not refresh models for %s. See exception.log.","AI: Kan modellen voor %sniet vernieuwen. Zie exception.log."
"AI: refreshed %d models for %s.","AI: vernieuwd %d modellen voor %s."
"AI Configuration","AI configuratie"
"AI Task #%s","AI Task #%s"
"AI Task History","AI Task History"
"AI Usage","AI gebruik"
"already queued","al in de wachtrij"
"Async Queue","Async wachtrij"
"Auto-embed Categories","Auto-embed Categorieën"
"Auto-embed Products","Producten automatisch insluiten"
"Back","Achterzijde"
"Background","Achtergrond"
"Blocked Input Patterns","Geblokkeerde invoerpatronen"
"Calls","Gesprekken"
"Cancelled","Geannuleerd"
"Categories (%s active)","Categorieën (%s actief)"
"Complete","Complete"
"Completed","Voltooid"
"Completion","Voltooiing"
"Consumer","Consument"
"Context","Context"
"Current Configuration","Huidige configuratie"
"Default AI Provider","Default AI Provider"
"Default Placeholder Height","Standaard hoogte plaatsaanduiding"
"Default Placeholder Width","Standaard breedte plaatshouder"
"Disabled","Uitgeschakeld"
"e.g. http://localhost:11434","e.g. http://localhost:11434"
"e.g. openai/gpt-4o, anthropic/claude-sonnet-4-6, google/gemini-2.0-flash","bijv. openai/gpt-4o, anthropic/claude-sonnet-4-6, google/gemini-2.0-flash"
"Embedding","Embedding"
"Embeddings","Insluiten"
"Embeddings are disabled. Enable them under System &gt; AI &gt; Embed Settings before queuing.","Inbeddingen zijn uitgeschakeld. Schakel ze in onder Systeem &gt; &gt; AI &gt; Embed Instellingen voor in de wachtrij."
"Embed Provider","Insluiten Provider"
"Embed Status","Status insluiten"
"Enable Async Queue","Async wachtrij inschakelen"
"Enabled","Ingeschakeld"
"Enable Embeddings","Insluiten inschakelen"
"Enable Image Generation","Beeldgeneratie inschakelen"
"Error","Foutmelding"
"Error: ","Fout: "
"Estimated completion: ~%d hours %d minutes.","Geschatte voltooiing: ~%d uur %d minuten."
"Estimated completion: ~%d minutes.","Geschatte voltooiing: ~%d minuten."
"Failed","Mislukt"
"Failed to fetch models. See exception.log for details.","Fout bij het ophalen van modellen. Bekijk exception.log voor details."
"Fetching...","Ophalen..."
"Flag responses containing email addresses, phone numbers, or SSNs.","Markering reacties met e-mailadressen, telefoonnummers of SSN's."
"Google Embed Model","Google insluiten model"
"ID","ID"
"Image","Afbeelding"
"Image Generation","Afbeelding genereren"
"Image Provider","Afbeelding Provider"
"Input Tokens","Input Tokens"
"Interactive","Interactief"
"In Tokens","In Tokens"
"Log Requests","Log verzoeken"
"Max seconds a task can run before being marked as failed.","Maximaal aantal seconden dat een taak kan worden uitgevoerd voordat deze als mislukt wordt gemarkeerd."
"Max Tasks Per Cron Run","Max Taken Per Cron Run"
"Messages","berichten"
"Mistral Embed Model","Mistraal Embed Model"
"Model","Model"
"Must be installed locally via `ollama pull`.","Moet lokaal geïnstalleerd worden via `ollama pull`."
"No items were queued. Make sure products/categories have text content.","Er zijn geen items in de wachtrij geplaatst. Zorg ervoor dat producten/categorieën tekst inhoud hebben."
"Ollama Embed Model","Ollama Embed Model"
"One regex per line. Matching inputs will be rejected.","Één regex per regel. Overeenkomende inputs worden afgewezen."
"OpenAI-compatible endpoint, e.g. https://api.example.com/v1","OpenAI-compatibel eindpunt, bijv. https://api.example.com/v1"
"OpenAI Embed Model","OpenAI Embed Model"
"OpenAI Image Model","Model OpenAI afbeelding"
"Output Tokens","Uitvoer Tokens"
"Out Tokens","Uitgaande tokens"
"Pending","Lopende"
"Pending Embed Tasks","Ingesloten taken"
"PII Detection","PII detectie"
"Placeholder URL Pattern","Patroon URL plaatsaanduiding"
"Platform","Platform"
"Platform / Model","Platform / Model"
"Priority","Prioriteit"
"Processing","Verwerken"
"Products (%s enabled)","Producten (%s ingeschakeld)"
"Prompt Injection Detection","Vragen injectie detectie"
"Queue","Wachtrij"
"Queue an embedding task whenever a category is saved.","Een embedding taak in de wachtrij wanneer een categorie wordt opgeslagen."
"Queue an embedding task whenever a product is saved.","Een embedding taak in de wachtrij wanneer een product wordt opgeslagen."
"Queue Cron Schedule","Wachtrij Cron schema"
"Queued","Wachtrij"
"Queue for Embedding","Wachtrij voor insluiten"
"Queue Status","Wachtrij Status"
"Refresh Models","Ververs Modellen"
"Response","Antwoord"
"Retries","Probeert"
"Return a placeholder image URL when image generation is disabled or fails.","Retourneert een placeholder image URL wanneer de afbeelding generatie is uitgeschakeld of mislukt."
"Safety & Guardrails","Veiligheid & Bewaking"
"Sanitize HTML Output","Vierkante HTML Output"
"Scan user inputs for prompt injection attempts before sending to AI.","Scan gebruikersinputs voor prompte injectie pogingen alvorens naar AI te verzenden."
"Status","status"
"Store ID","Winkel ID"
"Strip dangerous tags/attributes from AI responses used as HTML.","Verwijder gevaarlijke tags/attributen van AI antwoorden die worden gebruikt als HTML."
"Target Dimensions","Target Dimensions"
"Task #%s","Taak #%s"
"Task Details","Taak details"
"Task History","Taak geschiedenis"
"Task not found.","Taak niet gevonden"
"Task Timeout (seconds)","Taak Timeout (seconden)"
"The async queue is disabled. Enable it under System &gt; AI &gt; Queue Settings or tasks will never be processed.","De async wachtrij is uitgeschakeld. Inschakelen onder Systeem &gt; AI &gt; Wachtrij Instellingen of taken zullen nooit worden verwerkt."
"This queues %s products and %s categories (%s tasks total) for background processing.","Deze wachtrij bevat %s producten en %s categorieën (%s taken totaal) voor de achtergrond verwerking."
"This will queue all selected items for embedding. Continue?","Dit zet alle geselecteerde items in de wachtrij voor insluiten. Doorgaan?"
"Type","Type"
"Usage","Gebruik"
"Use Placeholder Fallback","Gebruik terugval plaatsaanduiding"
"Use {w} and {h} tokens for width/height. e.g. https://placehold.co/{w}x{h} or https://picsum.photos/{w}/{h}","Gebruik {w} en {h} tokens voor breedte/hoogte. Bijv. https://placehold.co/{w}x{h} of https://picsum.photos/{w}/{h}"
"Vector size. 0 = model default. OpenAI and Google support native truncation; others are truncated after retrieval.","Vectorgrootte. 0 = model standaard. OpenAI en Google ondersteunen native truncation; andere worden ingekort na het ophalen."
"Vector with %d dimensions","Vector met %d afmetingen"
"View","Bekijken"
"Warning: %d embedding tasks are already pending. Running this again will add duplicate tasks.","Waarschuwing: %d embedding taken zijn al in behandeling. Als dit wordt uitgevoerd, worden er dubbele taken toegevoegd."
"— save the API key to load available models —","— sla de API-sleutel op om beschikbare modellen te laden —"
