"Action","actie"
"Active","actief"
"Add New Rule","Nieuwe regel toevoegen"
"Apply rule to source products matching the following conditions (leave blank for all products)","Regel toepassen op bronproducten die aan de volgende voorwaarden voldoen (laat leeg voor alle producten)"
"Are you sure?","Weet je het zeker?"
"Catalog","Catalogus"
"Change status","Status wijzigen"
"Conditions","Voorwaarden"
"Conditions Combination","Combinatie van voorwaarden"
"Cron expression for rule processing. Default: <strong>0 3 * * *</strong> (daily at 3am).","Cron expression for rule processing. Default: <strong>0 3 * * *</strong> (daily at 3am)."
"Cron Schedule","Cron schema"
"Cross-sell Products","Cross-sell producten"
"Delete","Verwijderen"
"Delete Rule","Regel verwijderen"
"Description","Beschrijving"
"Disabled","Uitgeschakeld"
"does not match source","komt niet overeen met de bron"
"Edit","Bewerken"
"Edit Rule '%s'","Bewerk regel '%s'"
"Enabled","Ingeschakeld"
"From Date","Vanaf datum"
"ID","ID"
"Inactive","Inactief"
"Link to target products matching the following conditions (leave blank for all products)","Link naar doelproducten die voldoen aan de volgende voorwaarden (laat leeg voor alle producten)"
"Link Type","Link Type"
"Lower number = higher priority","Lager nummer = hogere prioriteit"
"matches source","bron komt overeen"
"Maximum Links","Maximum aantal links"
"Maximum number of linked products per source product (leave empty for unlimited)","Maximum aantal gekoppelde producten per bronproduct (leeg laten voor onbeperkt)"
"Name: A-Z","Naam: A-Z"
"Name: Z-A","Naam: Z-A"
"Newest First","Nieuwste eerst"
"New Rule","Nieuwe regel"
"Oldest First","Oudste eerst"
"Please select rule(s).","Selecteer regel(en)."
"Price: High to Low","Prijs: hoog naar laag"
"Price: Low to High","Prijs: laag naar hoog"
"Priority","Prioriteit"
"Product Attribute","Product Attribuut"
"Product Link Rules","Productlink regels"
"Product Relationship Rules","Product relatie regels"
"Random (Default)","Willekeurig (standaard)"
"Related Products","Gerelateerde producten"
"Rule Information","Regel Informatie"
"Rule Name","Regel naam"
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
"Save Rule","Regel opslaan"
"Sort Order","Sorteren bestelling"
"Source Product Conditions","Bron Product Voorwaarden"
"Source products matching %s of these conditions are %s:","Bronproducten die overeenkomen met %s van deze voorwaarden zijn %s:"
"Status","status"
"Target Conditions","Doel Voorwaarden"
"Target product attribute will be compared to source product","Doel product attribuut zal worden vergeleken met het bronproduct"
"Target Product Conditions","Doel Product Voorwaarden"
"Target products matching %s of these conditions are %s:","Verzendproducten die overeenkomen met %s van deze voorwaarden zijn %s"
"The rule has been deleted.","De regel is verwijderd"
"The rule has been saved.","De regel is opgeslagen."
"This rule no longer exists.","Deze regel bestaat niet meer."
"To Date","Tot Datum"
"Total of %d record(s) were deleted.","Totaal van %d record(s) werden verwijderd."
"Total of %d record(s) were updated.","Totaal van %d record(s) zijn bijgewerkt."
"Up-sell Products","Opverkochte producten"
