"Add","Toevoegen"
"Add links and samples to downloadable product","Voeg links en voorbeelden toe om het product te downloaden"
"Add New Row","Nieuwe rij toevoegen"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alfanumeriek- (a-z en A-Z), streepje- (-) en underscore- (_) karakters zijn aanbevolen voor bestandnamen. Ongeldige karakters worden vervangen door een underscore (_)."
"An error occurred while getting the requested content.","Er is een fout opgetreden bij het ophalen van de inhoud."
"An error occurred while getting the requested content. Please contact the store owner.","Er is een fout opgetreden tijdens het ophalen van de inhoud. Neem contact op met de winkeleigenaar."
"An error occurred while saving the file(s).","Er is een fout opgetreden bij het opslaan van het bestand."
"attachment","Bijlage"
"Availability:","Beschikbaarheid:"
"Back","Achterzijde"
"Canceled","Geannuleerd"
"Cannot connect to remote host, error: %s.","Kan geen verbinding maken met externe host, fout: %s."
"Catalog Product View (Downloadable)","Catalogus Producten Overzicht (Downloadbaar)"
"Category API","Categorie API"
"Customer My Account Downloadable Items","Klant > Mijn Account > Downloadbare producten"
"Date","Datum:"
"Default Link Title","Default Link Title"
"Default Maximum Number of Downloads","Standaard maximum aantal downloads"
"Default Sample Title","Standaard voorbeeldtitel"
"Delete","Verwijderen"
"Disable Guest Checkout if Cart Contains Downloadable Items","Gast Afrekenen uitschakelen als winkelwagen download-producten bevat."
"Disable Sample","Voorbeeld uitschakelen"
"download","Downloaden"
"Downloadable Information","Downloadbare informatie"
"Downloadable Product","Downloadbaar product"
"Downloadable Product Options","Opties downloadbaar product"
"Edit","Bewerken"
"Edit item parameters","Bewerk product parameters"
"Excl. Tax","Excl. BTW"
"File","Bestand"
"File:","Bestand:"
"From:","Van:"
"Gift Message","Cadeau bericht"
"Go to <a href=""%s"">My Downloadable Products</a>","Ga naar <a href=""%s"">Downloadbare producten</a>"
"Guest checkout will only work with shareable.","Afrekenen als gast werkt alleen met deelbare producten."
"Incl. Tax","Incl. BTW"
"inline","inline"
"In stock","Op voorraad"
"Invalid download link type.","Ongeldige download link type."
"Invalid download URL host.","Ongeldige download URL host."
"Invalid download URL scheme.","Ongeldig download URL-schema."
"Invalid file path.","Ongeldig bestandspad."
"Invoiced","Gefactureerd"
"Links can be purchased separately","Links kunnen apart worden gekocht"
"List","Klantenlijst"
"Max. Downloads","Max. downloads"
"Message:","Bericht:"
"Move","Verplaatsen"
"Move to wishlist","Verplaatsen naar verlanglijst"
"My Downloadable Products","Mijn downloadbare producten"
"Open Links in New Window","Links openen in nieuw venster"
"Order #","Bestelling #"
"Ordered","Besteld"
"Order id cannot be null","Bestelling-ID kan niet leeg zijn"
"Order item id cannot be null","Product-ID van bestelling kan niet null zijn"
"Order Item Status to Enable Downloads","Status artikel bestelling om Downloads in te schakelen"
"Out of stock","Niet op voorraad"
"Pending","Lopende"
"Please log in to download your product.","Log in om uw product te downloaden."
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Log in om uw product of aankoop te downloaden <a href=""%s"">%s</a>."
"Please set resource file and link type.","Stel bestand en type in."
"Please specify product link(s).","Geef productlink(s) op."
"Price","Prijs"
"Product downloadable links","Downloadbare links"
"Qty","Aantal"
"Refunded","Terugbetaald"
"Remaining Downloads","Resterende Downloads"
"Remove","Verwijderen"
"Remove Item","Artikel verwijderen"
"Remove links and samples from downloadable product","Verwijder links en voorbeelden van downloadbaar product"
"Requested link does not exist.","Gevraagde link bestaat niet."
"Retrieve links and samples list from downloadable product","Haal links en voorbeelden op van downloadbaar product"
"Sample","Voorbeeld"
"sample","voorbeeld"
"See price before order confirmation.","Bekijk prijs voor orderbevestiging."
"Shareable","Deelbaar"
"Shipped","Verzonden"
"SKU","Artikelnummer"
"Sorry, there was an error getting requested content. Please contact the store owner.","Sorry, er is een fout opgetreden bij het ophalen van de gevraagde content. Neem contact op met de winkeleigenaar."
"Sort Order","Sorteren bestelling"
"Start Download","Start download"
"Status","status"
"Subtotal","Subtotaal"
"The file does not exist.","Het bestand bestaat niet."
"The link has expired.","De link is verlopen."
"The link is not available.","De link is niet beschikbaar."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Er zijn geselecteerde bestanden, maar nog niet geüpload. Upload of verwijder deze eerst."
"Title","Aanspreektitel"
"To:","Naar:"
"U","U"
"Unlimited","Onbeperkt"
"Update","Vernieuwen"
"URL:","URL:"
"Use Content-Disposition","Gebruik Content-Disposition"
"Use Default Value","Standaardwaarde gebruiken"
"View Order","Bestelling bekijken"
"What's this?","Wat is dit?"
"You have not purchased any downloadable products yet.","U heeft nog geen producten gekocht die te downloaden zijn."
