"Add","Toevoegen"
"ALL","ALLE"
"ANY","ÉÉN OF MEERDERE"
"Apply","Toepassen"
"by","door"
"Conditions Combination","Voorwaardencombinatie"
"contains","bevat"
"Customer Groups must be specified.","Klantgroepen moeten worden gespecificeerd."
"does not contain","bevat niet"
"End Date must be greater than Start Date.","Einddatum moet groter zijn dan Startdatum."
"equals or greater than","gelijk aan of groter dan"
"equals or less than","gelijk aan of minder dan"
"FALSE","NIET WAAR"
"from","van"
"greater than","groter dan"
"If %s of these conditions are %s:","Als %s van deze voorwaarden %s zijn:"
"Invalid discount amount.","Ongeldig kortingsbedrag"
"is","is"
"is not","is niet"
"is not one of","behoort niet tot"
"is one of","behoort tot"
"less than","kleiner dan"
"Open Chooser","Kiezer openen"
"Perform following actions","Voer de volgende acties uit"
"Please choose a condition to add...","Kies een conditie om toe te voegen aub..."
"Please choose an action to add...","Kies een actie om toe te voegen..."
"Remove","Verwijder"
"There is no information about associated entity type ""%s"".","Er is geen informatie over het bijbehorende entiteitstype ""%s""."
"to","naar"
"TRUE","WAAR"
"Websites must be specified.","Waarborgen moeten worden gespecificeerd."
