"All Websites","Alle websites"
"Apply Discounts To FPT","Kortingen toepassen op FPT"
"Display Prices In Emails","Toon prijzen in e-mails"
"Display Prices In Product Lists","Prijzen tonen in productoverzicht"
"Display Prices In Sales Modules","Toon prijzen in verkoop modules"
"Display Prices On Product View Page","Toon prijzen op product pagina"
"Enable FPT","Verwijderingsbijdrage inschakelen"
"Excluding FPT","Exclusief verwijderingsbijdrage"
"Excluding FPT, FPT description, final price","Exclusief FPT, FPT omschrijving, eindprijs"
"Fixed Product Tax","Vast product BTW tarief"
"Fixed Product Taxes","Vaste BTW product"
"FPT Tax Configuration","FPT BTW-configuratie"
"Include FPT In Subtotal","Inclusief FPT in subtotaal"
"Including FPT and FPT description","Inclusief FPT en FPT beschrijving"
"Including FPT and FPT description [incl. FPT VAT]","Inclusief FPT en FPT beschrijving [incl. FPT BTW]"
"Including FPT only","Inclusief Verwijderingsbijdrage"
"Loaded and Displayed with Tax","Geladen en weergegeven met BTW"
"Not Taxed","Niet BTW"
"Taxed","Belasting"
"Total","Totaal"
"Total Incl. Tax","Totaal incl. BTW"
"Total incl. tax","Totaal incl. BTW"
