"Add Recipient","Voeg ontvanger toe"
"Allow for Guests","Toestaan voor gasten"
"An invalid email address for recipient was entered.","Een ongeldig e-mailadres voor de ontvanger is ingevoerd."
"At least one recipient must be specified.","Ten minste één ontvanger moet worden gespecificeerd."
"Back","Terug"
"Catalog Product Email to a Friend","Catalogus Product E-mail naar een Vriend"
"Email Address","E-mailadres"
"Email Address:","Emailadres:"
"Email Templates","E-mailsjablonen"
"Email to a Friend","E-mail naar een vriend"
"Email:","E-mail:"
"Enabled","Ingeschakeld"
"Invalid Sender Information","Ongeldige informatie afzender"
"Invalid sender email.","Ongeldig afzenderemail."
"Limit Sending By","Beperk verzending door"
"Max Products Sent in 1 Hour","Max. producten verzonden in 1 uur"
"Max Recipients","Max. geadresseerden"
"Maximum %d email addresses allowed.","Maximum %d e-mailadressen toegestaan."
"Message:","Bericht:"
"Name","Naam"
"Name:","Naam:"
"No more than %d emails can be sent at a time.","Niet meer dan %d e-mails kunnen tegelijk worden verzonden."
"Please define a correct Cookie instance.","Definieer een correcte Cookie-instantie."
"Please define a correct Product instance.","Definieer een correct Productinstantie."
"Please define the correct Sender information.","Definieer de juiste afzenderinformatie."
"Recipient:","Ontvanger:"
"Remove Email","Verwijder e-mail"
"Select Email Template","Selecteer e-mail-sjabloon"
"Send Email","Verstuur e-mail"
"Send product to a friend","Verstuur product aan een vriend"
"Sender:","Afzender:"
"Some emails were not sent.","Sommige e-mails zijn niet verzonden."
"The link to a friend was sent.","De link is naar een vriend verzonden."
"The message cannot be empty.","Het bericht kan niet leeg zijn."
"The messages cannot be sent more than %d times in an hour","De berichten kunnen niet meer dan %d keer per uur worden verzonden"
"The sender name cannot be empty.","De naam van de afzender kan niet leeg zijn."
"There were some problems with the data.","Er waren enkele problemen met de gegevens."
"You have exceeded limit of %d sends in an hour","U heeft het limiet van %d verzendingen per uur overschreden"
