"Additional Product Attributes","Extra productattributen"
"API Endpoint URL","API Endpoint URL"
"Authentication Type","Authenticatie type"
"Auth Token","Authenticatie Token"
"Bearer Token","Betere Token"
"Custom Header","Aangepaste koptekst"
"Custom Header Name","Aangepaste header naam"
"Debug Mode","Debug modus"
"Displayed Error Message","Weergegeven foutmelding"
"Enabled","Ingeschakeld"
"None","geen"
"Request Timeout (seconds)","Time-out verzoek (seconden)"
"Select product attributes to include in the API request payload.","Selecteer productattributen om op te nemen in de API-aanvraag payload."
"Shipping Bridge","Verzend Brug"
"Ship to Applicable Countries","Verzenden naar toepasselijke landen"
"Ship to Specific Countries","Verzenden naar specifieke landen"
"Sort Order","Sorteren bestelling"
"Title","Aanspreektitel"
