"* Required Fields","* Pflichtfelder"
"-- Please Select --","-- Bitte wählen --"
"0 = never expires. Can be overridden per product.","0 = läuft nie ab. Kann pro Produkt überschrieben werden."
"Action","Aktion"
"Active","Aktiv"
"Add a message...","Nachricht hinzufügen..."
"Add New Gift Card","Neue Geschenkkarte hinzufügen"
"Admin Comment","Admin Kommentar"
"A gift card cannot be moved to websites with a different base currency.","Ein Geschenkgutschein kann nicht auf Webseiten mit einer anderen Basiswährung verschoben werden."
"A gift card can only be assigned to websites that share the same base currency.","Ein Geschenkgutschein kann nur Webseiten zugewiesen werden, die die gleiche Basiswährung haben."
"A gift card must be associated with at least one website.","Ein Geschenkgutschein muss mindestens einer Website zugeordnet sein."
"Allow Gift Message","Geschenknachricht erlauben"
"Allow Message","Nachricht erlauben"
"All Websites","Alle Webseiten"
"Amount","Betrag"
"Amount Range","Betragsbereich"
"An error occurred. Please try again.","Ein Fehler ist aufgetreten. Bitte versuchen Sie es erneut."
"Applied Gift Cards:","Angewendete Geschenkkarten:"
"Apply","Anwenden"
"Apply Gift Card","Geschenkkarte anwenden"
"Applying...","Anwendung..."
"Balance","Saldo"
"Balance: %s","Kontostand: %s"
"Balance After","Kontostand nach"
"Balance Before","Guthaben vor"
"Balance for %s","Kontostand für %s"
"Can be overridden per product.","Kann pro Produkt überschrieben werden."
"Cannot apply gift card.","Geschenkkarte kann nicht angewendet werden."
"Cannot remove gift card.","Geschenkkarte kann nicht entfernt werden."
"Card Type","Kartentyp"
"Check","Prüfen"
"Check Balance","Bilanz prüfen"
"Check Gift Card Balance","Gutschein-Guthaben prüfen"
"Checking...","Überprüfen..."
"Code","Code"
"Code Length","Code-Länge"
"Code Prefix (e.g., GC)","Code-Präfix (z. B. GC)"
"Comma-separated values (e.g., 25,50,100)","Durch Kommas getrennte Werte (z.B. 25,50,100)"
"Created","Erstellt"
"Created %d gift card product(s): %s","Erstellte %d Geschenkkarte(n): %s"
"Created At","Erstellt am"
"Create Gift Card Products","Geschenkkarten-Produkte erstellen"
"Current Balance","Aktueller Kontostand"
"Current balance:","Aktueller Kontostand:"
"Custom Amount","Eigener Betrag"
"Customer Gift Card Balance","Kundengutschein-Guthaben"
"Date","Datum"
"Default: %s","Standard: %s"
"Default Expiry (days)","Standard Ablauf (Tage)"
"Delete","Löschen"
"Delete Gift Card","Geschenkkarte löschen"
"Disabled","Deaktiviert"
"Edit","Bearbeiten"
"Edit Gift Card '%s'","Geschenkkarte '%s ' bearbeiten"
"Edit this to manually adjust the balance. Use ""Admin Comment"" to explain the adjustment.","Bearbeite dies, um den Saldo manuell anzupassen. Benutze ""Admin Comment"", um die Anpassung zu erklären."
"Email Sender","E-Mail Absender"
"Email Settings","E-Mail-Einstellungen"
"Email Template","E-Mail-Vorlage"
"Enable Gift Cards","Geschenkkarten aktivieren"
"Enter gift card code","Gutscheincode eingeben"
"Enter the code printed on your gift card to view the current balance and expiry date.","Geben Sie den auf Ihrem Geschenkgutschein gedruckten Code ein, um das aktuelle Konto- und Ablaufdatum anzuzeigen."
"Error generating gift card PDF: %s","Fehler beim Generieren der Geschenkkarte PDF: %s"
"Expired","Abgelaufen"
"Expires","Gültig bis"
"Expires:","Läuft ab:"
"Expires At","Gültig bis"
"Fixed + Range","Fester + Bereich"
"Fixed Amount(s)","Fester Betrag(e)"
"Fixed Amounts","Feste Mengen"
"From","Von"
"From:","Von:"
"General","Allgemein"
"Gift Card","Geschenkkarte"
"Gift card ""%s"" has been fully used.","Geschenkkarte ""%s"" wurde vollständig verwendet."
"Gift card ""%s"" has expired.","Geschenkkarte ""%s"" ist abgelaufen."
"Gift card ""%s"" is already applied.","Geschenkgutschein ""%s"" ist bereits gültig."
"Gift card ""%s"" is not active.","Geschenkkarte ""%s"" ist nicht aktiv."
"Gift card ""%s"" is not valid.","Geschenkkarte ""%s"" ist nicht gültig."
"Gift card ""%s"" is not valid for this website.","Geschenkgutschein ""%s"" ist für diese Website nicht gültig."
"Gift card ""%s"" was applied.","Geschenkkarte ""%s"" wurde angewendet."
"Gift card amount cannot be less than %s","Gutscheinbetrag darf nicht kleiner als %s sein"
"Gift card amount cannot be more than %s","Gutscheinbetrag darf nicht mehr als %s sein"
"Gift Card Balance","Gutschein-Guthaben"
"Gift Card Code","Gutscheincode"
"Gift Card History","Geschenkkarten-Historie"
"Gift Card Information","Geschenkkarten-Informationen"
"Gift card is not associated with any website.","Geschenkgutschein ist mit keiner Website verknüpft."
"Gift card not found.","Geschenkkarte nicht gefunden."
"Gift Card Notification Email","Geschenkkarten-Benachrichtigung E-Mail"
"Gift Card Options","Geschenkkarten-Optionen"
"Gift card products cannot be added when a gift card code is applied. Please remove the gift card code first.","Geschenkgutschein-Produkte können nicht hinzugefügt werden, wenn ein Gutschein-Code angewendet wird. Bitte entfernen Sie zuerst den Gutschein-Code."
"Gift Cards","Geschenkkarten"
"Gift cards cannot be used to purchase gift card products.","Geschenkgutscheine können nicht zum Kauf von Geschenkgutscheinprodukten verwendet werden."
"Gift Cards Configuration","Einstellungen für Geschenkkarten"
"Gift Card Transaction History","Gutschein-Transaktionsverlauf"
"Gift card was removed.","Gutschein wurde entfernt."
"Gift Certificates","Geschenkgutschein"
"Hold Ctrl/Cmd to select multiple. All selected websites must share the same base currency; the card balance is denominated in it.","Halten Sie Strg/Cmd gedrückt, um mehrere auszuwählen. Alle ausgewählten Websites müssen die gleiche Basiswährung aufteilen; der Kartensaldo wird in ihr ausgewiesen."
"Inactive","Inaktiv"
"Initial Balance","Anfangsbilanz"
"Invalid form key. Please refresh the page and try again.","Ungültiger Formularschlüssel. Bitte aktualisieren Sie die Seite und versuchen Sie es erneut."
"Invalid gift card code.","Ungültiger Geschenkkarten-Code."
"Invalid request.","Ungültige Anfrage."
"Leave blank for immediate delivery","Leer lassen für sofortige Lieferung"
"Leave empty to use system default. 0 = never expires.","Leer lassen um den Systemstandard zu verwenden. 0 = läuft nie ab."
"Lifetime (days)","Lebenszeit (Tage)"
"Lost cards not replaced","Verlorene Karten nicht ersetzt"
"Manage Gift Cards","Geschenkkarten verwalten"
"Maximum Amount","Maximaler Betrag"
"Message:","Nachricht:"
"Minimum Amount","Mindestbetrag"
"New Gift Card","Neue Geschenkkarte"
"Not redeemable for cash","Nicht einlösbar für Bargeld"
"Optional","Optional"
"Order #","Bestellung #"
"Order History","Bestellverlauf"
"Other Amount","Anderer Betrag"
"Personal Message","Persönliche Nachricht"
"Please enter a gift card code.","Bitte gib einen Gutscheincode ein."
"Please select a valid gift card amount","Bitte wählen Sie einen gültigen Geschenkgutschein Betrag"
"Please select gift card(s).","Bitte Geschenkgutschein(e) auswählen."
"Price varies","Preis variiert"
"Print PDF","Print PDF"
"QR Code & Barcode","QR Code & Barcode"
"Recipient Email","Empfänger E-Mail"
"Recipient Name","Empfängername"
"Refund Expiration Extension (days)","Erstattung Ablaufserweiterung (Tage)"
"Refund to Gift Card","Auf Geschenkkarte zurückerstatten"
"Remove","Entfernen"
"Save And Continue Edit","Speichern und Bearbeiten fortsetzen"
"Save Gift Card","Geschenkkarte speichern"
"Schedule Delivery","Lieferung planen"
