"-- Please Select --","-- Bitte wählen --"
"Account Created In Store","Konto im Store erstellt"
"Action","Aktion"
"Active","Aktiv"
"Added to Cart Date","Zum Warenkorbdatum hinzugefügt"
"Added to Wishlist Date","Zu Wunschzettel Datum hinzugefügt"
"Add Email Step","E-Mail-Schritt hinzufügen"
"Add New Segment","Neues Segment hinzufügen"
"Address","Adresse"
"Address Information","Adressinformationen"
"Add Segment","Segment hinzufügen"
"Allow Overlapping Sequences","Überlappende Sequenzen erlauben"
"Allow starting new sequences while existing ones are still active for the same customer","Ermöglicht das Starten neuer Sequenzen, während bereits existierende für denselben Kunden aktiv sind"
"Applied Promotion Rules","Angewandte Promotion-Regeln"
"Are you sure?","Bist du sicher?"
"Are you sure you want to delete this sequence step?","Sind Sie sicher, dass Sie diesen Sequenzschritt löschen möchten?"
"Are you sure you want to refresh this segment?","Sind Sie sicher, dass Sie dieses Segment aktualisieren möchten?"
"Assign to Website","Website zuweisen"
"At least one email sequence is required when automation is enabled.","Mindestens eine E-Mail-Sequenz wird benötigt, wenn die Automatisierung aktiviert ist."
"Automatic","Automatisch"
"Automatic: Refreshed daily via cron. Manual: Must be refreshed manually.","Automatisch: Täglich über Cron aktualisiert. Manuell: Muss manuell aktualisiert werden."
"Average Days Between Orders","Durchschnittliche Tage zwischen Bestellungen"
"Average Order Value","Durchschnittlicher Bestellwert"
"Back to Segment","Zurück zum Segment"
"Base Row Total","Basiszeile gesamt"
"Base Sales Rule","Basisverkaufsregel"
"Bundle Product","Bundle-Produkt"
"Cart","Warenkorb"
"Cart Created Date","Warenkorb Erstellungsdatum"
"Cart Items","Warenkorb-Artikel"
"Cart Status","Warenkorb-Status"
"Cart Updated Date","Warenkorb aktualisiert am"
"Change status","Status ändern"
"Completed","Abgeschlossen"
"Conditions (leave blank for all customers)","Bedingungen (leer lassen für alle Kunden)"
"Configurable Product","Konfigurierbares Produkt"
"Coupon expiration days","Gutscheinablauftage"
"Coupon expiration days cannot be negative.","Gültigkeitsdatum des Gutscheins kann nicht negativ sein."
"Coupon Generation Settings","Gutscheinerstellungseinstellungen"
"Coupon Prefix","Gutscheinpräfix"
"Customer","Kunde"
"Customer ID is required.","Kunden-ID ist erforderlich."
"Customer Lifetime Value","Kundenlebensdauer"
"Customer Personal Information","Persönliche Kundeninformationen"
"Customer Segment","Kundensegment"
"Customer Since","Kunde seit"
"Customers in Segment","Kunden im Segment"
"Customer Time-based","Kundenzeit-basiert"
"days","tage"
"Days Inactive (No Login or Order)","Tage inaktiv (Keine Anmeldung oder Bestellung)"
"Days Since Added to Wishlist","Tage seit Hinzugefügt zur Wunschliste"
"Days Since First Order","Tage seit der ersten Bestellung"
"Days Since Last Login","Tage seit letzter Anmeldung"
"Days Since Last Order","Tage seit der letzten Bestellung"
"Days Since Last View","Tage seit der letzten Ansicht"
"Days Since Registration","Tage seit der Registrierung"
"Days Until Birthday","Tage bis zum Geburtstag"
"Days Without Purchase","Tage ohne Kauf"
"Delay","Verzögerung"
"Delay (Minutes)","Verzögerung (Minuten)"
"Delay before sending","Verzögerung vor dem Senden"
"Delay minutes cannot be negative.","Verspätete Minuten können nicht negativ sein."
"Delete","Löschen"
"Delete Email Sequences","E-Mail-Sequenzen löschen"
"Delete Segment","Segment löschen"
"Delete Segments","Segmente löschen"
"Delete Step","Schritt löschen"
"Disabled","Deaktiviert"
"Downloadable Product","Herunterladbares Produkt"
"E-mails on Enter","E-Mails bei Enter"
"E-mails on Exit","E-Mails beim Beenden"
"Edit","Bearbeiten"
"Edit Email Sequence Step %d for ""%s""","E-Mail-Sequenz bearbeiten %d für ""%s"""
"Edit Segment","Segment bearbeiten"
"Edit Segment '%s'","Segment '%s ' bearbeiten"
"Edit Sequence","Sequenz bearbeiten"
"Email Automation","Email Automation"
"Email Automation Settings","E-Mail-Automatisierungseinstellungen"
"Email Sequences","E-Mail-Sequenzen"
"Email Template","E-Mail-Vorlage"
"Enable/disable this sequence step","Aktiviere/Deaktiviere diesen Sequenz-Schritt"
"Enable Email Automation","E-Mail-Automatisierung aktivieren"
"Enter Segment","Segment eingeben"
"Error","Fehler"
"Exit Segment","Segment verlassen"
"Expires After (Days)","Läuft ab nach (Days)"
"Failed","Fehler"
"General Properties","Allgemeine Eigenschaften"
