"Action","Aktion"
"Add New Template","Neue Vorlage"
"Add to Queue","Zur Warteschlange hinzufügen"
"Allow Guest Subscription","Gästen die Anmeldung erlauben"
"An error occurred while saving your subscription.","Beim Speichern Ihrer Anmeldung ist ein Fehler aufgetreten."
"Back","Zurück"
"Cancel","Stornieren"
"Cancelled","Storniert"
"Cannot delete this template. It is currently used by %d email automation sequence(s). Please reassign or delete those sequences first.","Cannot delete this template. It is currently used by %d email automation sequence(s). Please reassign or delete those sequences first."
"Cannot mark as received subscriber.","Empfänger konnte nicht als ""versendet"" markiert werden."
"Confirmation Email Sender","Absender Bestätigungs-E-Mail"
"Confirmation Email Template","Vorlage Bestätigungs-E-Mail"
"Confirmation request has been sent.","Bestätigungsanfrage wurde versendet."
"Convert to Plain Text","Zu Text konvertieren"
"Coupon Code","Coupon Code"
"Coupon Expiration Date (Formatted)","Coupon Expiration Date (Formatted)"
"Coupon Expiration Date (Raw)","Coupon Expiration Date (Raw)"
"Coupon Rule Description","Coupon Rule Description"
"Create Newsletter Template","Newslettervorlage erstellen"
"Customer","Kunde"
"Customer Email","Customer Email"
"Customer First Name","Vorname des Kunden"
"Customer Last Name","Nachname des Kunden"
"Customer Middle Name","Mittelname"
"Customer My Account Newsletter Subscriptions","Kunde - Mein Benutzerkonto - Newsletter Abonnements"
"Customer Name","Customer Name"
"Customer Name (Object)","Customer Name (Object)"
"Customer Segments","Customer Segments"
"Customer Variables","Customer Variables"
"Date Added","Hinzugefügt am"
"Date Updated","Aktualisiert am"
"Default Template","Standardvorlage"
"Delete","Löschen"
"Delete Selected Problems","Ihre Anmeldung wurde bestätigt."
"Delete Template","Vorlage löschen"
"Do you really want to cancel the queue?","Sind Sie sicher, dass Sie die Warteschlange abbrechen wollen?"
"Duplicate template code.","Vorlagencode existiert bereits."
"Edit Newsletter","Newsletter bearbeiten"
"Edit Newsletter Template","Newslettervorlage bearbeiten"
"Edit Queue","Warteschlange bearbeiten"
"Edit Template","Vorlage bearbeiten"
"Email","E-Mail"
"Email Automation Variables","Email Automation Variables"
"Error Code","Fehlernummer"
"Error Text","Fehlertext"
"Follow this link to unsubscribe:","Follow this link to unsubscribe:"
"Guest","Gast"
"ID","Id"
"Insert Variable...","Insert Variable..."
"Invalid queue selected.","Ungültige Warteschlange ausgewählt."
"Invalid sender email address","Invalid sender email address"
"Invalid subscription confirmation code.","Ungültiger Abonnenten Bestätigungscode"
"Invalid subscription ID.","Ungültige Abonnenten ID"
"Message","Nachricht"
"Need to Confirm","Bestätigung erforderlich"
"New Newsletter Template","Neue Newslettervorlage"
"Newsletter","Newsletter"
"Newsletter Message Preview","Newsletter-Nachrichtenvorschau"
"Newsletter Problem Reports","Newsletter-Problemberichte"
"Newsletter Queue","Newsletter-Warteschlange"
"Newsletter Styles","Newsletter Stile"
"Newsletter Subscribers","Newsletter-Abonnenten"
"Newsletter Subscription","Newsletter Abonnement"
"Newsletter subscription confirmation","Newsletter-Anmeldebestätigung"
"Newsletter Subscription Form","Newsletter-Anmeldungsformular"
"Newsletter Subscription Form Before","Newsletter Anmelde Formular vorher"
"Newsletter Subscriptions","Newsletter-Abonnements"
"Newsletter subscription success","Newsletter Anmeldung erfolgreich"
"Newsletter Templates","Newsletter Vorlagen"
"Newsletter unsubscription success","Newsletter Abmeldung erfolgreich"
"Newsletter Variables","Newsletter Variables"
"New Template","Neue Vorlage"
"No problems found.","Keine Probleme gefunden."
"No subscribers selected.","Keine Abbonenten ausgewählt."
"Not Activated","Nicht aktiviert"
"No Templates Found","Vorlagentyp"
"Not Sent","Nicht gesendet"
"Pause","Pausieren"
"Paused","Pausiert"
"Please enter a valid email address.","Bitte geben Sie eine gültige E-Mail-Adresse an."
"Please refer to exeption.log","Bitte sehen Sie in der Datei exeption.log nach."
"Please select subscriber(s)","Bitte Abonnenten auswählen"
"Preview","Vorschau"
"Preview Template","Vorlagen-Vorschau"
"Processed","Verarbeitet"
"Queue Date Start","Warteschlange Datum Start"
"Queue Finish","Warteschlange abgeschlossen"
"Queue Information","Warteschlangen-Informationen"
"Queue Newsletter...","Newsletter Warteschlange …"
"Queue Start","Warteschlange starten"
"Queue Subject","Betreff der Warteschlange"
"Recipients","Empfänger"
"Reset","Zurücksetzen"
