"%s Screenshot","%s Screenshot"
"%s violation(s)","%s Verletzung(en)"
"Accessibility Scan","Barrierefreiheitsscan"
"Accessibility Scan Report","Barrierefreiheitsbericht"
"Accessibility Violations","Verletzungen der Zugänglichkeit"
"Advanced","Erweitert"
"Are you sure you want to delete this scan?","Sind Sie sicher, dass Sie diesen Scan löschen möchten?"
"axe-core could not automatically evaluate %s check(s) (for example, color contrast over an image). Review them manually.","axe-core konnte %s Prüfung(en) nicht automatisch bewerten (zum Beispiel Farbkontrast über ein Bild). Überprüfen Sie sie manuell."
"Back","Zurück"
"CLI","CLI"
"Command failed (exit code %s): %s","Befehl fehlgeschlagen (Exit-Code %s): %s"
"Command timed out after %s seconds: %s","Zeitüberschreitung nach %s Sekunden: %s"
"Complete","Complete"
"Completed","Abgeschlossen"
"Conformance level used when starting a scan without an explicit level.","Konformitätslevel wird verwendet, wenn ein Scan ohne explizite Ebene gestartet wird."
"Critical","Kritisch"
"Cron expression. Default: <strong>0 3 * * *</strong> (daily at 3am).","Cron-Ausdruck. Standard: <strong>0 3 * * *</strong> (täglich um 3am)."
"Cron Schedule","Cron-Zeitplan"
"Date","Datum"
"Default WCAG Level","Standard WCAG-Level"
"Delete","Löschen"
"Delete Scans After","Scans löschen nach"
"Desktop","Desktop"
"Desktop Viewport","Desktop-Viewport"
"Enabled","Aktiviert"
"Export PDF","PDF exportieren"
"Failed","Fehler"
"Fix all of the following","Beheben Sie alle folgenden"
"Fix any of the following","Beheben Sie eines der folgenden"
"General Settings","Allgemeine Einstellungen"
"How to fix","Wie man repariert"
"HTML","HTML"
"ID","ID"
"Invalid scan URL ""%s"": every URL must belong to one of the configured store base URLs","Ungültige Scan-URL ""%s"": Jede URL muss zu einer der konfigurierten Basis-URLs des Shops gehören"
"Learn more","Mehr erfahren"
"Manual","Manuell"
"Maximum time in seconds to wait for a single page scan.","Maximale Zeit in Sekunden, um auf eine einzelne Seite zu warten."
"Minor","Geringer"
"Mobile","Mobil"
"Mobile Viewport","Mobiler Viewport"
"Moderate","Mäßig"
"Needs Review","Benötigt Überprüfung"
"No automatically detectable violations were found. Automated checks cover only part of WCAG, so manual testing with a keyboard and a screen reader is still recommended.","Es wurden keine automatisch erkennbaren Fehler gefunden. Automatisierte Prüfungen decken nur einen Teil der WCAG ab, daher wird weiterhin eine manuelle Prüfung mit einer Tastatur und einem Screenreader empfohlen."
"Node.js %s is installed, but the scanner requires version %s or newer.","Node.js %s ist installiert, aber der Scanner benötigt Version %s oder neuer."
"Node.js Binary Path","Node.js Binärpfad"
"Node.js was not found (looking for ""%s""). Install Node.js %s or newer, or set its full path in System > Configuration > Accessibility Scan.","Node.js wurde nicht gefunden (suche nach ""%s""). Installiere Node. s %s oder neuer, oder setzen Sie seinen vollständigen Pfad in System > Konfiguration > Barrierefreiheit Scan."
"npm Binary Path","npm Binärpfad"
"npm was not found (looking for ""%s""). Install it together with Node.js, or set its full path in System > Configuration > Accessibility Scan.","npm wurde nicht gefunden (suche nach ""%s""). Installiere es zusammen mit Node. , oder setzen Sie seinen vollständigen Pfad in System > Konfiguration > Barrierefreiheit."
"One URL per line. Every URL must belong to one of the configured store base URLs.","Eine URL pro Zeile. Jede URL muss zu einer der konfigurierten Basis-URLs gehören."
"Page Title","Seitentitel"
"Path to the node executable. Default: node","Pfad zur ausführbaren Knotenausführung. Standard: Knoten"
"Path to the npm executable. Default: npm","Pfad zur npm ausführbar. Standard: npm"
"Pending","Ausstehend"
"Periodically scan the URLs below via cron, using the default WCAG level.","Scannen Sie regelmäßig die untenstehenden URLs via Cron, unter Verwendung der Standard-WCAG-Ebene."
"Please provide a valid URL to scan","Bitte geben Sie eine gültige URL zum Scannen ein"
"Run a New Scan","Neuen Scan starten"
"Running","Laufend"
"Scan #%s","Scanne #%s"
"Scan failed","Scannen fehlgeschlagen"
"Scan failed: %s","Scan fehlgeschlagen: %s"
"Scan History","Scan-Verlauf"
"Scan ID","Scan-ID"
"Scanning... this can take a couple of minutes.","Scannen... Dies kann ein paar Minuten dauern."
"Scan not found","Scan nicht gefunden"
"Scan Results","Ergebnisse scannen"
"Scans older than this many days are deleted automatically. 0 keeps everything.","Scans älter als diese viele Tage werden automatisch gelöscht. 0 behält alles bei."
"Scan Timeout","Scan-Timeout"
"Scheduled","Geplant"
"Scheduled Scans","Geplante Scans"
"Selector","Selektor"
"Serious","Schwere"
"Show on desktop screenshot","Im Bildschirmfoto anzeigen"
"Show on mobile screenshot","Auf dem mobilen Screenshot anzeigen"
"Source","Quelle"
"Started","Gestartet"
"Start Scan","Scan starten"
"Status","Status"
"Summary","Summary"
"System","System"
"Template","Vorlage"
"Template Source","Template-Quelle"
"The scan has been deleted.","Der Scan wurde gelöscht."
"The scanner cannot run on this server yet:","Der Scanner kann noch nicht auf diesem Server ausgeführt werden:"
"The scanner returned an unexpected result","Der Scanner gab ein unerwartetes Ergebnis zurück"
"The scanner runtime is not installed yet. Run ""./maho accessibility:install"" from the command line to install it.","Die Laufzeit des Scanners ist noch nicht installiert. Führen Sie ""./maho accessibility:install"" aus der Kommandozeile aus, um es zu installieren."
"The URL to scan must belong to one of the configured store base URLs","Die zu scannende URL muss zu einer der konfigurierten Basis-URLs des Shops gehören"
"This report was generated with automated checks (axe-core), which detect only a subset of WCAG success criteria. A report with no violations does not guarantee conformance; manual testing with a keyboard and a screen reader is still required.","Dieser Bericht wurde mit automatisierten Prüfungen erstellt (axe-core), die nur eine Teilmenge von WCAG-Erfolgskriterien ermitteln. Ein Bericht ohne Verstöße garantiert keine Konformität; manuelle Prüfung mit einer Tastatur und einem Screenreader ist weiterhin erforderlich."
"Total","Gesamt"
"Total Scans","Gesamt Scans"
"Total Violations","Gesamte Verstöße"
"Unable to acquire the scanner install lock","Konnte die Scanner-Installationssperre nicht erhalten"
"Unable to copy the scanner script to %s","Das Scanner-Skript konnte nicht auf %s kopiert werden"
"Unable to create directory %s","Verzeichnis %s kann nicht erstellt werden"
"Unable to start process: %s","Prozess kann nicht gestartet werden: %s"
"URL","URL"
"URLs to Scan","URLs zum Scannen"
"URL to scan","URL zum Scannen"
"URL to scan, e.g. https://store.example.com/","URL zum Scannen z.B. https://store.example.com/"
"Violation #%s: %s","Verletzung #%s: %s"
"Violations","Verstöße"
"Violations (Latest Scan)","Verstöße (Niedrigster Scan)"
"WCAG %s","WCAG %s"
"WCAG 2.2 Level A","WCAG 2.2 Stufe A"
"WCAG 2.2 Level AA","WCAG 2.2 Level AA"
"WCAG 2.2 Level AAA","WCAG 2.2 Level AAA"
"WCAG Level","WCAG-Level"
"Width x height in CSS pixels, scanned with mobile emulation. Default: 390x844","Breite x Höhe in CSS-Pixeln, gescannt mit mobiler Emulation. Standard: 390x844"
"Width x height in CSS pixels. Every scan runs one pass per viewport. Default: 1280x1024","Breite x Höhe in CSS-Pixeln. Jeder Scan führt einen Durchgang pro Viewport aus. Standard: 1280x1024"
