"""Remember Me"" Default Value","Standardwert ""An mich erinnern"""
"(Not %s?)","(Nicht %s?)"
"* Required Fields","* Pflichtfelder"
"Address","Adresse"
"Address Information","Adressinformationen"
"Already registered?","Bereits registriert?"
"Back","Zurück"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Durch die Erstellung eines Kontos mit unserem Shop, können Sie sich schneller durch den Zahlungsvorgang bewegen, Speichern Sie mehrere Versandadressen, sehen und verfolgen Sie Ihre Bestellungen in Ihrem Konto und mehr."
"Cannot load configuration from file %s.","Konfiguration kann nicht von Datei %s geladen werden."
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Überprüfen Sie &quot;Remember Me&quot; wird Ihnen den Zugriff auf Ihren Warenkorb ermöglichen, wenn Sie abgemeldet sind"
"Checkout as Guest","Als Gast auschecken"
"Checkout as a Guest","Kasse als Gast"
"Checkout as a Guest or Register","Als Gast auschecken oder registrieren"
"City","Stadt"
"Clear Persistence on Log Out","Lösche Persistenz beim Ausloggen"
"Close","Schließen"
"Company","Firma"
"Confirm Password","Passwort bestätigen"
"Continue","Weiter"
"Country","Land"
"Create an Account","Konto erstellen"
"Easy access to your order history and status","Einfacher Zugriff auf Ihren Bestellverlauf und Status"
"Email Address","E-Mail-Adresse"
"Enable ""Remember Me""","Aktiviere ""Remember Me"""
"Enable Persistence","Persistenz aktivieren"
"Fast and easy check out","Schneller und einfacher Check-out"
"Faster checkout","Schnellere Kasse"
"Fax","Fax"
"Forgot Your Password?","Passwort vergessen?"
"Forgot your password?","Passwort vergessen?"
"General Options","Allgemeine Optionen"
"If you have an account with us, please log in.","Wenn Sie ein Konto bei uns haben, melden Sie sich bitte an."
"Loading next step...","Nächster Schritt wird geladen..."
"Login","Anmelden"
"Login Information","Anmeldedaten"
"Login or Create an Account","Anmelden oder Konto erstellen"
"New Customers","Neue Kunden"
"New Here?","Neu hier?"
"Password","Passwort"
"Persist Shopping Cart","Warenkorb fortsetzen"
"Persistence Lifetime (seconds)","Dauerhaftigkeit Laufzeit (Sekunden)"
"Persistent Shopping Cart","Dauerhafter Warenkorb"
"Personal Information","Persönliche Informationen"
"Please enter the following information to create your account.","Bitte geben Sie die folgenden Informationen ein, um Ihr Konto zu erstellen."
"Please log in below:","Bitte melden Sie sich unten an:"
"Please select region, state or province","Bitte Region, Bundesland oder Provinz auswählen"
"Register","Registrieren"
"Register and Checkout","Registrieren und auschecken"
"Register and save time!","Registrieren und Zeit sparen!"
"Register to Create an Account","Registrieren um ein Konto zu erstellen"
"Register with us for future convenience:","Registrieren Sie sich bei uns für zukünftige Bequemlichkeit:"
"Registered Customers","Registrierte Kunden"
"Registration is free and easy!","Die Registrierung ist kostenlos und einfach!"
"Remember Me","Erinnere mich"
"Returning Customers","Wiederkehrende Kunden"
"Save in address book","Im Adressbuch speichern"
"Save multiple shipping addresses","Mehrere Lieferadressen speichern"
"Select State/Province...","Bundesland/Provinz wählen..."
"Select a billing address from your address book or enter a new address.","Wählen Sie eine Rechnungsadresse aus Ihrem Adressbuch oder geben Sie eine neue Adresse ein."
"Ship to different address","An andere Adresse versenden"
"Ship to this address","An diese Adresse versenden"
"Shopping cart has been updated with appropriate prices","Warenkorb wurde mit angemessenen Preisen aktualisiert"
"Sign Up for Newsletter","Abonnieren Sie den Newsletter"
"Sign in to speed up your checkout process","Melden Sie sich an, um Ihren Bestellvorgang zu beschleunigen"
"State/Province","Bundesland/Provinz"
"Street Address","Straße"
"Street Address %s","Straße %s"
"Submit","Absenden"
"Telephone","Telefon"
"To proceed to Checkout, please log in using your email address.","Um zur Kasse zu gehen, melden Sie sich bitte mit Ihrer E-Mail-Adresse an."
"VAT Number","USt-IdNr."
"View and track orders and more","Bestellungen und mehr anzeigen und verfolgen"
"Welcome, %s!","Willkommen, %s!"
"What's this?","Was ist das?"
"What's this?","Was ist das?"
"Zip/Postal Code","Postleitzahl"
