"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s wurde zu Ihrer Wunschliste hinzugefügt. Klicken Sie <a href=""%2$s"">hier</a> um weiter einzukaufen."
"%1$s has been updated in your wishlist.","%1$s wurde auf Ihrer Wunschliste aktualisiert."
"%d product(s) have been added to shopping cart: %s.","%d Produkt(e) wurden dem Warenkorb hinzugefügt: %s."
"%s's Wishlist","%sWunschzettel"
"%s for ""%s"".","%s für ""%s""."
"%s has been moved to wishlist %s","%s wurde in die Wunschliste %s verschoben"
"%s has been moved to wishlist %s. Please note that uploaded files will need to be re-uploaded when adding to cart.","%s wurde in die Wunschliste %sverschoben. Bitte beachten Sie, dass hochgeladene Dateien beim Hinzufügen in den Warenkorb erneut hochgeladen werden müssen."
"%s was added to your shopping cart.","%s wurde in Ihren Warenkorb gelegt."
"* Required Fields","* Pflichtfelder"
"Add All to Cart","Alle in den Warenkorb legen"
"Added From","Hinzugefügt von"
"Add to Cart","In den Warenkorb"
"Add to Compare","Zum Vergleich hinzufügen"
"Add to Wishlist","Zur Wunschliste hinzufügen"
"An error occurred while adding item to wishlist.","Beim Hinzufügen zum Wunschzettel ist ein Fehler aufgetreten."
"An error occurred while adding item to wishlist: %s","Beim Hinzufügen zum Wunschzettel ist ein Fehler aufgetreten: %s"
"An error occurred while deleting the item from wishlist.","Beim Löschen des Artikels vom Wunschzettel ist ein Fehler aufgetreten."
"An error occurred while deleting the item from wishlist: %s","Beim Löschen des Artikels von der Wunschliste ist ein Fehler aufgetreten: %s"
"An error occurred while updating wishlist.","Beim Aktualisieren der Wunschliste ist ein Fehler aufgetreten."
"Are you sure you want to remove this product from your wishlist?","Sind Sie sicher, dass Sie dieses Produkt von Ihrer Wunschliste entfernen möchten?"
"Are you sure you would like to remove this item from the wishlist?","Sind Sie sicher, dass Sie diesen Artikel von der Wunschliste entfernen möchten?"
"Back","Zurück"
"Can't delete item from wishlist","Element kann nicht von der Wunschliste gelöscht werden"
"Can't save description %s","Beschreibung %s kann nicht gespeichert werden"
"Can't update wishlist","Wunschliste kann nicht aktualisiert werden"
"Cannot add item to shopping cart","Artikel kann nicht zum Warenkorb hinzugefügt werden"
"Cannot add the item to shopping cart.","Artikel kann nicht in den Warenkorb gelegt werden."
"Cannot add the selected product to shopping cart because the product was removed from the wishlist","Das ausgewählte Produkt kann nicht in den Warenkorb gelegt werden, da das Produkt von der Wunschliste entfernt wurde"
"Cannot configure product","Produkt kann nicht konfiguriert werden"
"Cannot load wishlist item","Wunschzettel kann nicht geladen werden"
"Cannot move item to wishlist","Element kann nicht auf Wunschliste verschoben werden"
"Cannot specify product.","Produkt kann nicht angegeben werden."
"Cannot specify wishlist.","Wunschzettel kann nicht angegeben werden."
"Cannot specify wishlist item.","Wunschzettel kann nicht angegeben werden."
"Cannot update wishlist","Wunschliste kann nicht aktualisiert werden"
