"%s was added to your shopping cart.","%s was added to your shopping cart."
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"(Excl. Tax)","(Zzgl. Steuern)"
"(Incl. Tax)","(Inkl. MwSt.)"
"* Required Fields","* Pflichtfelder"
"Add coupon code for shopping cart","Add coupon code for shopping cart"
"Add gift messages to shopping cart","Add gift messages to shopping cart"
"Additional Product Info","Additional Product Info"
"Add New Address","Neue Adresse hinzufügen"
"Add New Condition","Neue Bedingung hinzufügen"
"Add product(s) to shopping cart","Add product(s) to shopping cart"
"Add product to shopping cart","Add product to shopping cart"
"Address","Adresse"
"Add to Cart","In den Warenkorb"
"Add to Compare","Zur Vergleichsliste hinzufügen"
"Add to Wishlist","Zur Wunschliste hinzufügen"
"After Adding a Product Redirect to Shopping Cart","Nach Hinzufügen eines Artikels zum Warenkorb weiterleiten"
"Allow Guest Checkout","Gastbestellung aktivieren"
"An error occurred. Please try again.","An error occurred. Please try again."
"An error occurred in the process of payment","An error occurred in the process of payment"
"An error occurred while deleting this condition.","An error occurred while deleting this condition."
"An error occurred while placing your order. Please try again.","An error occurred while placing your order. Please try again."
"An error occurred while saving this condition.","An error occurred while saving this condition."
"Apply","Anwenden"
"Applying...","Applying..."
"Are you sure you would like to remove this item from the shopping cart?","Soll dieser Artikel wirklich aus Ihrem Warenkorb entfernt werden?"
"Back","Zurück"
"Billing Address","Rechnungsadresse"
"Billing Information","Bestellübersicht"
"Cancel","Abbrechen"
"Cannot add item to the shopping cart.","Cannot add item to the shopping cart."
"Cannot add the item to shopping cart","Cannot add the item to shopping cart"
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Cannot configure product.","Cannot configure product."
"Cannot process the item.","Kann das Element nicht verarbeiten."
"Can not remove the item.","Can not remove the item."
"Cannot remove the item.","Cannot remove the item."
"Can not save item.","Can not save item."
"Cannot update shopping cart.","Cannot update shopping cart."
"Cannot update the item.","Cannot update the item."
"Card Verification Number Visual Reference","Kartenprüfnummer"
"Cart","Cart"
"Cart Item Counter","Cart Item Counter"
"Cart Product API","Cart Product API"
"Cart Subtotal:","Cart Subtotal:"
"Change","Ändern"
"Change Billing Address","Rechnungsanschrift ändern"
"Checkbox Text","Checkbox-Text"
"Checkout","Kasse"
"Checkout Conditions","Bestellbedingungen"
"Checkout Forms Extra","Checkout Forms Extra"
"Checkout Options","Checkout-Optionen"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Terms and Conditions","AGB"
"City","Stadt"
"Clear Shopping Cart","Warenkorb leeren"
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">here</a> to continue shopping."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Close","Schließen"
"Company","Firma"
"Condition Name","Bedingungsname"
"Configurable Product Image","Konfigurierbares Produktbild"
"Configure Cart Item","Configure Cart Item"
"Confirm Password","Passwort bestätigen"
"Content","Inhalt"
"Content Height","Inhaltshöhe"
"Content Height (css)","Inhaltshöhe (CSS)"
"Continue","Fortsetzen"
"Continue Shopping","Einkauf fortsetzen"
"Controls how the item count is calculated in the cart icon badge.","Controls how the item count is calculated in the cart icon badge."
"Count Method","Count Method"
"Country","Land"
"Coupon:","Coupon:"
"Coupon code ""%s"" was applied.","Coupon code ""%s"" was applied."
"Coupon code was removed.","Coupon code was removed."
"Create an order from shopping cart","Create an order from shopping cart"
"Create shopping cart","Create shopping cart"
"Customer's information","Customer's information"
"Customer Address is not valid.","Customer Address is not valid."
"Customer Information","Kundeninformation"
"Delete Condition","Lösche Bedingung"
"Details","Details"
"Disabled","Deaktiviert"
"Discount code or gift card","Discount code or gift card"
"Discounts","Discounts"
"Display number of items in wishlist","Display number of items in wishlist"
"Displays all checkout steps on a single page in a 2-column layout","Displays all checkout steps on a single page in a 2-column layout"
"Edit","Bearbeiten"
"Edit Address","Adresse bearbeiten"
"Edit Condition","Bedingungen bearbeiten"
"Edit item parameters","Artikelparameter bearbeiten"
"Edit Terms and Conditions","Allgemeinen Geschäftsbedingungen bearbeiten"
"Email Address","E-Mailadresse"
"Empty Shopping Cart Content Before","Empty Shopping Cart Content Before"
"Enabled","Aktiviert"
"Enable One-Step Checkout","Enable One-Step Checkout"
"Enable Onepage Checkout","Onepage Bezahlung aktivieren"
"Enable Terms and Conditions","Allgemeine Geschäftsbedingungen aktivieren"
"Enter discount code","Gutscheincode eingeben"
"Enter promo code","Enter promo code"
"Estimate","Estimate"
