"Additional Product Attributes","Zusätzliche Produktattribute"
"API Endpoint URL","API Endpoint URL"
"Authentication Type","Authentifizierungstyp"
"Auth Token","Auth Token"
"Bearer Token","Bären-Token"
"Custom Header","Eigene Kopfzeile"
"Custom Header Name","Eigener Headername"
"Debug Mode","Debug-Modus"
"Displayed Error Message","Angezeigte Fehlermeldung"
"Enabled","Aktiviert"
"None","Keine"
"Request Timeout (seconds)","Request Timeout (Sekunden)"
"Select product attributes to include in the API request payload.","Wählen Sie Produktattribute aus, die in die Payload der API-Anfrage aufgenommen werden sollen."
"Shipping Bridge","Lieferbrücke"
"Ship to Applicable Countries","Versand an zulässige Länder"
"Ship to Specific Countries","Versand an bestimmte Länder"
"Sort Order","Sortierung"
"Title","Titel"
