"# of Uses","Anzahl der Verwendungen"
"%s tag(s) have been accepted for moderation.","%s Tag(s) wurden zur Moderation akzeptiert."
"<strong>Tag Name:</strong> %s","<strong>Tag-Name:</strong> %s"
"Action","Aktion"
"Add","Neu"
"Add New Tag","Neues Tag"
"Add tag(s) to product","Tag(s) zum Produkt hinzufügen"
"Add Tags","Tags hinzufügen"
"Add to Cart","In den Warenkorb"
"Add to Wishlist","Zur Wunschliste hinzufügen"
"Add Your Tags:","Tags hinzufügen:"
"All Tags","Alle Tags"
"Approved","Genehmigt"
"Are you sure?","Bist du sicher?"
"Are you sure you want to delete this tag?","Sind Sie sicher, dass Sie dieses Tag löschen möchten?"
"Are you sure you want to do this?","Bist du sicher, dass du dies tun möchtest?"
"Back","Zurück"
"Back to Tags List","Zurück zur Schlagwortliste"
"Base Popularity","Basis Popularität"
"Block Information","Block-Informationen"
"Catalog Product View","Katalogartikelansicht"
"Change status","Status ändern"
"Click on a tag to view your corresponding products.","Klicken Sie auf ein Schlagwort, um Ihre entsprechenden Produkte anzuzeigen."
"Country","Land"
"CSV","CSV"
"Customer My Account My Tags List","Kunde - Mein Konto - Meine Schlagwortliste"
"Customer My Account Tag View","Kunde - Mein Konto Tag Ansicht"
"Customers","Kunden"
"Customer Since","Kunde seit"
"Customers Submitted this Tag","Kunden haben diesen Tag eingereicht"
"Customers Tagged '%s'","Kunden markiert '%s'"
"Delete","Löschen"
"Delete Tag","Tag löschen"
"Disabled","Deaktiviert"
"Edit Tag '%s'","Tag '%s ' bearbeiten"
"Email","E-Mail"
"Enable Adding Tags in Frontend","Adding Tags im Frontend aktivieren"
"First Name","Vorname"
"General Information","Allgemeine Informationen"
"Grid","Raster"
"ID","ID"
"Info","Info"
"Last Name","Nachname"
"List","Liste"
"Manage Tags","Tags verwalten"
"Middle Name","Mittlerer Name"
"My Recent Tags","Meine letzten Tags"
"My Tags","Meine Tags"
"Name","Name"
"New Tag","Neues Tag"
"No matches found.","Keine Treffer gefunden."
"Pending","Ausstehend"
"Pending Tags","Ausstehende Tags"
"Popular","Beliebt"
"Popular Tags","Beliebte Tags"
"Price","Preis"
"Product Name","Produktname"
"Products","Produkte"
"Product SKU","Produkt-SKU"
"Products Tagged by Administrators","Produkte markiert von Administratoren"
"Products Tagged by Customers","Von Kunden markierte Produkte"
"Products Tagged with '%s'","Produkte mit '%s ' markiert"
"Products tagged with '%s'","Produkte mit '%s ' markiert"
"Product Tag API","Produkt Tag API"
"Product Tags","Produkt-Tags"
"Rebuild Tag aggregation data","Tag-Aggregationsdaten neu erstellen"
"Remove","Entfernen"
"Remove product tag","Produkt-Tag entfernen"
"Retrieve list of tags by product","Liste der Tags nach Produkt abrufen"
"Retrieve product tag info","Produkt-Tag-Info abrufen"
"Save and Continue Edit","Speichern und Bearbeiten fortsetzen"
"Save Tag","Tag speichern"
"SKU","SKU"
"Status","Status"
"Store View","Store-Ansicht"
"Tag","Markierung"
"Tag ""%s"" has already been added to the product.","Tag ""%s"" wurde bereits zum Produkt hinzugefügt."
"Tag ""%s"" has been added to the product.","Tag ""%s"" wurde zum Produkt hinzugefügt."
"Tag ""%s"" has been rejected by administrator.","Tag ""%s"" wurde vom Administrator abgelehnt."
"Tag Aggregation Data","Tag-Aggregation Daten"
"Tagged Products List","Liste der markierten Produkte"
"Tag Name","Tag-Name"
"Tags","Tags"
"Tags:","Tags:"
"Tags List (All Available)","Schlagwortliste (alle verfügbar)"
"Tags List Before","Schlagwortliste vorher"
"Telephone","Telefon"
"There are no tags available.","Es sind keine Tags verfügbar."
"The tag has been deleted.","Der Tag wurde gelöscht."
"Unable to find any products tagged with '%s' in the current store","Es konnten keine Artikel gefunden werden, die mit '%s' im aktuellen Shop markiert wurden"
"Unable to remove tag. Please, try again later.","Tag kann nicht entfernt werden. Bitte versuchen Sie es später erneut."
"Unable to save tag(s).","Konnte Tag(s) nicht speichern."
"Update","Aktualisieren"
"Update product tag","Produkt-Tag aktualisieren"
"Use spaces to separate tags. Use single quotes (') for phrases.","Benutze Leerzeichen, um Tags zu trennen. Benutze einfache Anführungszeichen (') für Phrasen."
"View All Tags","Alle Tags anzeigen"
"View Customers","Kunden anzeigen"
"View Products","Produkte anzeigen"
"XML","XML"
"You have not tagged any products yet.","Sie haben noch keine Produkte markiert."
"ZIP/Post Code","Postleitzahl"
"[STORE VIEW]","[STORE ANWEND]"
