"and %s more posts","und %s mehr Beiträge"
"and %s more products, listed in the XML sitemap","und %s weitere Produkte, die in der XML-Sitemap aufgeführt sind"
"Attribute","Attribut"
"Availability","Verfügbarkeit"
"Backorder","Backorder"
"Blog","Blog"
"Brand","Marke"
"Cache Lifetime (seconds)","Cache-Lebensdauer (Sekunden)"
"Description","Beschreibung"
"Enabled","Aktiviert"
"from %s to %s","von %s bis %s"
"Image","Bild"
"Images","Bilder"
"In stock","Auf Lager"
"Limited availability","Begrenzte Verfügbarkeit"
"Markdown for AI agents","Markdown für KI-Agenten"
"Not Found","Nicht gefunden"
"One route prefix per line, as module/controller/action. Only these pages get a markdown version. A route needs a renderer declared under global/contentnegotiation/renderers in a config.xml.","Ein Routenpräfix pro Zeile, als Modul/Controller/Aktion. Nur diese Seiten erhalten eine Markdown-Version. Eine Route benötigt einen Renderer, der unter global/contentnegotiation/Renderer in einer config.xml deklariert ist."
"Options","Optionen"
"Out of stock","Nicht auf Lager"
"Price","Preis"
"Product","Produkt"
"Products","Produkte"
"Published","Veröffentlicht"
"regular price %s","regulärer Preis %s"
"Routes","Routen"
"Serves a markdown version of a page when the request sends <code>Accept: text/markdown</code> or when the URL ends with <code>.md</code>. Browsers keep the HTML page. HTML pages announce the markdown version with a <code>Link</code> header.","Stellt eine Markdown-Version einer Seite zur Verfügung, wenn die Anfrage <code>akzeptiert: text/markdown</code> oder wenn die URL mit <code>endet. d</code>. Browser behalten die HTML-Seite. HTML-Seiten kündigen die Markdown Version mit einem <code>Link</code> Header an."
"Specifications","Spezifikationen"
"Subcategories","Unterkategorien"
"The markdown is cached with the Blocks HTML output cache. A product, category, page or post save clears its entry. 0 disables the cache.","Der Markdown wird mit dem HTML-Ausgabe-Cache Blocks zwischengespeichert. Ein Produkt, eine Kategorie, eine Seite oder ein Beitrag speichern löscht seinen Eintrag. 0 deaktiviert den Cache."
"There are no posts yet.","Es sind noch keine Beiträge vorhanden."
"There are no products in this category.","Es gibt keine Produkte in dieser Kategorie."
"This page has no markdown version.","Diese Seite hat keine Markdown Version."
"Value","Wert"
