"%s's Wishlist","%sWunschzettel"
"%s - Discounts and Coupons","%s - Rabatte und Gutscheine"
"%s - Special Products","%s - Spezielle Produkte"
"%s has reached a quantity of %s.","%s hat eine Menge von %s erreicht."
"%s RSS Feed","%s RSS-Feed"
"Admin Catalog","Admin-Katalog"
"Admin Order","Admin-Bestellung"
"Cannot retrieve the wishlist","Die Wunschliste kann nicht abgerufen werden"
"Catalog","Katalog"
"Category Feeds","Kategorie-Feeds"
"click <a href=""%s"">here</a> to view the review","<a href=""%s"">hier</a> klicken, um die Bewertung zu sehen"
"Click for price","Für Preis anklicken"
"Coupons/Discounts","Gutscheine/Rabatte"
"Customer Name: %s","Kundenname: %s"
"Discount","Rabatt"
"Discount (%s)","Rabatt (%s)"
"Enable RSS","RSS aktivieren"
"Error in processing xml. %s","Fehler bei der Verarbeitung von xml. %s"
"From:","Von:"
"Get Feed","Feed holen"
"Gift Message","Geschenknachricht"
"Grand Total","Gesamtsumme"
"Low Stock Products","Produkte mit geringem Lagerbestand"
"Message:","Nachricht:"
"Miscellaneous Feeds","Sonstige Feeds"
"New Order Notification","Neue Bestellbenachrichtigung"
"New Order Period (days)","Neue Bestellperiode (Tage)"
"New Orders","Neue Aufträge"
"New Products","Neue Produkte"
"New Products from %s","Neue Produkte von %s"
"Order","Sortierung"
"Order #%s created at %s","Bestellung #%s bei %s erstellt"
"Pending product review(s)","Ausstehende Produktbewertung(en)"
"Product: ""%s"" review By: %s","Produkt: ""%s"" Rezension von: %s"
"Product: <a href=""%s"">%s</a> <br>","Produkt: <a href=""%s"">%s</a> <br>"
"Products tagged with %s","Produkte mit %s markiert"
"Purchased From: %s","Gekauft von: %s"
"Review: %s <br>","Bewertung: %s <br>"
"Review Notification","Benachrichtigung überprüfen"
"Rss Config","Rss Konfiguration"
"RSS Feeds","RSS-Feeds"
"RSS Feeds List","RSS-Feeds Liste"
"Shipping &amp; Handling","Versand &amp; Bearbeitung"
"Special Products","Spezielle Produkte"
"Stock Notification","Lagerbestand Benachrichtigung"
"Store: %s <br>","Shop: %s <br>"
"Subtotal","Zwischensumme"
"Summary of review: %s <br>","Zusammenfassung der Bewertung: %s <br>"
"Tags Products","Schlagworte Produkte"
"Tax","Steuer"
"There are no Rss Feeds","Es gibt keine Rss Feeds"
"To:","An:"
"Top Level Category","Top-Level-Kategorie"
"Wishlist","Wunschliste"
