"%1$s incl tax.","%1$s incl tax."
"* Required Fields","* Pflichtfelder"
"-- Select --","--Auswählen--"
"Add New Option","Neue Option hinzufügen"
"Add Selection","Add Selection"
"and","and"
"Bundle Items","Bündel-Artikel"
"Bundle Product","Bundle Product"
"Buy %1$s","Buy %1$s"
"Buy %1$s for","Buy %1$s for"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Buy %1$s with %2$s discount each","Buy %1$s with %2$s discount each"
"Catalog Product View (Bundle)","Catalog Product View (Bundle)"
"Checkbox","Auswahlfeld (Checkbox)"
"Choose a selection...","Treffen Sie eine Auswahl..."
"Click for price","Klicken für Preis"
"Close","Schließen"
"Default","Voreinstellung"
"Default Qty","Standardmenge"
"Default Title","Standardtitel"
"Drop-down","Dropdown-Liste"
"Dynamic","Dynamisch"
"each","each"
"Excl. Tax","Exkl. Steuern"
"Excl. Tax:","Excl. Tax:"
"Fixed","Festkosten"
"From","Von"
"From:","Von:"
"Gift Message","Geschenknachricht"
"Incl. Tax","Inkl. MwSt."
"Incl. Tax:","Incl. Tax:"
"Input Type","Eingabetyp"
"Is Required","Ist erforderlich"
"Message:","Nachricht:"
"Multiple Select","Mehrfach Auswahl"
"N/A","Keine Angabe"
"None","Keine"
"No options of this product are available.","Für diesen Artikel sind keine Optionen verfügbar."
"Percent","Prozent"
"Percent Discount","Prozent Rabatt"
"Please enter a number greater 0 in this field.","In diesem Feld bitte eine Zahl größer 0 eingeben."
"Please enter search conditions to view products.","Please enter search conditions to view products."
"Please select options for product.","Please select options for product."
"Please Select Products to Add","Bitte wählen Sie Produkte zum Hinzufügen"
"Please specify product option(s).","Bitte Produktoption(en) angeben."
"Position","Reihenfolge"
"Price as configured","Price as configured"
"Price Range","Preisbereich"
"Price Type","Preistyp"
"Qty:","Menge:"
"Radio Buttons","Optionsfelder (Radio Buttons)"
"Required options are not selected.","Required options are not selected."
"save","Speichern"
"Selected required options are not available.","Selected required options are not available."
"Separately","Separat"
"Ship Bundle Items","Paket-Artikel versenden"
"Shipment","Versand"
"SKU","Artikelnummer"
"Store View Title","Titel des Store View"
"There is no defined renderer for ""%s"" option type.","There is no defined renderer for ""%s"" option type."
"This product is also part of bundle(s)","This product is also part of bundle(s)"
"To","Bis"
"To:","Bis:"
"Together","Zusammen"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Use Default Value","Standardwert verwenden"
"User Defined Qty","User Defined Qty"
